,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Marcelo Pontiroli,G,"6'02""",13 12,22-01-72,San Andrés de Giles,Quilmes,Argentinos Juniors,2006,Argentinian
2,2,Fernando  Cácares,D,"5'10""",12  01,07-02-69,San Isidrio,Independiente,Argentinos Juniors,2006,Argentinian
3,3,Pablo  Barzola,D,"6'00""",12  13,17-11-83,San  Martín,Quilmes,Argentinos Juniors,2006,Argentinian
4,4,Pablo De  Muner,D,"5'07""",11  00,14-04-81,Capital Federal,None,Argentinos Juniors,2006,Argentinian
5,5,Facundo  Pérez Castro,M,"5'07""",10 03,07-08-81,San Miguel de Tucumán,None,Argentinos Juniors,2006,Argentinian
6,6,Leandro  Desábato,D,"6'01""",12 13,24-01-79,Cafferatta,Quilmes,Argentinos Juniors,2006,Argentinian
7,7,Facundo  Bonvín,F,"5'10""",11 11,15-04-81,Concepción,San  Martín (Mendoza),Argentinos Juniors,2006,Argentinian
8,8,Cristian Ledesma,M,"5'09""",10 10,29-11-78,San Isidro,Hamburg,Argentinos Juniors,2006,Argentinian
9,9,Jorge Quinteros,F,"6'00""",12  01,27-04-74,San  Fernando,Universidad  Católica,Argentinos Juniors,2006,Argentinian
10,10,Nicolás  Gianni,F,"5'09""",11  09,27-09-82,Villa  Adelina,Defensores  de Belgrano,Argentinos Juniors,2006,Argentinian
11,11,Leonel  Nuñez,F,"6'01""",11  11,13-10-84,Capital  Federal,None,Argentinos Juniors,2006,Argentinian
12,12,Juan  Carrera,G,"6'03""",13  08,10-05-81,Peragamino,None,Argentinos Juniors,2006,Argentinian
13,13,Facundo  Quiroga,F,"6'00""",12  11,16-05-85,Garín,None,Argentinos Juniors,2006,Argentinian
14,14,Gonzalo  Choy,M,"6'03""",11 03,10-11-81,Montevideo,Quilmes,Argentinos Juniors,2006,Argentinian
15,15,Sebastián  Brunet,D,"5'09""",11  07,22-01-84,Buenos  Aires,None,Argentinos Juniors,2006,Argentinian
16,16,Franco  Niell,F,"5'04""",10  03,22-05-83,Trelew,None,Argentinos Juniors,2006,Argentinian
17,17,Néstor  Ortigoza,M,"5'11""",12  06,10-07-84,Buenos  Aires,None,Argentinos Juniors,2006,Argentinian
18,18,Lionel  Coudannes,M,,,04-08-84,Buenos  Aires,None,Argentinos Juniors,2006,Argentinian
19,19,Juan  Pablo Avendaño,D,"6'02""",12  13,10-05-82,Laguna  Larga,Arsenal  [ARG],Argentinos Juniors,2006,Argentinian
20,20,Matías  Córdoba,M,"5'09""",11  05,07-10-84,Buenos  Aires,None,Argentinos Juniors,2006,Argentinian
21,21,Ariel  Seltzer,D,"5'05""",10  01,03-01-81,Ituzaingó,None,Argentinos Juniors,2006,Argentinian
22,22,Nicolás  Navarro,G,"6'03""",13 10,25-03-85,Capital Federal,None,Argentinos Juniors,2006,Argentinian
23,23,Rafael  Viotti,M,,,15-02-88,Buenos  Aires,San  Telmo,Argentinos Juniors,2006,Argentinian
24,24,Gonzalo  Prósperi,D,,,28-09-85,Buenos  Aires,Godoy  Cruz (Mendoza),Argentinos Juniors,2006,Argentinian
25,25,Carlos  Santibañez,M,"5'06""",09  08,30-08-86,San  Isidro,None,Argentinos Juniors,2006,Argentinian
26,26,Sebastián  Carrera,D,"5'10""",11  00,25-05-78,Buenos Aires,Almagro,Argentinos Juniors,2006,Argentinian
27,27,Gabriel Hauche,M,"5'06""",11  03,27-11-86,Buenos Aires,Temperley,Argentinos Juniors,2006,Argentinian
28,28,Leandro  Martínez,F,,,20-08-85,Buenos Aires,None,Argentinos Juniors,2006,Argentinian
29,29,Dario  González,M,"5'07""",09  06,12-04-85,Córdoba,Instituto  (Córdoba),Argentinos Juniors,2006,Argentinian
