,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Eugene Galeković,AUS,G,1.86,91,12-06-81,Melbourne,Melbourne Victory,Adelaide United,2009,Australian
2,2,Robert Cornthwaite,AUS,D,1.97,84,24-10-84,Blackburn,White City Woodville,Adelaide United,2009,Australian
3,3,Alemão,BRA,D,1.82,79,29-11-82,Ituverava,Juventude,Adelaide United,2009,Australian
4,4,Iain Fyfe,AUS,D,1.85,83,03-04-82,Adelaide,Sydney FC,Adelaide United,2009,Australian
5,5,Daniel Mullen,AUS,D,1.85,80,26-10-89,Adelaide,AIS,Adelaide United,2009,Australian
6,6,Cassio,BRA,D,1.68,71,08-01-80,Rio de Janeiro,Atlético  Goianense,Adelaide United,2009,Australian
7,7,Lucas Pantelis,AUS,M,1.66,66,12-03-82,Adelaide,Parramatta Power,Adelaide United,2009,Australian
8,8,Kristian Sarkies,AUS,M,1.77,76,25-10-86,Melbourne,Melbourne Victory,Adelaide United,2009,Australian
9,9,Cristiano,BRA,F,1.75,75,03-06-81,Rio de Janeiro,Willem II,Adelaide United,2009,Australian
10,10,Adam Hughes,AUS,M,1.85,83,14-07-82,Newcastle [AUS],Drogheda U,Adelaide United,2009,Australian
11,11,Lloyd Owusu,GHA,F,1.88,89,12-12-76,Slough,Cheltenham T,Adelaide United,2009,Australian
12,12,Paul Reid,AUS,M,1.78,68,06-07-79,Sydney,Brighton & HA,Adelaide United,2009,Australian
13,13,Travis Dodd,AUS,M,1.77,80,06-01-80,Adelaide,Panionios,Adelaide United,2009,Australian
14,14,Scott  Jamieson,AUS,D,1.78,76,13-10-88,Sydney,Bolton  W,Adelaide United,2009,Australian
15,15,Francesco Monterosso,AUS,F,1.87,83,20-04-91,Adelaide,SASI,Adelaide United,2009,Australian
16,16,Shin In-Seob,KOR,M,1.75,70,01-06-89,Seoul,Konkuk University,Adelaide United,2009,Australian
17,17,Michael Marrone,AUS,D,1.80,77,27-01-87,Adelaide,Para Hills Knights,Adelaide United,2009,Australian
18,18,Fabian Barbiero,AUS,M,1.76,72,02-05-84,Adelaide,MetroStars,Adelaide United,2009,Australian
19,19,Matthew Leckie,AUS,M,1.80,79,04-02-91,Melbourne,Bulleen Lions,Adelaide United,2009,Australian
20,20,Mark  Birighitti,AUS,G,1.87,84,17-04-91,Perth,AIS,Adelaide United,2009,Australian
21,21,Mark Rudan,AUS,D,1.90,88,27-08-75,Sydney,Vaduz,Adelaide United,2009,Australian
22,22,Dane Milovanovic,AUS,D,1.88,82,02-12-89,Canberra,AIS,Adelaide United,2009,Australian
23,23,Joe Costa,AUS,M,1.71,67,17-07-92,Adelaide,SASI,Adelaide United,2009,Australian
24,24,Marcos Flores,ARG,M,1.86,76,23-10-85,Reconquista,Curicó Unido,Adelaide United,2009,Australian
25,25,Evan Kostopoulos,AUS,F,1.82,73,07-05-90,Adelaide,None,Adelaide United,2009,Australian
26,26,Perry Mitris,AUS,D,1.75,65,12-10-90,Adelaide,None,Adelaide United,2009,Australian
40,40,Nick Munro,AUS,G,1.85,76,21-05-93,Adelaide,None,Adelaide United,2009,Australian
1,1,Matthew Ham,AUS,G,1.94,99,25-07-83,Ayr [AUS],North Queensland Fury,Brisbane Roar,2009,Australian
2,2,Andrew Packer,AUS,D,1.80,78,16-06-80,Ipswich [AUS],Sydney FC,Brisbane Roar,2009,Australian
3,3,Luke DeVere,AUS,D,1.86,88,05-11-89,Melbourne,AIS,Brisbane Roar,2009,Australian
4,4,Pieter Collen,BEL,D,1.83,83,20-06-80,Gent,Beveren,Brisbane Roar,2009,Australian
5,5,Josh McCloughlan,AUS,D,1.91,83,12-12-75,Auburn,Brisbane Strikers,Brisbane Roar,2009,Australian
6,6,David Dodd,AUS,M,1.85,84,01-02-85,Southport [AUS],Palm Beach,Brisbane Roar,2009,Australian
7,7,Michael Zullo,AUS,D,1.70,62,11-09-88,Brisbane,Brisbane C,Brisbane Roar,2009,Australian
8,8,Massimo Murdocca,AUS,M,1.65,60,02-09-84,Carlton,Fawkner-Whittlesea,Brisbane Roar,2009,Australian
9,9,Sergio van Dijk,NED,F,1.85,88,06-08-82,Assen,Emmen,Brisbane Roar,2009,Australian
10,10,Stevens Bryce,CRC,M,1.69,71,16-08-77,San José,Univ de Costa Rica,Brisbane Roar,2009,Australian
11,11,Reinaldo,BRA,F,1.94,84,13-06-84,Itaberí,Busan I'Park,Brisbane Roar,2009,Australian
12,12,Matt Mundy,AUS,D,1.83,75,08-05-87,Canberra,Rochedale R,Brisbane Roar,2009,Australian
13,13,Henrique,BRA,M,1.67,62,09-05-85,São Paulo,América Mineiro,Brisbane Roar,2009,Australian
14,14,Adam Sarota,AUS,M,1.80,72,28-12-88,Gordonvale,Brisbane Strikers,Brisbane Roar,2009,Australian
15,15,Matt McKay,AUS,M,1.71,65,11-01-83,Brisbane,Eastern Suburbs,Brisbane Roar,2009,Australian
16,16,Bob Malcolm,SCO,D,1.82,71,12-11-80,Glasgow,Motherwell,Brisbane Roar,2009,Australian
17,17,Mitch Nichols,AUS,M,1.81,75,05-01-89,Southport [AUS],Palm Beach,Brisbane Roar,2009,Australian
18,18,Danny Tiatto,AUS,D,1.75,73,22-05-73,Melbourne,Leicester C,Brisbane Roar,2009,Australian
19,19,Isaka Cernak,AUS,M,1.79,72,09-06-89,Brisbane,AIS,Brisbane Roar,2009,Australian
20,20,Griffin McMaster,AUS,G,1.88,80,06-02-83,Gold Coast,Mount Gravatt,Brisbane Roar,2009,Australian
21,21,Tommy Oar,AUS,M,1.70,64,10-12-91,Southport [AUS],Palm Beach,Brisbane Roar,2009,Australian
22,22,Ivan Franjić,AUS,D,1.80,77,10-09-87,Melbourne,Oakleigh Cannons,Brisbane Roar,2009,Australian
23,23,Tim Smits,AUS,F,1.82,77,11-04-86,Brisbane,Rochedale R,Brisbane Roar,2009,Australian
25,25,Luke Brattan,AUS,M,1.75,65,08-03-90,Hull,Rochedale R,Brisbane Roar,2009,Australian
28,28,Calum O'Connell,AUD,D,1.86,79,02-05-90,Perth,Brisbane Wolves,Brisbane Roar,2009,Australian
30,30,Matt Acton,AUS,G,1.85,89,03-06-92,Townsville,QAS,Brisbane Roar,2009,Australian
1,1,Andrew Redmayne,AUS,G,1.94,84,13-01-89,Gosford,AIS,Central Coast Mariners,2009,Australian
2,2,Matty Crowell,WAL,M,1.75,68,03-07-84,Bridgend,Altrincham,Central Coast Mariners,2009,Australian
3,3,Shane Huke,AUS,M,1.80,78,02-10-85,Reading,Dagenham & Redbridge,Central Coast Mariners,2009,Australian
4,4,Pedj Bojić,AUS,D,1.80,75,09-04-84,Sydney,Sutherland Sharks,Central Coast Mariners,2009,Australian
5,5,Bradley Porter,AUS,M,1.79,74,19-02-87,Gosford,AIS,Central Coast Mariners,2009,Australian
6,6,Brady Smith,AUS,F,1.80,80,10-08-89,Gosford,Central Coast Lightning,Central Coast Mariners,2009,Australian
7,7,John Hutchinson,AUS,M,1.79,78,29-12-79,Morwell,Manly U,Central Coast Mariners,2009,Australian
10,10,Panny Nikas,AUS,M,1.78,76,27-07-88,Kogarah,Sutherland Sharks,Central Coast Mariners,2009,Australian
11,11,Dylan MacAllister,AUS,F,1.91,92,17-05-82,Sydney,Lyn,Central Coast Mariners,2009,Australian
12,12,Matthew Lewis,AUS,M,1.73,65,06-06-90,Sydney,Blacktown C,Central Coast Mariners,2009,Australian
13,13,Jonathan Brown,WAL,M,1.80,80,17-04-90,Bridgend,Bryntirion Ath,Central Coast Mariners,2009,Australian
15,15,Andrew Clark,AUS,D,1.80,74,24-08-74,Gosford,APIA Leichhardt,Central Coast Mariners,2009,Australian
16,16,Nigel Boogaard,AUS,D,1.88,88,14-08-86,Sydney,Central Coast Lightning,Central Coast Mariners,2009,Australian
17,17,Chris Doig,SCO,D,1.88,79,13-02-81,Dumfries,Northampton T,Central Coast Mariners,2009,Australian
18,18,Alex Wilkinson,AUS,D,1.87,85,13-08-84,Sydney,Ryde C,Central Coast Mariners,2009,Australian
19,19,Matt Simon,AUS,F,1.88,79,22-01-86,Sydney,Central Coast  Lightning,Central Coast Mariners,2009,Australian
20,20,Danny Vukovic,AUS,G,1.87,96,27-03-85,Sydney,Bonnyrigg White Eagles,Central Coast Mariners,2009,Australian
21,21,Ahmad  Elrich,AUS,M,1.83,77,30-05-81,Sydney,Wellington Phoenix,Central Coast Mariners,2009,Australian
22,22,Nicky Travis,ENG,M,1.83,77,12-03-87,Sheffield,Sheffield U,Central Coast Mariners,2009,Australian
23,23,Adam Kwasnik,AUS,F,1.79,76,31-05-83,Penrith [AUS],Wellington Phoenix,Central Coast Mariners,2009,Australian
24,24,Bernie Ibini-Isei,AUS,F,1.87,73,12-09-92,Port Harcourt,Blacktown C,Central Coast Mariners,2009,Australian
25,25,Mitchell Mallia,AUS,M,1.75,70,22-03-92,Liverpool [AUS],Marconi Stallions,Central Coast Mariners,2009,Australian
29,29,Nick Fitzgerald,AUS,M,1.75,69,13-02-92,Wahroonga,Blacktown C,Central Coast Mariners,2009,Australian
30,30,Matthew Ryan,AUS,G,1.81,73,08-04-92,Plumpton,Blacktown C,Central Coast Mariners,2009,Australian
1,1,Jess Vanstrattan,AUS,G,1.92,86,19-07-82,Gosford,Verona,Gold Coast United,2009,Australian
2,2,Steve Pantelidis,AUS,D,1.82,83,17-08-83,Melbourne,Melbourne Victory,Gold Coast United,2009,Australian
3,3,Michael Thwaite,AUS,D,1.79,74,02-05-83,Brisbane,Brann,Gold Coast United,2009,Australian
4,4,Daniel Piorkowski,AUS,D,1.87,81,12-01-84,Melbourne,Newcastle U Jets,Gold Coast United,2009,Australian
5,5,Robson,BRA,M,1.75,80,03-11-86,Rio de Janeiro,Operário,Gold Coast United,2009,Australian
7,7,Zenon Caravella,AUS,M,1.70,65,17-03-83,Cairns,FC Omniworld,Gold Coast United,2009,Australian
8,8,Anderson,BRA,D,1.70,75,10-01-83,Rio de Janeiro,Criciuma,Gold Coast United,2009,Australian
9,9,Shane Smeltz,NZL,F,1.85,80,29-09-81,Göppingen,Wellington Phoenix,Gold Coast United,2009,Australian
10,10,Jason Čulina,AUS,M,1.75,76,05-08-80,Sydney,PSV Eindhoven,Gold Coast United,2009,Australian
11,11,Charlie Miller,SCO,M,1.78,78,18-03-76,Glasgow,Brisbane Roar,Gold Coast United,2009,Australian
13,13,Bas van den Brink,NED,D,1.89,86,11-09-82,Amsterdam,FC Omniworld,Gold Coast United,2009,Australian
