,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Mario Krassnitzer,G,"6'00""",12 04,25-07-75,,Austria Lustenau,SCR Altach,2007,Austrian
2,2,Philipp Hiba,M,"5'09""",10 08,02-12-89,,FC Twente II,SCR Altach,2007,Austrian
3,3,Manuel Schmid,M,"6'00""",12 02,23-08-81,,Kapfenberg,SCR Altach,2007,Austrian
4,4,Enrico Pfister,D,"5'11""",11 05,04-04-82,,None,SCR Altach,2007,Austrian
5,5,Nate  Jaqua,F,6'03'',12  12,28-10-81,Eugene,Houston Dynamo,SCR Altach,2007,Austrian
6,6,Dario Baldauf,D,"5'10""",11 05,27-03-85,,SW Bregenz,SCR Altach,2007,Austrian
7,7,Karsten Hutwelker,M,6'01'',12 06,27-08-71,Wuppertal,Augsburg,SCR Altach,2007,Austrian
8,8,Roland Kirchler,M,"6'01""",13 08,29-09-70,Innsbruck,Red Bull  Salzburg,SCR Altach,2007,Austrian
9,9,Patrick Mayer,F,"6'00""",12 13,11-08-86,,Austria Salzburg,SCR Altach,2007,Austrian
10,10,Vincenzo Zinnà,M,"5'07""",10 01,26-08-81,,St Gallen,SCR Altach,2007,Austrian
11,11,Modou Jagne,F,"6'03""",11 11,14-02-83,Banjul,FC Banjul,SCR Altach,2007,Austrian
12,12,Fernando Carreño,D,"6'01""",12 04,15-01-79,Montevideo,Aarau,SCR Altach,2007,Austrian
13,13,Stephan Kling,D,5'11'',10  08,22-03-81,Dachau,Saarbrücken,SCR Altach,2007,Austrian
14,14,Léo,F,"6'02""",12 08,19-07-80,Campinas,Grêmio Jaciara,SCR Altach,2007,Austrian
15,15,Pablo Chinchilla,D,"6'01""",13 01,21-12-78,San José [CRC],LD Alajuelense,SCR Altach,2007,Austrian
16,16,Mario Bolter,D,"5'10""",10 10,01-07-84,Feldkirch,FC Superfund,SCR Altach,2007,Austrian
17,17,Alexander Guem,M,"5'11""",11 11,06-03-77,,Austria Lustenau,SCR Altach,2007,Austrian
18,18,Oliver Mattle,M,"6'00""",12 00,31-10-78,,SW Bregenz,SCR Altach,2007,Austrian
19,19,Dursun Karatay,M,"5'10""",11  11,05-10-84,Bludenz,FC Superfund,SCR Altach,2007,Austrian
20,20,Bernd Winkler,D,"5'10""",11 09,13-08-79,,Vöcklabruck,SCR Altach,2007,Austrian
22,22,Müslüm Atav,F,"5'08""",11 05,07-09-81,,VfB Hohenems,SCR Altach,2007,Austrian
23,23,Kai Schoppitsch,M,"5'09""",11 05,05-02-80,Wolfsburg,FC Superfund,SCR Altach,2007,Austrian
24,24,Andreas Michl,G,"6'02""",13 03,29-01-80,Rotthalmünster,BW Linz,SCR Altach,2007,Austrian
25,25,Daniel Gramann,D,"6'03""",13 05,06-01-87,,TSV Hartberg,SCR Altach,2007,Austrian
26,26,Matthias Koch,M,"6'00""",,01-04-88,,BNZ Vorarlberg,SCR Altach,2007,Austrian
27,27,Alen Orman,D,"6'00""",12 12,31-05-78,Bugojno,Dynamo Dresden,SCR Altach,2007,Austrian
28,28,Manfred Pamminger,M,"5'11""",11 07,28-12-77,Salzburg,Schwanenstadt,SCR Altach,2007,Austrian
31,31,Martin Bischof,G,"6'01""",12 04,06-01-75,,Austria Lustenau,SCR Altach,2007,Austrian
1,1,Andreas Schranz,G,"6'00""",12 11,02-05-79,Leoben,Grazer AK,Austria Kärnten,2007,Austrian
2,2,Carlos Chaile,D,"6'00""",13  10,14-01-75,Tucuman,St. Gallen,Austria Kärnten,2007,Austrian
3,3,Thomas Pirker,D,"6'03""",13 03,17-01-87,Spittal,FC Kärnten,Austria Kärnten,2007,Austrian
