,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Manuel Kuttin,AUT,G,1.95,94,17-12-93,Spittal an der Drau,Austria Vienna,Admira Wacker Mödling,2011,Austrian
2,2,Richard Windbichler,AUT,D,1.81,72,02-04-91,Vienna,None,Admira Wacker Mödling,2011,Austrian
3,3,Stephan Palla,AUT,D,1.73,70,15-05-89,Innsbruck,Rapid Vienna,Admira Wacker Mödling,2011,Austrian
4,4,Gernot Plassnegger,AUT,M,1.79,75,23-03-78,Leoben,Ergotelis,Admira Wacker Mödling,2011,Austrian
5,5,Daniel Drescher,AUT,D,1.90,84,07-10-89,Vienna,None,Admira Wacker Mödling,2011,Austrian
6,6,Martin Zeman,CZE,M,1.74,64,28-03-89,Tábor,Sparta Prague,Admira Wacker Mödling,2011,Austrian
7,7,Patrik Jeek,CZE,M,1.72,70,28-12-76,Plzeň,Red Bull Salzburg,Admira Wacker Mödling,2011,Austrian
8,8,Bernhard Schachner,AUT,M,1.77,75,10-01-86,Mödling,Schwadorf,Admira Wacker Mödling,2011,Austrian
9,9,Issiaka Ouédraogo,BFA,F,1.81,77,19-08-88,Ouagadougou,Grödig,Admira Wacker Mödling,2011,Austrian
10,10,Lukas Thürauer,AUT,M,1.82,72,21-12-87,Krems,St. Pölten,Admira Wacker Mödling,2011,Austrian
11,11,Emin Sulimani,AUT,F,1.74,70,04-08-86,Wels,LASK Linz,Admira Wacker Mödling,2011,Austrian
12,12,Patrick Tischler,AUT,G,1.86,80,20-02-87,Hainburg,Schwadorf,Admira Wacker Mödling,2011,Austrian
13,13,Stephan Auer,AUT,D,1.76,72,11-01-91,Vienna,Schwechat,Admira Wacker Mödling,2011,Austrian
14,14,Andreas Schrott,AUT,D,1.79,73,24-08-81,Hall,USK Anif,Admira Wacker Mödling,2011,Austrian
15,15,Patrick Mevoungou,CMR,M,1.77,75,15-02-86,Yaoundé,Canon Yaoundé,Admira Wacker Mödling,2011,Austrian
16,16,Philipp Hosiner,AUT,F,1.79,75,15-05-89,Eisenstadt,First Vienna,Admira Wacker Mödling,2011,Austrian
17,17,Christopher Dibon,AUT,D,1.82,79,02-11-90,Schwechat,Schwechat,Admira Wacker Mödling,2011,Austrian
18,18,René Schicker,AUT,M,1.71,67,28-09-84,Leoben,Leoben,Admira Wacker Mödling,2011,Austrian
19,19,Bernhard Fucik,AUT,F,1.88,78,26-09-90,Wiener Neustadt,Sollenau,Admira Wacker Mödling,2011,Austrian
20,20,Benjamin Sulimani,AUT,F,1.86,78,26-09-88,Wels,Austria Vienna,Admira Wacker Mödling,2011,Austrian
21,21,Ivan Laudanović,SRB,M,1.90,70,11-01-90,,None,Admira Wacker Mödling,2011,Austrian
22,22,Stefan Schwab,AUT,M,1.85,78,27-09-90,Saalfelden,Red Bull Juniors,Admira Wacker Mödling,2011,Austrian
23,23,Rene Seebacher,AUT,D,1.80,68,24-07-88,Klagenfurt,FC Kärnten,Admira Wacker Mödling,2011,Austrian
24,24,Marcel Sabitzer,AUT,F,1.76,70,17-03-94,Graz,Austria Vienna,Admira Wacker Mödling,2011,Austrian
26,26,Daniel Toth,AUT,M,1.73,68,10-06-87,Vienna,SV Ried,Admira Wacker Mödling,2011,Austrian
30,30,Andreas Leitner,AUT,G,1.84,75,25-03-94,Leoben,Austria Vienna,Admira Wacker Mödling,2011,Austrian
1,1,Pascal Grünwald,AUT,G,1.84,79,13-11-82,Innsbruck,Wacker Innsbruck,Austria Vienna,2011,Austrian
3,3,Georg Margreitter,AUT,D,1.86,81,07-11-88,Schruns,LASK Linz,Austria Vienna,2011,Austrian
4,4,Kaja Rogulj,CRO,D,1.90,87,15-06-86,Split,Slaven Belupo,Austria Vienna,2011,Austrian
5,5,Manuel Wallner,AUT,D,1.84,76,25-10-88,Klagenfurt,Grödig,Austria Vienna,2011,Austrian
6,6,Peter Hlinka,SVK,M,1.88,82,05-12-78,Preov,Sturm Graz,Austria Vienna,2011,Austrian
7,7,Florian Klein,AUT,M,1.80,68,17-11-86,Linz,LASK Linz,Austria Vienna,2011,Austrian
8,8,Patrick Salomon,AUT,M,1.78,70,10-06-88,Vienna,Austria Lustenau,Austria Vienna,2011,Austrian
9,9,Roland Linz,AUT,F,1.85,72,09-08-81,Leoben,Gaziantepspor,Austria Vienna,2011,Austrian
10,10,Alexander Grünwald,AUT,M,1.88,79,01-05-89,Klagenfurt,Wiener Neustadt,Austria Vienna,2011,Austrian
11,11,Tomá Jun,CZE,F,1.78,72,17-01-83,Prague,Teplice,Austria Vienna,2011,Austrian
13,13,Heinz Lindner,AUT,G,1.87,80,17-07-90,Linz,None,Austria Vienna,2011,Austrian
14,14,Manuel Ortlechner,AUT,D,1.86,79,04-03-80,Ried im Innkreis,Austria Kärnten,Austria Vienna,2011,Austrian
15,15,Martin Harrer,AUT,F,1.84,74,19-05-92,Voitsberg,Köflach,Austria Vienna,2011,Austrian
17,17,Florian Mader,AUT,M,1.80,75,14-09-82,Innsbruck,SV Ried,Austria Vienna,2011,Austrian
18,18,Michael Liendl,AUT,M,1.75,72,25-10-85,Vorarlberg,Kapfenberg,Austria Vienna,2011,Austrian
19,19,Marko Stanković,AUT,F,1.75,70,17-02-86,Leoben,Triestina,Austria Vienna,2011,Austrian
20,20,Alexander Gorgon,AUT,M,1.85,76,28-10-88,Vienna,None,Austria Vienna,2011,Austrian
21,21,Günther Arnberger,AUT,G,1.83,81,17-04-92,Vienna,Stadlau,Austria Vienna,2011,Austrian
22,22,Marin Leovac,AUT,D,1.79,69,07-08-88,Jajce,None,Austria Vienna,2011,Austrian
24,24,Remo Mally,AUT,D,1.84,78,24-03-91,Wagna,None,Austria Vienna,2011,Austrian
25,25,James Holland,AUS,M,1.80,74,15-05-89,Sydney,AZ Alkmaar,Austria Vienna,2011,Austrian
26,26,Ivan Kardum,CRO,G,1.87,83,18-07-87,Osijek,Osijek,Austria Vienna,2011,Austrian
27,27,Emir Dilaver,AUT,M,1.83,78,07-05-91,Tomislavgrad,None,Austria Vienna,2011,Austrian
28,28,Dario Tadić,AUT,F,1.77,77,11-05-90,Odak,AKA Burgenland,Austria Vienna,2011,Austrian
29,29,Markus Suttner,AUT,D,1.79,71,16-04-87,Hollabrunn,None,Austria Vienna,2011,Austrian
30,30,Fabian Koch,AUT,M,1.76,68,24-06-89,Rum,Wacker Innsbruck,Austria Vienna,2011,Austrian
38,38,Tomas imkovič,AUT,M,1.78,72,16-04-87,Bratislava,Wiener Neustadt,Austria Vienna,2011,Austrian
41,42,Roman Kienast,AUT,F,1.90,75,29-03-84,Salzburg,Sturm Graz,Austria Vienna,2011,Austrian
1,1,Raphael Wolf,GER,G,1.90,86,06-06-88,Munich,Hamburg,SV Kapfenberg,2011,Austrian
2,2,René Pitter,AUT,M,1.75,67,08-07-89,Bruck an der Mur,None,SV Kapfenberg,2011,Austrian
3,3,Manfred Gollner,AUT,D,1.84,74,22-12-90,Judenburg,None,SV Kapfenberg,2011,Austrian
4,4,Dominique Taboga,AUT,D,1.88,80,06-11-82,Vienna,Tromsø,SV Kapfenberg,2011,Austrian
5,5,David Harrer,AUT,D,1.70,62,24-04-90,Bruck an der Mur,Austria Vienna,SV Kapfenberg,2011,Austrian
6,6,Thomas Schönberger,AUT,D,1.84,80,14-10-86,Graz,Grazer AK,SV Kapfenberg,2011,Austrian
8,8,Peter Struhár,SVK,D,1.91,86,17-01-84,Bratislava,DAC Dunajská Streda,SV Kapfenberg,2011,Austrian
9,9,Haruna Babangida,NGA,F,1.66,66,01-10-82,Kaduna,Vitesse,SV Kapfenberg,2011,Austrian
10,10,David Sencar,AUT,M,1.76,78,29-01-84,Leoben,Grazer AK,SV Kapfenberg,2011,Austrian
11,11,Dieter Elsneg,AUT,F,1.74,71,04-02-90,Wagna,Frosinone,SV Kapfenberg,2011,Austrian
12,12,Philipp Gröblinger,AUT,G,1.92,86,15-05-87,Bruck an der Mur,St Marein/Lorenzen,SV Kapfenberg,2011,Austrian
13,13,Stefan Erkinger,AUT,M,1.79,72,01-09-81,Graz,Grazer AK,SV Kapfenberg,2011,Austrian
14,14,Markus Felfernig,AUT,M,1.72,71,18-06-83,Salzburg,Red Bull Juniors,SV Kapfenberg,2011,Austrian
15,15,Mario Grgić,AUT,M,1.78,70,10-09-91,Banja Luka,None,SV Kapfenberg,2011,Austrian
16,16,İbrahim Bingöl,AUT,M,1.79,69,24-09-93,Varto,Großklein,SV Kapfenberg,2011,Austrian
17,17,Lukas Stadler,AUT,M,1.78,68,28-10-90,Bruck an der Mur,None,SV Kapfenberg,2011,Austrian
18,18,Michael Gregoritsch,AUT,F,1.90,74,18-04-94,Graz,1899 Hoffenheim,SV Kapfenberg,2011,Austrian
19,19,Lovre Vulin,CRO,D,1.88,82,02-09-84,Pula,České Budějovice,SV Kapfenberg,2011,Austrian
20,20,Florin Lovin,ROU,M,1.90,71,11-02-82,Piatra-Neamţ,Kerkyra,SV Kapfenberg,2011,Austrian
21,21,Michael Tieber,AUT,F,1.76,76,04-09-88,Weiz,Grazer AK,SV Kapfenberg,2011,Austrian
22,22,Armin Masović,AUT,M,1.82,79,28-06-93,,None,SV Kapfenberg,2011,Austrian
23,23,Marco Sahanek,AUT,M,1.80,70,27-01-90,,WAC/St.Andrä,SV Kapfenberg,2011,Austrian
25,25,Thomas Hirschhofer,AUT,F,1.92,74,30-01-92,Graz,None,SV Kapfenberg,2011,Austrian
26,26,Patrick Kostner,AUT,G,1.85,80,28-02-88,Vienna,Admira Wacker,SV Kapfenberg,2011,Austrian
27,27,Nathan Júnior,BRA,F,1.85,80,10-03-89,Rio de Janeiro,Skonto,SV Kapfenberg,2011,Austrian
28,28,Robert Gucher,AUT,M,1.82,74,20-02-91,Graz,Frosinone,SV Kapfenberg,2011,Austrian
29,29,Philipp Wendler,AUT,F,1.93,77,02-06-91,Feldbach,None,SV Kapfenberg,2011,Austrian
30,30,Ralph Spirk,AUT,M,1.86,83,26-10-86,Leoben,Grazer AK,SV Kapfenberg,2011,Austrian
31,31,Naim Sharifi,RUS,D,1.75,68,03-06-92,Dushanbe,Lokomotiv Moscow,SV Kapfenberg,2011,Austrian
32,32,Mark Prettenthaler,AUT,D,1.83,75,11-04-83,Graz,SV Ried,SV Kapfenberg,2011,Austrian
