,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Daniel Zítka,CZE,G,1.90,84,20-06-75,Havířov,Lokeren,Anderlecht,2008,Belgian
3,3,Olivier Deschacht,BEL,D,1.85,75,16-02-81,Gent,Lokeren,Anderlecht,2008,Belgian
4,4,Arnold Kruiswijk,NED,D,1.82,73,02-11-84,Groningen,FC Groningen,Anderlecht,2008,Belgian
5,5,Lucas Biglia,ARG,M,1.78,63,30-01-86,Mercedes,Independiente,Anderlecht,2008,Belgian
6,6,Jelle  Van Damme,BEL,D,1.94,74,10-10-83,Lokeren,Southampton,Anderlecht,2008,Belgian
7,7,Stanislav Vlček,CZE,F,1.83,79,26-02-76,Vlaim,Slavia Prague,Anderlecht,2008,Belgian
8,8,Jan Polak,CZE,M,1.81,77,14-03-81,Brno,Nürnberg,Anderlecht,2008,Belgian
9,9,Matías Suárez,ARG,F,1.76,69,09-05-88,La Falda,Belgrano (Córdoba),Anderlecht,2008,Belgian
11,11,Mbark  Boussoufa,MAR,M,1.68,58,15-08-84,Amsterdam,KAA Gent,Anderlecht,2008,Belgian
12,12,Thomas Chatelle,BEL,M,1.76,72,31-03-81,Jette,KRC Genk,Anderlecht,2008,Belgian
13,13,Jonathan Legaer,BEL,F,1.79,72,13-04-87,Liège,Standard Liège,Anderlecht,2008,Belgian
17,17,Hernán  Losada,ARG,M,1.71,64,09-05-82,Capital Federal,Germinal Beerschot,Anderlecht,2008,Belgian
19,19,Nicolás  Frutos,ARG,F,1.94,78,13-05-81,Santa Fé,Independiente,Anderlecht,2008,Belgian
20,20,Oleksandr Iakovenko,UKR,F,1.83,74,23-07-87,Kiev,KRC Genk,Anderlecht,2008,Belgian
21,21,Tom De  Sutter,BEL,F,1.92,88,03-07-85,Zottegem,Cercle Brugge,Anderlecht,2008,Belgian
22,22,Davy Schollen,BEL,G,1.90,88,28-02-78,Sint-Truiden,NAC  Breda,Anderlecht,2008,Belgian
23,23,Roland  Juhász,HUN,D,1.93,80,01-07-83,Monor,MTK,Anderlecht,2008,Belgian
25,25,Sébastien Bruzzese,BEL,G,1.84,74,01-03-89,Liège,RFC Liège,Anderlecht,2008,Belgian
26,26,Víctor  Bernárdez,HON,D,1.84,78,24-05-82,La Ceiba,Motagua,Anderlecht,2008,Belgian
27,27,Marcin Wasilewski,POL,D,1.86,88,09-06-80,Kraków,Lech Poznań,Anderlecht,2008,Belgian
28,28,Michaël  Cordier,BEL,G,1.84,73,27-03-84,Lobbes,FC  Brussels,Anderlecht,2008,Belgian
29,29,Dmitriy Bulikin,RUS,F,1.92,92,20-11-79,Moscow,Bayer Leverkusen,Anderlecht,2008,Belgian
30,30,Guillaume  Gillet,BEL,M,1.86,77,09-03-85,Liège,KAA Gent,Anderlecht,2008,Belgian
33,33,Cédric Ciza,BEL,M,1.70,63,02-02-90,Bujumbura,None,Anderlecht,2008,Belgian
34,34,Olivier Mukendi,COD,F,1.94,93,08-06-91,Kinshasa,None,Anderlecht,2008,Belgian
35,35,Quentin Crommen,BEL,M,1.71,62,05-03-91,Charleroi,None,Anderlecht,2008,Belgian
36,36,Romelu Lukaku,BEL,F,1.90,94,13-05-93,Antwerp,None,Anderlecht,2008,Belgian
37,37,Reynaldo,BRA,M,1.72,63,24-08-89,Arapiraca,None,Anderlecht,2008,Belgian
41,44,Nemanja Rnić,SRB,D,1.79,74,30-09-84,Belgrade,Partizan Belgrade,Anderlecht,2008,Belgian
42,99,Bakary Saré,CIV,M,1.82,82,05-05-90,Abidjan,FC Bibo,Anderlecht,2008,Belgian
1,1,Michael Lane,USA,G,1.88,77,07-08-88,Redondo Beach,Blackburn R,Cercle Brugge,2008,Belgian
2,2,Jelle Schotte,BEL,M,1.82,76,22-03-88,,None,Cercle Brugge,2008,Belgian
3,3,Anthony  Portier,BEL,D,1.83,79,01-06-82,Ostend,Oostende,Cercle Brugge,2008,Belgian
4,4,Arnar Vidarsson,ISL,M,1.79,77,15-03-78,Reykjavik,FC Twente,Cercle Brugge,2008,Belgian
5,5,Honour Gombani,ZIM,M,1.75,65,09-01-83,Bulawayo,Highlanders,Cercle Brugge,2008,Belgian
7,7,Dennis Viane,BEL,D,1.79,72,02-10-77,Brugge,Zerkegem,Cercle Brugge,2008,Belgian
8,8,Thomas Buffel,BEL,M,1.75,68,19-02-81,Ruddervoorde,Rangers,Cercle Brugge,2008,Belgian
9,9,Oleg Iachtchouk,BEL,F,1.81,74,26-10-77,Lanivtsi,Ergotelis,Cercle Brugge,2008,Belgian
10,10,Kanu,BRA,F,1.90,82,23-09-87,Salvador,Anderlecht,Cercle Brugge,2008,Belgian
12,12,Frederik Boi,BEL,M,1.85,69,25-10-81,Brugge,None,Cercle Brugge,2008,Belgian
13,13,Dwight Wille,BEL,D,1.85,75,25-10-89,,None,Cercle Brugge,2008,Belgian
14,14,Sergiy Serebrennikov,UKR,M,1.86,77,01-09-76,Ulan  Ude,Club Brugge,Cercle Brugge,2008,Belgian
15,15,Dominic Foley,IRL,F,1.86,80,07-07-76,Cork,KAA Gent,Cercle Brugge,2008,Belgian
16,16,Dejan Kelhar,SVN,D,1.88,85,05-04-84,Breice,Celje,Cercle Brugge,2008,Belgian
17,17,Tony  Sergeant,BEL,M,1.82,69,06-06-77,Zeveren,Bari,Cercle Brugge,2008,Belgian
18,18,Kristof  Snelders,BEL,M,1.68,63,05-09-82,Ekeren,Lierse,Cercle Brugge,2008,Belgian
19,19,Stijn De  Smet,BEL,F,1.83,74,27-03-85,Brugge,None,Cercle Brugge,2008,Belgian
20,20,Igor Gjuzelov,MKD,D,1.85,82,02-04-76,Skopje,Metalurh  Donetsk,Cercle Brugge,2008,Belgian
21,21,Bram Vandenbussche,BEL,D,1.84,71,01-02-81,Brugge,None,Cercle Brugge,2008,Belgian
22,22,Vuza Nyoni,ZIM,M,1.78,66,24-04-84,Bulawayo,Highlanders,Cercle Brugge,2008,Belgian
23,23,Wouter Artz,BEL,D,1.83,75,14-03-85,Woerden,Feyenoord,Cercle Brugge,2008,Belgian
25,25,Bram Verbist,BEL,G,1.83,76,05-03-83,Anversa,Eendracht Aalst,Cercle Brugge,2008,Belgian
30,30,Lukas Van Eeno,BEL,M,1.75,62,06-02-91,Brugge,None,Cercle Brugge,2008,Belgian
37,37,Jo Coppens,BEL,G,1.90,72,21-12-90,Heusden,KRC Genk,Cercle Brugge,2008,Belgian
1,1,Stijn Stijnen,BEL,G,1.88,83,07-04-81,Hasselt,Hasselt,Club Brugge,2008,Belgian
2,2,Laurent Ciman,BEL,D,1.80,65,05-08-85,Farciennes,Charleroi,Club Brugge,2008,Belgian
