,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Zhang Sipeng,G,"6'02""",12 04,14-05-87,,,Beijing Guo'an,2007,Chinese
2,2,Lang Zheng,D,"6'02""",12 06,22-07-86,,,Beijing Guo'an,2007,Chinese
3,3,Zhang Shuai,D,"6'00""",11 11,20-07-81,Qingdao,None,Beijing Guo'an,2007,Chinese
4,4,Zhou Ting,M,"5'11""",12 04,05-02-79,Dalian,Shenzhen,Beijing Guo'an,2007,Chinese
5,5,Aderaldo,D,"6'00""",12 00,14-06-77,Marceio,Liancheng,Beijing Guo'an,2007,Chinese
6,6,Sui Dongliang,M,"5'10""",12 06,24-09-77,Dalian,August First,Beijing Guo'an,2007,Chinese
7,7,Wang Changqing,M,"5'10""",11 11,21-03-81,Beijing,Guoli,Beijing Guo'an,2007,Chinese
8,8,Yang Pu,M,"5'10""",12 00,30-03-78,Beijing,None,Beijing Guo'an,2007,Chinese
9,9,Walter Martínez,F,"6'01""",12 08,28-03-82,Tegucigalpa,Marathón,Beijing Guo'an,2007,Chinese
10,10,Alysson,F,"6'03""",13 12,21-12-76,Brasília,,Beijing Guo'an,2007,Chinese
11,11,Yan Xiangchuang,F,"5'09""",10 06,05-09-86,Dalian,August First,Beijing Guo'an,2007,Chinese
12,12,Cui Wei,D,"6'00""",12 04,07-04-83,,,Beijing Guo'an,2007,Chinese
13,13,Xu Yunlong,M,"5'11""",12 08,17-02-79,Beijing,None,Beijing Guo'an,2007,Chinese
14,14,Wang Dong,M,"5'10""",11 09,11-06-85,,,Beijing Guo'an,2007,Chinese
15,15,Tao Wei,M,"5'09""",11 00,11-03-78,Beijing,None,Beijing Guo'an,2007,Chinese
16,16,Huang Bowen,M,"5'11""",11 05,13-07-87,Changsha,None,Beijing Guo'an,2007,Chinese
17,17,Gao Dawei,F,"5'11""",11 11,17-08-83,Shenyang,None,Beijing Guo'an,2007,Chinese
18,18,Lu Jiang,M,"5'11""",11 03,30-06-81,Beijing,None,Beijing Guo'an,2007,Chinese
19,19,Yang Hao,M,"5'09""",10 06,19-08-83,,,Beijing Guo'an,2007,Chinese
20,20,Li Yao,M,"5'09""",10 03,21-11-77,Shenyang,Dalian,Beijing Guo'an,2007,Chinese
22,22,Yang Zhi,G,"6'01""",12 06,06-06-83,Guangzhou,Shenzhen Kejian,Beijing Guo'an,2007,Chinese
23,23,Du Wenhui,F,"6'00""",12 04,19-12-83,Beijing,None,Beijing Guo'an,2007,Chinese
24,24,Wang Chao,M,"6'00""",12 01,02-02-86,,,Beijing Guo'an,2007,Chinese
25,25,Xue Shen,M,"5'11""",11 03,21-01-77,,,Beijing Guo'an,2007,Chinese
26,26,Hao Qiang,D,"5'11""",12 04,17-01-86,,,Beijing Guo'an,2007,Chinese
28,28,Guo Hui,F,"5'10""",11 05,09-04-78,Dalian,Liaoning,Beijing Guo'an,2007,Chinese
29,29,Shang Yi,F,"5'11""",10 08,20-01-79,Tianjing,,Beijing Guo'an,2007,Chinese
30,30,Zhang Yonghai,D,"6'00""",11 11,15-03-79,Panjin,Liaoning,Beijing Guo'an,2007,Chinese
31,31,Yue Kaihao,F,"6'00""",12 04,19-10-87,,,Beijing Guo'an,2007,Chinese
32,32,Hu Qiling,F,"6'00""",11 05,19-07-87,,,Beijing Guo'an,2007,Chinese
33,33,Yao Shuang,M,"6'00""",10 03,21-10-87,,,Beijing Guo'an,2007,Chinese
34,34,Hou Sen,G,"6'02""",11 03,30-06-89,,,Beijing Guo'an,2007,Chinese
35,35,Cheng Yuelei,G,"6'02""",12 08,28-10-87,,,Beijing Guo'an,2007,Chinese
36,36,Zhu Yifan,M,"6'00""",10 08,01-03-88,,,Beijing Guo'an,2007,Chinese
37,37,Li Hongzhe,D,"6'02""",11 11,01-02-87,,,Beijing Guo'an,2007,Chinese
38,38,Xue Fei,M,"5'10""",09 11,29-10-87,,,Beijing Guo'an,2007,Chinese
39,39,Yu Lei,D,"5'11""",12 01,22-05-85,,,Beijing Guo'an,2007,Chinese
40,40,Wang Hao,M,"5'10""",09 13,18-02-89,,,Beijing Guo'an,2007,Chinese
41,41,Sang Yifei,M,"5'09""",10 10,18-02-89,,,Beijing Guo'an,2007,Chinese
42,42,Huang Jun,M,"5'09""",10 03,08-03-90,,,Beijing Guo'an,2007,Chinese
1,1,Zong Lei,G,"6'02""",12 11,26-07-81,Tianjing,Shandong,Changchun Yatai,2007,Chinese
2,2,Wang Wanpeng,D,"6'01""",12 04,09-06-82,,,Changchun Yatai,2007,Chinese
