,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Zhang Sipeng,CHN,G,1.88,78,14-05-87,Beijing,None,Beijing Guoan,2014,Chinese
2,2,Li Yunqiu,CHN,D,1.73,66,03-10-90,Shanghai,Shanghai East Asia,Beijing Guoan,2014,Chinese
3,3,Yu Yang,CHN,D,1.83,72,06-08-89,Tianjin,None,Beijing Guoan,2014,Chinese
4,4,Zhou Ting,CHN,M,1.81,78,05-02-79,Dalian,Shenzhen,Beijing Guoan,2014,Chinese
5,5,Darko Matić,CRO,D,1.83,81,26-09-80,Domaljevac,Tianjin Teda,Beijing Guoan,2014,Chinese
6,6,Zhang Xiaobin,CHN,M,1.77,65,14-02-85,Xi'an,Tianjin Teda,Beijing Guoan,2014,Chinese
7,7,Yang Yun,CHN,D,1.83,72,18-07-89,Beijing,None,Beijing Guoan,2014,Chinese
9,9,Tan Tiancheng,CHN,F,1.77,76,15-05-91,Taiyuan,None,Beijing Guoan,2014,Chinese
10,10,Zhang Xizhe,CHN,M,1.76,68,23-01-91,Wuhan,None,Beijing Guoan,2014,Chinese
11,11,Song Boxuan,CHN,M,1.80,73,16-09-89,Tianjin,Shanghai Shenhua,Beijing Guoan,2014,Chinese
12,12,Hou Sen,CHN,G,1.88,71,30-06-89,Beijing,None,Beijing Guoan,2014,Chinese
13,13,Xu Yunlong,CHN,M,1.82,79,17-02-79,Beijing,None,Beijing Guoan,2014,Chinese
16,16,Ha Dae-Sung,KOR,M,1.80,68,02-03-85,Incheon,FC Seoul,Beijing Guoan,2014,Chinese
17,17,Pablo Batalla,ARG,M,1.70,65,16-01-84,Córdoba,Bursaspor,Beijing Guoan,2014,Chinese
18,18,Lang Zheng,CHN,D,1.86,79,22-07-86,Shijiazhuang,Hebei,Beijing Guoan,2014,Chinese
20,20,Zhang Xinxin,CHN,M,1.78,72,19-10-83,Beijing,Wuhan,Beijing Guoan,2014,Chinese
21,21,Erton Fejzullahu,SWE,F,1.81,80,13-03-88,Mitrovica,Djurgårdens IF,Beijing Guoan,2014,Chinese
22,22,Yang Zhi,CHN,G,1.86,78,15-01-83,Guangzhou,Guangdong Xiongying,Beijing Guoan,2014,Chinese
23,23,Chen Zhizhao,CHN,M,1.70,61,14-03-88,Guangzhou,Shanghai Shenxin,Beijing Guoan,2014,Chinese
24,24,Li Hanbo,CHN,M,1.70,68,26-01-91,Shenyang,None,Beijing Guoan,2014,Chinese
25,25,Zhang Shuai,CHN,D,1.86,78,18-01-93,Kaifeng,None,Beijing Guoan,2014,Chinese
26,26,Wang Hao,CHN,M,1.77,63,18-02-89,Beijing,None,Beijing Guoan,2014,Chinese
27,27,Dejan Damjanović,MNE,F,1.87,81,27-07-81,Pljevlja,Jiangsu Guoxin-Sainty,Beijing Guoan,2014,Chinese
28,28,Zhang Chengdong,CHN,F,1.84,73,09-02-89,Baoding,Mafra,Beijing Guoan,2014,Chinese
29,29,Shao Jiayi,CHN,M,1.88,83,10-04-80,Beijing,Duisburg,Beijing Guoan,2014,Chinese
30,30,Lei Tenglong,CHN,M,1.83,70,17-01-91,Wuhan,None,Beijing Guoan,2014,Chinese
31,31,Zhao Hejing,CHN,D,1.86,72,19-05-85,Chongqing,Dalian Aerbin,Beijing Guoan,2014,Chinese
32,32,Tong Le,CHN,M,1.74,68,29-04-93,Nanjing,None,Beijing Guoan,2014,Chinese
33,33,Wei Xin,CHN,D,1.78,70,17-02-95,Xuzhou,None,Beijing Guoan,2014,Chinese
34,34,Ba Dun,CHN,M,1.79,67,16-09-95,Yantai,None,Beijing Guoan,2014,Chinese
