,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Jimmy Nielsen,G,"6'03""",14 02,06-08-77,Aalborg,Millwall,Aalborg,2006,Danish
2,2,Michael Jakobsen,D,"6'01""",12 08,02-01-86,Copenhagen,PSV Eindhoven,Aalborg,2006,Danish
3,3,Martin Pedersen,D,"5'09""",10 06,10-09-83,Aalborg,None,Aalborg,2006,Danish
4,4,Danny  Califf,D,6'01'',12  07,17-03-80,Montclair,San  Jose Earthquakes,Aalborg,2006,Danish
5,5,Jón  Rói Jacobsen,D,"6'01""",11  07,07-04-83,,Frem,Aalborg,2006,Danish
7,7,Mattias  Lindström,M,"6'00""",12 01,18-04-80,,Helsingborg,Aalborg,2006,Danish
8,8,Fredrik Winsnes,M,"5'08""",11  07,28-12-75,Trondheim,Rosenborg,Aalborg,2006,Danish
9,9,Thomas Augustinussen,F,"6'04""",13 03,20-03-81,Svendborg,Aabybro,Aalborg,2006,Danish
10,10,Rade Prica,F,6'01'',12  08,30-06-80,Ljungby,Hansa Rostock,Aalborg,2006,Danish
14,14,Jeppe  Curth,F,"5'10""",11  11,21-03-84,Hillerød,Feyenoord,Aalborg,2006,Danish
15,15,Siyabonga  Nomvethe,F,"5'10""",11  07,02-12-77,Kwa Mashu,Orlando  Pirates,Aalborg,2006,Danish
16,16,Allan  Olesen,D,"5'10""",11 00,25-01-74,Hoje-Taastrup,St-Etienne,Aalborg,2006,Danish
17,17,Mahmoud El-Hajj,M,"5'09""",11  07,13-02-87,,None,Aalborg,2006,Danish
18,18,Cacá,M,"5'10""",10  10,09-10-82,Belo  Horizente,Atlético Mineiro,Aalborg,2006,Danish
19,19,Súni  Olsen,D,"5'11""",12  04,07-03-81,Tórshavn,FC  Zwolle,Aalborg,2006,Danish
20,20,Simon Bræmer,F,"5'09""",12  11,19-03-84,Copenhagen,Hjørring,Aalborg,2006,Danish
21,21,Kasper  Risgård,M,"6'00""",11 11,04-01-83,Aars,FC Nordsjælland,Aalborg,2006,Danish
22,22,Rasmus  Würtz,D,"5'10""",10 10,18-09-83,Skive,Skive,Aalborg,2006,Danish
23,23,Thomas  Enevoldsen,M,"5'11""",11  09,27-06-87,,None,Aalborg,2006,Danish
24,24,Jens-Kristian  Sørensen,M,"6'02""",10  10,21-03-87,,None,Aalborg,2006,Danish
25,25,Chrys,F,,,06-12-86,,Fluminense,Aalborg,2006,Danish
26,26,Darlan Pinto,M,"6'00""",11 09,27-02-87,,,Aalborg,2006,Danish
27,27,Patrick  Kristensen,F,"5'08""",10  10,28-04-87,,None,Aalborg,2006,Danish
28,28,Casper  Jacobsen,G,"6'03""",14  05,12-07-79,Viborg,Hobro,Aalborg,2006,Danish
29,29,José Mota,F,"6'01""",12 06,10-05-79,,Viborg,Aalborg,2006,Danish
30,30,Kenneth Stenild Nielsen,G,"6'02""",12 04,11-09-87,Aalborg,None,Aalborg,2006,Danish
31,31,Lasse Nielsen,D,,,08-01-88,,Nästved,Aalborg,2006,Danish
32,32,Ronnie Schwartz,F,,,29-08-89,,None,Aalborg,2006,Danish
36,36,Thomas Kortegaard,D,"5'10""",11 00,02-08-84,Thisted,FC Nordsjælland,Aalborg,2006,Danish
2,2,Trond Andersen,D,"6'02""",11 11,06-01-75,Kristiansund,Aalborg,Brřndby,2006,Danish
3,3,Thomas Rytter,D,5'11'',11  09,06-01-74,Copenhagen,Wolfsburg,Brřndby,2006,Danish
4,4,Per Nielsen,D,"6'03""",13 08,15-10-73,Aarhus,None,Brřndby,2006,Danish
5,5,Mark  Howard,D,"6'01""",12  08,29-01-86,Manchester,Manchester  U,Brřndby,2006,Danish
6,6,Marcus Lantz,M,5'10'',11  00,23-10-75,Kristianstad,Hansa Rostock,Brřndby,2006,Danish
7,7,Kasper Lorentzen,F,"5'11""",11 09,19-11-85,Hvidovre,Rosenhøj,Brřndby,2006,Danish
8,8,Kim Daugaard,M,"5'10""",11 07,29-07-74,Køge,Herfølge,Brřndby,2006,Danish
9,9,Martin Retov,M,"5'10""",12 13,05-05-80,Rødovre,Køge,Brřndby,2006,Danish
10,10,Martin Ericsson,M,"5'10""",12 00,04-09-80,Gustavsd,Aalborg,Brřndby,2006,Danish
11,11,Mads  Jørgensen,M,"6'00""",10  10,10-02-79,Rymogaard,Stabæk,Brřndby,2006,Danish
12,12,Giovanni Rector,F,"5'09""",11  07,27-01-82,Cape Town,Ajax  Cape Town,Brřndby,2006,Danish
14,14,Joseph Elanga,M,"5'11""",11 07,02-05-79,,Malmö,Brřndby,2006,Danish
15,15,Ruben Bagger,F,"6'01""",14 02,16-01-72,,Roskilde,Brřndby,2006,Danish
16,16,Stephan  Andersen,G,"6'03""",13  00,26-11-81,Copenhagen,Charlton Ath,Brřndby,2006,Danish
17,17,Morten  D Rasmussen,F,"6'01""",12 01,31-01-85,Copenhagen,Aarhus,Brřndby,2006,Danish
18,18,Henrik Kildentoft,D,"6'00""",12 00,18-03-85,Avedøre,Rosenhøj,Brřndby,2006,Danish
19,19,Jean  Philippe Peguero,F,"6'01""",13  03,19-09-81,Port-de-Paix,New York  Red Bulls,Brřndby,2006,Danish
20,20,Asbjørn Sennels,D,"6'00""",12 00,17-01-79,Braband,Viborg,Brřndby,2006,Danish
21,21,Thomas  Rasmussen,M,6'00'',11  07,16-04-77,Frederiksberg,Hansa Rostock,Brřndby,2006,Danish
22,22,Morten  Rasmussen,D,"6'01""",12  01,26-03-85,,Glostrup,Brřndby,2006,Danish
23,23,Martin  Spelmann,D,"5'09""",11  00,21-03-87,Copenhagen,Rosenhøj,Brřndby,2006,Danish
24,24,Mikkel Bischoff,D,6'04'',13  05,03-02-82,Copenhagen,Coventry C,Brřndby,2006,Danish
26,26,Mike Jensen,M,"5'09""",11  11,19-02-88,Rødovre,None,Brřndby,2006,Danish
27,27,Marc Olsen,M,"5'09""",10 01,15-01-86,Brønshøj,None,Brřndby,2006,Danish
28,28,Christopher Katongo,F,"5'10""",10 12,31-08-82,Mufulira,Jomo Cosmos,Brřndby,2006,Danish
30,30,Michael  Tørnæs,G,"6'02""",12  06,08-01-86,,None,Brřndby,2006,Danish
31,31,David  Williams,F,"5'09""",11  00,26-02-88,Brisbane,Queensland  Roar,Brřndby,2006,Danish
40,40,Morten Cramer,G,"6'05""",15 02,07-11-67,Frederiksberg,Herfølge,Brřndby,2006,Danish
41,41,Nicolaj Agger,F,"6'01""",12 04,23-10-88,,,Brřndby,2006,Danish
1,1,Tally Hall,G,"6'04""",14 09,12-05-85,SeaTac,LA Galaxy,Esbjerg,2006,Danish
2,2,Frank Hansen,D,"5'09""",11 00,23-02-83,Jyllinge,Ølstykke,Esbjerg,2006,Danish
3,3,Fernando Derveld,D,"6'02""",13 00,22-10-76,Vlissingen,SC  Heerenveen,Esbjerg,2006,Danish
4,4,Igor Stepanovs,D,"6'04""",13 05,21-01-76,Ogre,Jurmala,Esbjerg,2006,Danish
5,5,Anders  Nøhr,M,"5'10""",11 07,01-01-70,,Horsens,Esbjerg,2006,Danish
6,6,Niki Zimling,M,"5'09""",12 01,19-04-85,Tårnby,Brøndby,Esbjerg,2006,Danish
7,7,Jonas Bjurström,M,"5'10""",12 01,24-03-79,,Trelleborg,Esbjerg,2006,Danish
9,9,Njodu  Demba-Nyrén,F,"6'02""",12  08,26-06-79,,Panathinaikos,Esbjerg,2006,Danish
10,10,Thiago,M,"5'07""",09 13,22-10-88,,EC Bahia,Esbjerg,2006,Danish
11,11,Jesper  Bech,F,"6'00""",11  00,25-05-82,Skovshoved,Malmö,Esbjerg,2006,Danish
12,12,Simon Azoulay Pedersen,F,"6'02""",12 08,14-12-82,,AB  København,Esbjerg,2006,Danish
14,14,Martin  Vingård,M,"5'11""",11  00,20-03-85,Fangel,B1913  Odense,Esbjerg,2006,Danish
15,15,Andreas Klarström,M,"5'09""",11 00,23-12-77,,Elfsborg,Esbjerg,2006,Danish
