,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Nicolai Larsen,DEN,G,1.90,83,09-03-91,,Lyngby,Aalborg,2014,Danish
2,2,Patrick Kristensen,DEN,D,1.73,68,28-04-87,Silkeborg,None,Aalborg,2014,Danish
3,3,Jakob Ahlmann,DEN,D,1.79,70,18-01-91,Aalborg,FC Midtjylland,Aalborg,2014,Danish
5,5,Kenneth Emil Petersen,DEN,D,1.87,83,15-01-85,Copenhagen,Horsens,Aalborg,2014,Danish
6,6,Donny Gorter,NED,M,1.75,70,15-06-88,Sint-Willebrord,AZ Alkmaar,Aalborg,2014,Danish
7,7,Thomas Enevoldsen,DEN,M,1.81,74,27-06-87,Aalborg,Mechelen,Aalborg,2014,Danish
8,8,Rasmus Würtz,DEN,M,1.79,68,18-09-83,Skive,FC København,Aalborg,2014,Danish
9,9,Thomas Augustinussen,DEN,F,1.92,84,20-03-81,Svendborg,Red Bull Salzburg,Aalborg,2014,Danish
10,10,Rasmus Jönsson,SWE,F,1.92,70,27-01-90,Helsingborg,Wolfsburg,Aalborg,2014,Danish
11,11,Nicklas Helenius,DEN,F,1.95,83,08-05-91,Svenstrup,Aston Villa,Aalborg,2014,Danish
14,14,Andreas Blomqvist,SWE,M,1.82,71,05-05-92,Sölvesborg,Mjällby AIF,Aalborg,2014,Danish
15,15,Gilli Rólantsson,FRO,D,1.76,64,08-11-92,Tvøroyri,B36 Tórshavn,Aalborg,2014,Danish
16,16,Mathias Thrane,DEN,M,1.91,86,04-09-93,,Hellerup,Aalborg,2014,Danish
18,18,Anders Jacobsen,DEN,F,1.81,77,27-10-89,,Fredericia,Aalborg,2014,Danish
20,20,Henrik Dalsgaard,DEN,F,1.89,79,27-07-89,Roum,Møldrup/Tostrup,Aalborg,2014,Danish
21,21,Kasper Risgård,DEN,M,1.85,75,04-01-83,Aars,Silkeborg,Aalborg,2014,Danish
22,22,Carsten Christensen,DEN,G,1.89,86,28-08-86,Vejen,Fredericia,Aalborg,2014,Danish
23,23,Nikolaj Thomsen,DEN,M,1.80,75,08-05-93,Skagen,None,Aalborg,2014,Danish
25,25,Frederik Børsting,DEN,M,1.83,74,13-02-95,,None,Aalborg,2014,Danish
26,26,Rasmus Thelander,DEN,D,1.91,88,09-07-91,Copenhagen,AB København,Aalborg,2014,Danish
28,28,Viktor Ahlmann,DEN,F,1.80,75,03-01-95,Brønderslev,None,Aalborg,2014,Danish
29,29,Jannik Pohl,DEN,F,1.83,77,06-04-96,Hjørring,None,Aalborg,2014,Danish
30,30,Andreas Bruhn,DEN,M,1.78,70,17-02-94,Støvring,None,Aalborg,2014,Danish
31,31,Jakob Blåbjerg,DEN,D,1.80,75,11-01-95,Aalborg,None,Aalborg,2014,Danish
32,32,Kasper Pedersen,DEN,D,1.85,75,21-04-93,Aabybro,None,Aalborg,2014,Danish
33,33,Lukas Spalvis,LTU,F,1.87,78,27-07-94,Vilnius,Freiburg,Aalborg,2014,Danish
34,34,Frederik Reimer,DEN,G,,,11-09-96,,None,Aalborg,2014,Danish
35,35,Asger Bust Sørensen,DEN,M,,,24-09-96,,None,Aalborg,2014,Danish
36,36,Morten Rokkedal,DEN,D,,,10-10-97,,None,Aalborg,2014,Danish
1,1,Luká Hrádecký,FIN,G,1.87,67,24-11-89,Bratislava,Esbjerg,Brřndby,2014,Danish
5,5,Martin Albrechtsen,DEN,D,1.88,78,31-03-80,Copenhagen,FC Midtjylland,Brřndby,2014,Danish
6,6,Martin Ørnskov Nielsen,DEN,M,1.84,75,10-10-85,Silkeborg,Viking,Brřndby,2014,Danish
7,7,Thomas Kahlenberg,DEN,M,1.83,72,20-03-83,Hvidovre,Wolfsburg,Brřndby,2014,Danish
8,8,Alexander Szymanowski,ARG,M,1.73,70,13-10-88,Buenos Aires,Recreativo Huelva,Brřndby,2014,Danish
9,9,Teemu Pukki,FIN,F,1.76,66,29-03-90,Kotka,Celtic,Brřndby,2014,Danish
10,10,José Ariel Núñez,PAR,F,1.72,74,12-09-88,Luque,Libertad,Brřndby,2014,Danish
11,11,Johan Elmander,SWE,F,1.88,79,27-05-81,Alingsas,Galatasaray,Brřndby,2014,Danish
12,12,Frederik Holst,DEN,D,1.77,70,24-09-94,Copenhagen,BK Union,Brřndby,2014,Danish
13,13,Johan Larsson,SWE,D,1.81,75,05-05-90,Kinna,IF Elfsborg,Brřndby,2014,Danish
14,14,Elba Rashani,NOR,F,1.81,69,09-05-93,Hillerstorp,Odd,Brřndby,2014,Danish
16,16,Michael Falkesgaard,DEN,G,1.91,78,09-04-91,Kastrup,None,Brřndby,2014,Danish
17,17,Riza Durmisi,DEN,D,1.68,67,08-01-94,Copenhagen,None,Brřndby,2014,Danish
18,18,Lebogang Phiri,RSA,M,1.76,72,09-11-94,Johannesburg,Bidvest Wits,Brřndby,2014,Danish
19,19,Christian Nørgaard,DEN,M,1.86,75,10-03-94,Copenhagen,Hamburg,Brřndby,2014,Danish
20,20,Dario Dumić,DEN,D,1.88,85,30-01-92,Sarajevo,Norwich C,Brřndby,2014,Danish
21,21,Andrew Hjulsager,DEN,M,1.77,71,15-01-95,,None,Brřndby,2014,Danish
