,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Olivier Sorin,G,"6'02""",11 13,16-04-81,Gien,Nancy,Auxerre,2007,French
3,3,Jean-Sébastien Jaures,D,"5'09""",11 13,30-09-77,Tours,None,Auxerre,2007,French
4,4,Stéphane Grichting,D,"6'01""",12 08,30-03-79,Sierre,Sion,Auxerre,2007,French
5,5,Frédéric Thomas,M,"5'08""",11 11,10-08-80,Sarcelles,Le  Mans,Auxerre,2007,French
6,6,Marcos António,D,6'01'',13 05,25-05-83,Alagoinhas,União de Leiria,Auxerre,2007,French
7,7,Kamel Chafni,M,"5'11""",11 00,11-06-82,Bordeaux,Ajaccio,Auxerre,2007,French
8,8,Issa Ba,M,"6'00""",12 01,07-10-81,Dakar,Châteauroux,Auxerre,2007,French
9,9,Vlad Munteanu,M,"6'00""",11 07,16-01-81,Bacău,Wolfsburg,Auxerre,2007,French
10,10,Thomas  Kahlenberg,M,"6'00""",11  05,20-03-83,Hvidovre,Brøndby,Auxerre,2007,French
11,11,Julien  Quercia,F,"5'07""",10  10,17-08-86,Thionville,Sochaux,Auxerre,2007,French
12,12,Jean-Pascal Mignot,D,"6'00""",11 11,26-02-81,Rouen,None,Auxerre,2007,French
13,13,Kevin Lejeune,F,"6'01""",12 00,22-01-85,Cambrai,None,Auxerre,2007,French
14,14,Dennis Oliech,F,"5'11""",12  08,02-02-85,Nairobi,Nantes,Auxerre,2007,French
15,15,Baptiste  Martin,D,"6'00""",10  12,14-05-85,Troyes,None,Auxerre,2007,French
16,16,Rémy  Riou,G,"6'02""",12  11,06-08-87,Lyon,Lyon,Auxerre,2007,French
17,17,Benoît Pedretti,M,"5'09""",10  12,12-11-80,Audincourt,Lyon,Auxerre,2007,French
18,18,Gabriel Tamaş,D,"6'02""",12 06,09-11-83,Braşov,Spartak  Moscow,Auxerre,2007,French
19,19,Steven Langil,M,"5'10""",10 08,04-03-88,Morne Rouge,Nîmes,Auxerre,2007,French
20,20,Ludovic Genest,F,"5'08""",10 01,18-09-87,Thiers,None,Auxerre,2007,French
21,21,Daniel George Niculae,F,"6'01""",12 00,06-10-82,Bucharest,Rapid  Bucureşti,Auxerre,2007,French
22,22,Ireneusz  Jeleń,F,"6'00""",11 09,09-04-81,Cieszyn,Wisła  Płock,Auxerre,2007,French
23,23,Onanga Itoua,D,"5'10""",10 08,07-09-88,Blois,None,Auxerre,2007,French
24,24,Lynel Kitambala,F,"5'10""",11 05,26-10-88,Creil,None,Auxerre,2007,French
25,25,Jérémy Messiba,D,"6'00""",12 06,01-01-88,Pointe-à-Pitre,None,Auxerre,2007,French
26,26,Maxime Jasse,D,"5'09""",11 03,04-01-88,Villefranche sur Saône,None,Auxerre,2007,French
27,27,Alain Traoré,M,"5'09""",10  06,31-12-88,Dioulasso,None,Auxerre,2007,French
28,28,Robert Popov,D,"6'01""",12 13,16-04-82,Strumica,Litex Lovech,Auxerre,2007,French
29,29,Sammy  Traoré,D,"6'03""",12 12,25-02-76,Créteil,Paris St-Germain,Auxerre,2007,French
30,30,Denis Petric,G,"6'01""",11 11,24-05-88,Ljubljana,None,Auxerre,2007,French
41,,Arnaud Sauvage,G,"6'01""",11 11,01-02-84,Chaumont,None,Auxerre,2007,French
1,1,Kévin Olimpa,G,"6'01""",12  11,10-03-88,Paris,INF Clairefontaine,Bordeaux,2007,French
3,3,Henrique,D,"6'02""",12 04,02-05-83,São Gonçalo,Flamengo,Bordeaux,2007,French
4,4,Alou  Diarra,M,6'03'',12  06,15-07-81,Villepinte,Lyon,Bordeaux,2007,French
5,5,Fernando Menegazzo,M,"6'01""",12  11,03-05-81,Anita Garibaldi,Siena,Bordeaux,2007,French
6,6,Franck Jurietti,D,"5'08""",11 02,30-03-75,Valence,Monaco,Bordeaux,2007,French
7,7,Johan Micoud,M,6'02'',12  13,24-07-73,Cannes,Werder Bremen,Bordeaux,2007,French
8,8,Alejandro  Alonso,M,"5'07""",10  10,03-03-82,Buenos  Aires,Huracán,Bordeaux,2007,French
9,9,Fernando Cavenaghi,F,"5'10""",12 11,21-09-83,O'Brien,Spartak Moscow,Bordeaux,2007,French
10,10,Juan Pablo Francia,M,"5'08""",10 12,03-12-84,Córdoba,Belgrano (Córdoba),Bordeaux,2007,French
11,11,David Bellion,F,6'00'',11 09,27-11-82,Paris,Nice,Bordeaux,2007,French
13,13,David Jemmali,D,"6'01""",12 06,13-12-74,Toulouse,Cannes,Bordeaux,2007,French
14,14,Souleymane Diawara,D,"6'00""",11 09,24-12-78,Gabou,Charlton Ath,Bordeaux,2007,French
15,15,Jussiê,F,"5'11""",11  00,19-10-83,Nova  Venécia,Lens,Bordeaux,2007,French
16,16,Ulrich Ramé,G,"6'01""",13 00,19-09-72,Nantes,Angers,Bordeaux,2007,French
17,17,Wendel,M,"5'11""",11 00,08-04-82,Mariana,Cruzeiro,Bordeaux,2007,French
18,18,Romain Brégerie,D,"6'02""",13 07,09-08-86,Talence,None,Bordeaux,2007,French
19,19,Pierre Ducasse,M,"5'10""",11  07,07-05-87,Bordeaux,None,Bordeaux,2007,French
21,21,Mathieu Chalmé,D,"5'08""",11 00,07-10-80,Bruges,Lille,Bordeaux,2007,French
22,22,Ted Lavie,M,"5'10""",11 09,19-03-86,Montpellier,None,Bordeaux,2007,French
23,23,Florian Marange,D,"5'11""",12  00,03-03-86,Talence,None,Bordeaux,2007,French
25,25,Henri Saivet,F,"5'08""",11 00,26-10-90,Dakar,None,Bordeaux,2007,French
26,26,Gabriel Obertan,F,"6'01""",12  06,26-02-89,Pantin,None,Bordeaux,2007,French
27,27,Marc Planus,D,"5'10""",11 11,07-03-82,Bordeaux,None,Bordeaux,2007,French
28,28,Benoît  Trémoulinas,D,"5'08""",10  01,28-12-85,Bordeaux,None,Bordeaux,2007,French
29,29,Marouane Chamakh,F,"6'00""",11 00,10-01-84,Tonnens,None,Bordeaux,2007,French
30,30,Matthieu Valverde,G,"6'00""",12 03,14-05-83,Montreuil,None,Bordeaux,2007,French
32,32,Abdou Traoré,M,"5'10""",11 07,17-01-88,Bamako,None,Bordeaux,2007,French
35,35,Wilfried Moimbé,M,"5'08""",10 03,18-10-88,Vichy,None,Bordeaux,2007,French
1,1,Benoît Costil,G,"6'01""",12  04,03-07-87,Caen,None,Caen,2007,French
2,2,Nicolas Seube,D,"5'10""",11 00,11-08-79,Toulouse,Toulouse,Caen,2007,French
3,3,Karl Svensson,D,"6'02""",12 13,21-03-84,Jönköping,Rangers,Caen,2007,French
4,4,Brahim Thiam,D,"6'00""",12 12,24-02-74,Saint Denis,Istres,Caen,2007,French
5,5,Sébastien Mazure,F,"5'11""",11 04,20-03-79,Paris,St-Etienne,Caen,2007,French
7,7,Anthony Deroin,M,"5'04""",09 12,15-03-79,Caen,None,Caen,2007,French
9,9,Stéphane Samson,F,"5'10""",11 11,30-09-75,Bernay,Clermont,Caen,2007,French
10,10,Yoan  Gouffran,F,"5'09""",11  00,25-05-86,Villeneuve-st-Georges,None,Caen,2007,French
12,12,Grégory Proment,M,"5'09""",10 12,10-12-78,Paris,Metz,Caen,2007,French
13,13,Florian Boucansaud,D,"6'01""",11 04,15-02-81,Noisy le Sec,Troyes,Caen,2007,French
14,14,Julien Toudic,F,"5'10""",11 10,23-02-85,Caen,None,Caen,2007,French
16,16,Vincent Planté,G,"6'02""",12 06,19-11-80,Lille,Cannes,Caen,2007,French
17,17,Benjamin Nivet,M,5'10'',11 11,02-01-77,Chartres,Troyes,Caen,2007,French
18,18,Guillaume  Quellier,M,"5'10""",10  06,25-06-86,Caen,None,Caen,2007,French
19,19,Jérémy  Sorbon,D,"5'11""",11  07,05-08-83,Caen,None,Caen,2007,French
20,20,Reynald Lemaître,M,"5'08""",10 03,28-06-83,Chambray-lès-Tours,None,Caen,2007,French
21,21,Issam  Jemaa,F,"6'01""",12  08,28-01-84,Gabes,Lens,Caen,2007,French
22,22,Cédric Hengbart,D,"6'00""",11 06,13-07-80,Falaise,Mondeville,Caen,2007,French
23,23,Mustapha  Traoré,D,"6'01""",11  07,09-07-82,Paris,Mondeville,Caen,2007,French
24,24,Grégory  Leca,M,"6'00""",13  03,22-08-80,Metz,Metz,Caen,2007,French
25,25,Lilian Compan,F,6'00'',11 05,30-04-77,Hyères,St-Etienne,Caen,2007,French
26,26,Oumar N'Diaye,D,"5'11""",11 00,22-07-85,Mantes la Jolie,Mondeville,Caen,2007,French
27,27,Nicolas  Florentin,F,"6'00""",12  00,16-02-78,Pont  a Mousson,Troyes,Caen,2007,French
28,28,Juan  Eluchans,M,"5'10""",10 03,14-04-80,Tandil,Independiente,Caen,2007,French
29,29,Rémi Gomis,M,5'10'',10 01,14-02-84,Versailles,Laval,Caen,2007,French
