,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Olivier Sorin,FRA,G,1.88,76,16-04-81,Gien,Nancy,Auxerre,2009,French
2,2,Cédric Hengbart,FRA,D,1.83,73,13-07-80,Falaise,Caen,Auxerre,2009,French
4,4,Stéphane Grichting,SUI,D,1.86,80,30-03-79,Sierre,Sion,Auxerre,2009,French
5,5,Dariusz Dudka,POL,D,1.82,71,09-12-83,Kostrzyn nad Odrą,Wisła  Kraków,Auxerre,2009,French
6,6,Adama Coulibaly,MLI,D,1.86,83,09-10-80,Bamako,Lens,Auxerre,2009,French
7,7,Kamel Chafni,MAR,M,1.81,70,11-06-82,Bordeaux,Ajaccio,Auxerre,2009,French
8,8,Aurèlien  Capoue,FRA,M,1.85,74,28-02-82,Niort,Nantes,Auxerre,2009,French
9,9,Valter  Birsa,SVN,F,1.84,79,07-08-86,Sempeter  pri Gorici,Sochaux,Auxerre,2009,French
10,10,Alexandre Licata,FRA,M,1.78,76,02-01-84,Grenoble,Monaco,Auxerre,2009,French
11,11,Julien  Quercia,FRA,F,1.68,65,17-08-86,Thionville,Sochaux,Auxerre,2009,French
12,12,Jean-Pascal Mignot,FRA,D,1.83,75,26-02-81,Rouen,None,Auxerre,2009,French
13,13,Kévin Malaga,FRA,D,1.89,81,24-06-87,Toulon,None,Auxerre,2009,French
14,14,Dennis Oliech,KEN,F,1.81,80,02-02-85,Nairobi,Nantes,Auxerre,2009,French
15,15,Baptiste  Martin,FRA,D,1.86,81,14-05-85,Troyes,None,Auxerre,2009,French
16,16,Rémy  Riou,FRA,G,1.91,81,06-08-87,Lyon,Lyon,Auxerre,2009,French
17,17,Benoît Pedretti,FRA,M,1.77,69,12-11-80,Audincourt,Lyon,Auxerre,2009,French
18,18,Roy  Contout,FRA,M,1.75,75,11-02-85,Cayenne,Amiens,Auxerre,2009,French
19,19,Yaya Sanogo,FRA,F,1.91,74,27-01-93,Massy,None,Auxerre,2009,French
20,20,Amadou Sidibé,MLI,D,1.73,72,19-02-86,Bamako,Djoliba,Auxerre,2009,French
21,21,Daniel Niculae,ROU,F,1.85,76,06-10-82,Bucharest,Rapid  Bucureşti,Auxerre,2009,French
22,22,Ireneusz  Jeleń,POL,F,1.84,74,09-04-81,Cieszyn,Wisła  Płock,Auxerre,2009,French
23,23,Jérémy Berthod,FRA,D,1.80,74,24-04-84,Tassin-la-Demi-Lune,Monaco,Auxerre,2009,French
24,24,Amara Kallé,MLI,D,1.84,78,19-09-90,Bamako,AS Real Bamako,Auxerre,2009,French
25,25,Maxime Bourgeois,FRA,F,1.83,77,03-02-91,Brunoy,None,Auxerre,2009,French
26,26,Anicet Andrianantenaina,MAD,F,1.82,71,16-03-90,Antananarivo,None,Auxerre,2009,French
27,27,Alain Traoré,BFA,M,1.76,66,31-12-88,Bobo-Dioulasso,None,Auxerre,2009,French
28,28,Robert Popov,BUL,D,1.85,80,16-04-82,Strumica,Litex Lovech,Auxerre,2009,French
29,29,Delvin Ndinga,CGO,M,1.82,73,03-04-88,Pointe Noire,None,Auxerre,2009,French
30,30,Willy Maeyens,FRA,G,1.98,93,05-06-89,Péronne,None,Auxerre,2009,French
34,34,Vincent Acapandié,FRA,M,1.80,79,09-02-90,Saint-Pierre,None,Auxerre,2009,French
1,1,Cédric Carrasso,FRA,G,1.87,87,30-12-81,Avignon,Toulouse,Bordeaux,2009,French
2,2,Michaël Ciani,FRA,D,1.89,88,06-04-84,Paris,Lorient,Bordeaux,2009,French
3,3,Henrique,BRA,D,1.88,78,02-05-83,São Gonçalo,Flamengo,Bordeaux,2009,French
4,4,Alou  Diarra,FRA,M,1.90,79,15-07-81,Villepinte,Lyon,Bordeaux,2009,French
5,5,Fernando Menegazzo,BRA,M,1.86,79,03-05-81,Anita Garibaldi,Siena,Bordeaux,2009,French
6,6,Franck Jurietti,FRA,D,1.77,71,30-03-75,Valence,Monaco,Bordeaux,2009,French
7,7,Yoan  Gouffran,FRA,F,1.75,70,25-05-86,Villeneuve-st-Georges,Caen,Bordeaux,2009,French
8,8,Yoann  Gourcuff,FRA,M,1.85,79,11-07-86,Lorient,Milan,Bordeaux,2009,French
9,9,Fernando Cavenaghi,ARG,F,1.81,78,21-09-83,O'Brien,Spartak Moscow,Bordeaux,2009,French
