,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Simon Jentzsch,GER,G,1.96,96,04-05-76,Düsseldorf,Wolfsburg,Augsburg,2012,German
2,2,Paul Verhaegh,NED,D,1.78,68,01-09-83,Kronenberg,Vitesse,Augsburg,2012,German
4,4,Dominik  Reinhardt,GER,D,1.88,80,19-12-84,Nuremburg,Nürnberg,Augsburg,2012,German
5,5,Ragnar Klavan,EST,M,1.86,78,30-10-85,Viljandi,AZ Alkmaar,Augsburg,2012,German
6,6,Kevin Vogt,GER,M,1.94,80,23-09-91,Bochum,Bochum,Augsburg,2012,German
7,7,Koo Ja-Cheol,KOR,M,1.83,75,27-02-89,Chungju,Wolfsburg,Augsburg,2012,German
8,8,Knowledge Musona,ZIM,F,1.74,68,21-06-90,Harare,1899 Hoffenheim,Augsburg,2012,German
9,9,Torsten Oehrl,GER,F,1.92,83,07-01-86,Lichtenfels,Werder Bremen,Augsburg,2012,German
10,10,Daniel Baier,GER,M,1.75,73,18-05-84,Cologne,Wolfsburg,Augsburg,2012,German
11,11,Milan Petrela,CZE,M,1.71,63,19-06-83,Prague,Viktoria Plzeň,Augsburg,2012,German
13,13,Tobias Werner,GER,M,1.77,67,19-07-85,Gera,Carl Zeiss Jena,Augsburg,2012,German
14,14,Jan Morávek,CZE,M,1.79,71,01-11-89,Prague,Schalke,Augsburg,2012,German
15,15,Sebastian Langkamp,GER,D,1.90,85,15-01-88,Speyer,Karlsruhe,Augsburg,2012,German
16,16,Andreas Ottl,GER,M,1.85,77,01-03-85,Munich,Hertha Berlin,Augsburg,2012,German
17,17,Marcel de Jong,CAN,F,1.74,73,15-10-86,New Market,Roda JC,Augsburg,2012,German
18,18,Jan-Ingwer Callsen-Bracker,GER,D,1.87,81,23-09-84,Schleswig,B Mönchengladbach,Augsburg,2012,German
19,19,Matthias Ostrzolek,GER,D,1.78,71,05-06-90,Bochum,Bochum,Augsburg,2012,German
20,20,Ronny Philp,GER,D,1.83,78,28-01-89,Sibiu,Jahn Regensburg,Augsburg,2012,German
21,21,Alex Manninger,AUT,G,1.88,84,04-06-77,Salzburg,Juventus,Augsburg,2012,German
22,22,Somen Tchoyi,CMR,M,1.90,87,29-03-83,Douala,WBA,Augsburg,2012,German
23,23,Aristide Bancé,BFA,F,1.92,90,19-09-84,Abidjan,Al-Ahli [UAE],Augsburg,2012,German
24,24,Michael Parkhurst,USA,D,1.82,72,24-01-84,Providence,FC Nordsjælland,Augsburg,2012,German
27,27,Ji Dong-Won,KOR,F,1.87,78,28-05-91,Jeju,Sunderland,Augsburg,2012,German
28,28,André Hahn,GER,F,1.85,75,13-08-90,Otterndorf,Kickers Offenbach,Augsburg,2012,German
29,29,Moritz Nebel,GER,M,1.77,61,25-09-91,Erlangen,None,Augsburg,2012,German
30,30,Mohamed Amsif,MAR,G,1.87,81,07-02-89,Düsseldorf,Schalke,Augsburg,2012,German
31,31,Marco Thiede,GER,M,1.75,70,20-05-92,Augsburg,None,Augsburg,2012,German
32,32,Matthias Strohmaier,GER,D,1.88,81,11-03-94,Dingolfing,1860 Munich,Augsburg,2012,German
33,33,Sascha Mölders,GER,F,1.85,79,20-03-85,Essen,FSV Frankfurt,Augsburg,2012,German
36,36,Stephan Hain,GER,F,1.78,72,27-09-88,Zwiesel,Ruhmannsfelden,Augsburg,2012,German
37,37,Ioannis Gelios,GRE,G,1.90,76,24-04-92,Augsburg,None,Augsburg,2012,German
1,1,Bernd Leno,GER,G,1.89,78,04-03-92,Bietigheim-Bissingen,Stuttgart,Bayer Leverkusen,2012,German
2,2,Daniel Schwaab,GER,D,1.86,75,23-08-88,Waldkirch,Freiburg,Bayer Leverkusen,2012,German
3,3,Stefan Reinartz,GER,D,1.88,75,01-01-89,Engelskirchen,None,Bayer Leverkusen,2012,German
4,4,Philipp Wollscheid,GER,D,1.94,84,06-03-89,Wadern,Nürnberg,Bayer Leverkusen,2012,German
5,5,Manuel Friedrich,GER,D,1.89,82,13-09-79,Bad Kreuznach,Mainz,Bayer Leverkusen,2012,German
6,6,Simon Rolfes,GER,M,1.89,82,21-01-82,Ibbenbüren,Alemannia Aachen,Bayer Leverkusen,2012,German
7,7,Junior Fernándes,CHI,F,1.81,72,04-10-88,Tocopilla,Universidad de Chile,Bayer Leverkusen,2012,German
8,8,Lars Bender,GER,M,1.84,77,27-04-89,Rosenheim,1860 Munich,Bayer Leverkusen,2012,German
9,9,Andre Schürrle,GER,F,1.75,63,06-11-90,Ludwigshafen,Mainz,Bayer Leverkusen,2012,German
11,11,Stephan Kießling,GER,F,1.90,80,25-01-84,Lichtenfels,Nürnberg,Bayer Leverkusen,2012,German
