,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Stefano Sorrentino,G,"6'01""",12 13,28-03-79,Cava dei Tirreni,Torino,AEK,2005,Greek
3,3,Nikola Malbasa,D,"5'11""",12 04,12-09-77,Belgrade,Terek Grozni,AEK,2005,Greek
5,5,Bruno Cirillo,D,"6'02""",12 04,21-03-77,Castellamare di Stabia,Siena,AEK,2005,Greek
6,6,Giorgos Alexopoulos,D,"6'00""",12 13,07-02-77,Athens,Egaleo,AEK,2005,Greek
7,7,Alessandre Saores,F,"5'09""",11 07,05-02-73,Rio de Janeiro,OFI,AEK,2005,Greek
8,8,Miltos Sapanis,M,"5'11""",11 09,28-01-76,Thessaloniki,Panathinaikos,AEK,2005,Greek
9,9,Angelos Komvolidis,F,"6'00""",11 11,14-03-88,Stuttgart,Stuttgart B,AEK,2005,Greek
10,10,Panagiotis Kone,M,"6'00""",11 11,26-07-87,,Lens,AEK,2005,Greek
11,11,Oleg Venglinskyi,F,"5'10""",11 00,21-03-78,Kiev,Dnepr,AEK,2005,Greek
12,12,Giannis Arabatzis,G,"6'04""",12 06,28-05-84,Veria,EAP Makrohoriou,AEK,2005,Greek
14,14,Stavros Tziortziopoulos,D,"6'01""",12 06,15-08-78,Athens,Panionios,AEK,2005,Greek
17,17,Vladimir Ivic,M,"6'03""",13  05,07-05-77,Zrenjanin,B Mönchengladbach,AEK,2005,Greek
18,18,Vangelis Moras,D,"6'04""",12 04,26-08-81,Larisa,Proodeftiki,AEK,2005,Greek
19,19,Dimitris Koutroumanos,D,"5'10""",09 04,25-02-87,Agrinio,Panaitolikos,AEK,2005,Greek
20,20,Vasilis Pliatsikas,M,"5'09""",11 07,14-04-88,Agrinio,Xaidari,AEK,2005,Greek
21,21,Kostas Katsouranis,M,"6'00""",13 01,21-06-79,Patra,Panachaiki,AEK,2005,Greek
22,22,Dionissis  Hiotis,G,"6'00""",13 01,04-06-77,Athens,None,AEK,2005,Greek
23,23,Vasilis Lakis,M,"5'10""",11 03,10-09-76,Thessaloniki,Crystal Palace,AEK,2005,Greek
24,24,Christos Kontis,D,"6'00""",11 11,13-05-75,Athens,Panionios,AEK,2005,Greek
25,25,Emerson,M,"6'00""",14 05,12-04-72,Rio de Janeiro,Skoda  Xanthi,AEK,2005,Greek
26,26,Elias Kiriakidis,M,"5'10""",12 00,05-08-85,Athens,Ionikos,AEK,2005,Greek
27,27,Louay Chanko,F,"5'08""",11 00,29-11-79,,Malmö,AEK,2005,Greek
28,28,Christos Bourbos,F,"5'11""",12 08,01-06-83,,Giannina,AEK,2005,Greek
31,31,Nikos Georgeas,D,"5'09""",11 07,27-12-76,Kalamata,Kalamata,AEK,2005,Greek
33,33,Nikos  Liberopoulos,F,"6'02""",11 05,04-08-75,Kalamata,Panathinaikos,AEK,2005,Greek
35,35,Pantelis Kapetanos,F,"6'03""",12 13,08-06-83,Ptolemaida,Iraklis,AEK,2005,Greek
41,55,Traianos Dellas,D,"6'06""",14  09,31-01-76,Thessalonika,Roma,AEK,2005,Greek
42,99,Julio Cesar,F,"5'09""",12 00,14-09-83,Itaguai,Gil Vicente,AEK,2005,Greek
1,1,Costas Pagonis,M,,,11-09-85,,None,Akratitos,2005,Greek
3,3,Christos Pipinis,D,"6'00""",,01-11-84,,None,Akratitos,2005,Greek
4,4,Laurent Macquet,M,"5'10""",12 01,11-08-79,Lille,Charleroi,Akratitos,2005,Greek
5,5,Costas Apostolakis,D,,,21-11-83,,None,Akratitos,2005,Greek
6,6,Milan Obradovic,D,"5'11""",11 07,03-08-77,,FK Zventzara,Akratitos,2005,Greek
7,7,Nikola Vujovic,F,,,23-01-81,,Buducnost Podgorica,Akratitos,2005,Greek
8,8,Themistoklis Tzimopoulos,M,,,20-11-85,,None,Akratitos,2005,Greek
10,10,Manolis Skoufalis,M,,,21-08-78,,Athinaikos,Akratitos,2005,Greek
12,12,Dieudonné Londo,M,"5'09""",10 10,06-06-76,,RAEC Mons,Akratitos,2005,Greek
14,14,Muscal  Musumbu,M,,,30-03-79,,Kalamata,Akratitos,2005,Greek
16,16,Lucian Marinescu,M,"5'08""",11 11,25-06-72,Bucharest,Chaves,Akratitos,2005,Greek
17,17,Christos Zigouris,F,,,17-08-87,,None,Akratitos,2005,Greek
18,18,Dimitris  Patsiavouras,M,"5'08""",,13-07-83,,Panionios,Akratitos,2005,Greek
20,20,Costas  Badas,D,"6'00""",,19-07-76,,Posidonas,Akratitos,2005,Greek
23,23,Nacarato Gustavo,M,"5'07""",,07-05-82,,Juventude,Akratitos,2005,Greek
24,24,Oumar Dieng,D,"6'00""",11 09,30-12-72,Dakar,Konyaspor,Akratitos,2005,Greek
25,25,Antonis  Shizas,D,,,10-03-86,,None,Akratitos,2005,Greek
27,27,Christos  Aravidis,F,"5'10""",11 07,13-03-87,,None,Akratitos,2005,Greek
29,29,William  Sunsing,M,"5'10""",11  11,12-05-77,San  José [CRC],Brujas  Escazú,Akratitos,2005,Greek
33,33,Lucas De Francesco,F,"6'04""",,21-09-81,,Kavala,Akratitos,2005,Greek
34,34,Berny  Peña,D,,,19-10-80,,Brujas  Escazú,Akratitos,2005,Greek
35,35,Froylán  Ledezma,F,,,02-01-78,San  José [CRC],Alajuelense,Akratitos,2005,Greek
40,40,Alexandros  Karahalios,M,"5'11""",11 00,30-09-85,,Panionios,Akratitos,2005,Greek
41,44,Estrat  Billa,G,,,13-06-80,,Flamurtari,Akratitos,2005,Greek
42,55,Giannis  Sfakianakis,D,"6'04""",,06-02-76,,Panahaiki,Akratitos,2005,Greek
43,77,Sotiris  Lyberopoulos,G,"6'00""",12  02,26-06-77,Kalamata,Aris,Akratitos,2005,Greek
44,98,Panagiotis Giannopoulos,D,"6'00""",,30-09-80,,Vouliagmeni,Akratitos,2005,Greek
45,99,Nikos Kostakis,G,,,16-02-73,,Panionios,Akratitos,2005,Greek
1,1,Kostas Andriolas,G,,,01-05-85,,Panelefsiniakos,Atromitos Athens,2005,Greek
2,2,Giannis Katemis,D,"5'06""",11 00,28-05-77,Limnes,Panargiakos,Atromitos Athens,2005,Greek
3,3,Dimitris Geladaris,D,"5'10""",11 09,06-11-74,,Skoda Xanthi,Atromitos Athens,2005,Greek
4,4,Vangelis  Dagas,D,"6'02""",,14-04-74,,Proodeftiki,Atromitos Athens,2005,Greek
5,5,Christos Mikes,D,"6'00""",12 11,23-09-71,,Ionikos,Atromitos Athens,2005,Greek
6,6,Markos Dimos,M,"5'09""",,12-08-72,,Akratitos,Atromitos Athens,2005,Greek
8,8,Giannis Sotirhos,D,"6'00""",12 04,06-04-77,Kapareli,Paniliakos,Atromitos Athens,2005,Greek
9,9,Giorgos  Zaharopoulos,F,"6'01""",,13-12-71,,Kalithea,Atromitos Athens,2005,Greek
10,10,Milen Petkov,M,"5'09""",10 01,12-01-74,,AEK,Atromitos Athens,2005,Greek
11,11,Loukas  Karadimos,M,"5'09""",10 10,06-08-74,,PAOK,Atromitos Athens,2005,Greek
14,14,Giorgos Georgiou,D,"5'11""",11 07,24-09-79,Augsburg,Kerkira,Atromitos Athens,2005,Greek
15,15,Francis Doe,F,"5'10""",11 05,25-12-85,Monrovia,Buduburam,Atromitos Athens,2005,Greek
16,16,Roberto  Merino,M,5'05'',10  03,19-05-82,Chiclayo,Akratitos,Atromitos Athens,2005,Greek
18,18,Christos Iliopoulos,F,,,01-01-77,,Akratitos,Atromitos Athens,2005,Greek
19,19,Rafik  Djebbour,F,"6'01""",12  01,08-03-84,Grenoble,Ethnikos Asteras,Atromitos Athens,2005,Greek
20,20,Thanasis Papageorgiou,D,"6'00""",,09-05-87,,Iraklis Chalkis,Atromitos Athens,2005,Greek
21,21,Panagiotis Korbos,M,,,11-09-83,,Antikira,Atromitos Athens,2005,Greek
23,23,Hrisostomos  Mihailidis,G,"6'03""",12 11,15-01-75,,AEK,Atromitos Athens,2005,Greek
24,24,Giorgos Halaris,D,"6'02""",12 80,08-07-73,Athens,Ilioupoli,Atromitos Athens,2005,Greek
27,27,Giorgos Korakakis,M,"5'08""",11 03,09-02-76,Athens,Vizas Megaron,Atromitos Athens,2005,Greek
