,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Felipe Gomes,BRA,G,1.98,89,06-12-88,Vilhena,Paulista,Apollon Smyrnis,2013,Greek
2,2,Giorgos Chatzizisis,GRE,D,1.75,72,04-09-78,Kozani,Pierikos,Apollon Smyrnis,2013,Greek
3,3,Michalis Kallergis,GRE,M,1.73,70,26-08-96,Athens,Olympiakos,Apollon Smyrnis,2013,Greek
4,4,Tom Söderberg,SWE,D,1.99,89,25-08-87,Norrköping,IF Elfsborg,Apollon Smyrnis,2013,Greek
5,5,Giorgos Delizisis,GRE,D,1.91,82,01-12-87,Kozani,Niki Volos,Apollon Smyrnis,2013,Greek
6,6,Petros Kanakoudis,GRE,M,1.80,70,16-04-84,Veria,Platanias,Apollon Smyrnis,2013,Greek
7,7,Panagiotis Korbos,GRE,M,1.82,74,11-09-83,Viotia,Levadiakos,Apollon Smyrnis,2013,Greek
8,8,Athanassios Panteliadis,GRE,D,1.78,68,06-09-87,Katerini,Panserraikos,Apollon Smyrnis,2013,Greek
9,9,Antonis Petropoulos,GRE,F,1.86,83,28-01-86,Athens,AEK,Apollon Smyrnis,2013,Greek
10,10,Ilias Tsiligiris,GRE,F,1.79,67,03-10-87,Athens,Thrasivoulos,Apollon Smyrnis,2013,Greek
11,11,Dimitris Diamantis,GRE,M,1.81,77,11-09-79,Filiates,Ethnikos Asteras,Apollon Smyrnis,2013,Greek
12,12,Stratos Bentas,GRE,M,1.71,68,30-09-94,Athens,None,Apollon Smyrnis,2013,Greek
13,13,Leandro Álvarez,ARG,D,1.78,77,04-06-81,25 de Mayo,Asteras Tripolis,Apollon Smyrnis,2013,Greek
14,14,Christos Mingas,GRE,M,1.73,70,15-04-84,Gjirokastër,Panthrakikos,Apollon Smyrnis,2013,Greek
15,15,Hégon,BRA,M,1.74,64,06-05-88,Palhoça,Asteras Tripolis,Apollon Smyrnis,2013,Greek
16,16,Giannis Sigalas,GRE,D,1.81,75,20-11-94,Athens,None,Apollon Smyrnis,2013,Greek
17,17,Spyros Dimogiannis,GRE,D,1.74,69,03-09-92,Athens,Panachaiki,Apollon Smyrnis,2013,Greek
18,18,Paolo Farinola,GRE,F,1.90,86,22-02-84,Athens,Kallithea,Apollon Smyrnis,2013,Greek
19,19,Franck Manga Guela,CIV,M,1.78,71,19-06-86,Abidjan,Ludogorets Razgrad,Apollon Smyrnis,2013,Greek
20,20,Giorgos Goumagias,GRE,G,1.89,85,12-09-78,Samos,Doxa Dramas,Apollon Smyrnis,2013,Greek
21,21,Giorgos Barkoglou,GRE,M,1.81,78,08-07-78,Athens,Kerkyra,Apollon Smyrnis,2013,Greek
22,22,Dennis Souza,BRA,M,1.91,83,09-01-80,São Paulo,OFI,Apollon Smyrnis,2013,Greek
23,23,Leonidas Argyropoulos,GRE,D,1.78,68,29-05-90,Corinth,Platanias,Apollon Smyrnis,2013,Greek
24,24,Tasos Tsokanis,GRE,F,1.82,78,02-05-91,Chalkida,Kerkyra,Apollon Smyrnis,2013,Greek
25,25,John Kamara,SLE,M,1.86,83,12-05-88,Freetown,Tadamon Sour,Apollon Smyrnis,2013,Greek
27,27,Mikael Dahlberg,SWE,F,1.92,87,16-03-85,Umeå,Gefle IF,Apollon Smyrnis,2013,Greek
29,29,Adrián Lucero,ARG,M,1.79,71,16-08-84,Las Heras,AEK Larnaca,Apollon Smyrnis,2013,Greek
30,30,Alexandros Tzorvas,GRE,G,1.88,80,12-08-82,Athens,Genoa,Apollon Smyrnis,2013,Greek
31,31,Mario Selmanaj,ALB,D,1.88,82,08-04-94,Tirana,None,Apollon Smyrnis,2013,Greek
33,33,Grigoris Papazaharias,GRE,D,1.86,75,20-03-85,Epanomi,Aris,Apollon Smyrnis,2013,Greek
39,39,Lee Cook,ENG,M,1.75,77,03-08-82,Hammersmith,Leyton Orient,Apollon Smyrnis,2013,Greek
41,84,Darren Ambrose,ENG,M,1.83,78,29-02-84,Harlow,Birmingham C,Apollon Smyrnis,2013,Greek
42,97,Angelos Stamatopoulos,GRE,G,1.87,80,23-04-97,Athens,None,Apollon Smyrnis,2013,Greek
2,2,Michalis Kyrgias,GRE,D,1.86,77,14-10-89,Athens,Apollon Smyrnis,Aris,2013,Greek
3,3,Michalis Giannitsis,GRE,D,1.83,77,06-02-92,Thessaloniki,None,Aris,2013,Greek
4,4,Vassilis Karagounis,GRE,D,1.76,71,18-01-94,Lamia,Olympiakos,Aris,2013,Greek
5,5,Rubén Martín Pulido,ESP,D,1.89,80,02-02-79,Madrid,Asteras Tripolis,Aris,2013,Greek
6,6,Charalambos Economopoulos,GRE,M,1.84,76,09-01-91,Thessaloniki,None,Aris,2013,Greek
7,7,Dimitris Sounas,GRE,M,1.77,72,12-08-94,Portaria,None,Aris,2013,Greek
8,8,Vassilis Triantafyllakos,GRE,F,1.86,80,16-07-91,Serres,Odysseas Anagennisi,Aris,2013,Greek
9,9,David Aganzo,ESP,F,1.77,64,10-01-81,Madrid,Hércules,Aris,2013,Greek
10,10,Andreas Tatos,GRE,M,1.74,68,11-05-89,Himara,Olympiakos,Aris,2013,Greek
11,11,Nikolaos Aggeloudis,GRE,F,1.83,72,14-05-91,Thessaloniki,Iraklis,Aris,2013,Greek
12,12,Konstantinos Kotsaridis,GRE,M,1.86,74,12-06-92,Thessaloniki,AEK,Aris,2013,Greek
13,13,Sokratis Dioudis,GRE,G,1.82,75,03-02-93,Thessaloniki,None,Aris,2013,Greek
14,14,Nikos Golias,GRE,M,1.84,74,29-07-93,Karditsa,Anagennisi Karditsa,Aris,2013,Greek
