,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
2,2,István Szűcs,D,"6'03""",11 07,03-05-85,Debrecen,DSI,Debrecen,2006,Hungarian
3,3,Csaba Szatmári,D,"5'10""",11 11,02-11-73,Debrecen,Dorog,Debrecen,2006,Hungarian
4,4,Leandro de Almeida,M,"5'11""",11 11,19-03-82,,Ferencváros,Debrecen,2006,Hungarian
5,5,Dragan Vukmir,D,"6'00""",12 01,02-08-78,Sremska Mitrovica,Ferencváros,Debrecen,2006,Hungarian
6,6,Zoltán Takács,D,"6'03""",13 01,26-11-83,Budapest,Honvéd,Debrecen,2006,Hungarian
7,7,Tibor Dombi,M,"5'09""",12 00,11-11-73,Püspökladány,Utrecht,Debrecen,2006,Hungarian
8,8,Aco Stojkov,F,"5'10""",12 01,29-04-83,Strumica,Partizan Belgrade,Debrecen,2006,Hungarian
9,9,Tamás Sándor,M,"6'00""",12 06,20-06-74,Debrecen,Beitar Jerusalem,Debrecen,2006,Hungarian
11,11,Marco Tulio,M,"5'08""",11 03,28-02-81,Itabara,Jorge Wilstermann,Debrecen,2006,Hungarian
12,12,János Balogh,G,"6'04""",13 12,29-11-82,Debrecen,Kaba,Debrecen,2006,Hungarian
13,13,Péter Bíró,D,"6'03""",11 07,20-09-85,Debrecen,DSI,Debrecen,2006,Hungarian
14,14,Jimmy  Jones Tchana,F,"6'00""",11 03,14-08-84,Paris,Kalamata,Debrecen,2006,Hungarian
15,15,Aladár Virágh,D,"5'11""",11 05,19-02-83,Debrecen,None,Debrecen,2006,Hungarian
16,16,Ádám Komlósi,D,"6'03""",12 11,06-12-77,Budapest,MTK,Debrecen,2006,Hungarian
17,17,Norbert Mészáros,F,"6'03""",13 01,19-08-80,,Energie Cottbus,Debrecen,2006,Hungarian
18,18,Róbert Zsolnai,F,"6'03""",12 13,11-04-82,Budapest,Kaposvár,Debrecen,2006,Hungarian
19,19,Balázs Dzsudzsák,M,"5'11""",11 07,23-12-86,Nyírlugos,Debreceni Olasz Focisuli,Debrecen,2006,Hungarian
20,20,Róbert Nagy,M,"5'10""",10 08,26-11-87,Debrecen,Debreceni Olasz Focisuli,Debrecen,2006,Hungarian
21,21,Thierry Issiemou,M,"5'11""",11 05,31-03-83,,Delta Téléstar,Debrecen,2006,Hungarian
22,22,Csaba Bernáth,D,"5'10""",11 03,26-03-79,Debrecen,FC Antwerp,Debrecen,2006,Hungarian
23,23,Péter Szilágyi,F,"6'00""",11 00,26-01-88,Debrecen,DSI,Debrecen,2006,Hungarian
24,24,Norbert Csernyánszki,G,"6'01""",13 01,01-02-76,Veszprém,Balaton FC,Debrecen,2006,Hungarian
26,26,Ibrahim Sidibé,F,"6'05""",13 03,10-08-80,Nguidile,SV Ried,Debrecen,2006,Hungarian
28,28,Zoltán  Nagy,D,"6'02""",11 07,25-10-85,Debrecen,DSI,Debrecen,2006,Hungarian
29,29,István Spitzmüller,M,"6'01""",11 05,14-05-86,Debrecen,DSI,Debrecen,2006,Hungarian
30,30,Zoltán Kiss,M,"6'00""",12 06,18-08-80,Püspökladány,Germinal Beerschot,Debrecen,2006,Hungarian
31,31,Zsolt Hamar,G,"6'02""",12 08,29-09-83,Debrecen,Debreceni Olasz Focisuli,Debrecen,2006,Hungarian
1,1,Zsolt Dénes,G,"6'02""",12 00,14-02-83,Szeged,Algyő,Diósgyőr,2006,Hungarian
3,3,Norbert Elek,D,"6'03""",13 03,27-03-77,Körmend,Vasas,Diósgyőr,2006,Hungarian
5,5,Ciprian Binder,F,"6'00""",12 04,20-02-76,Turda,Győr,Diósgyőr,2006,Hungarian
7,7,Ádám Horváth,M,"5'11""",11 11,23-02-89,Miskolc,None,Diósgyőr,2006,Hungarian
