,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Vukain Radomir Poleksić,MNE,G,1.94,92,30-08-82,Nikić,Tatabánya,Debrecen,2009,Hungarian
5,5,Dávid Mohl,HUN,D,1.79,72,28-04-85,Győr,Fehérvár,Debrecen,2009,Hungarian
6,6,Luis  Arcangel Ramos,HON,M,1.78,72,11-04-85,San Pedro Sula,Nyíregyháza,Debrecen,2009,Hungarian
7,7,Tibor Dombi,HUN,M,1.74,73,11-11-73,Püspökladány,Utrecht,Debrecen,2009,Hungarian
10,10,László Bodnar,HUN,D,1.74,78,25-02-79,Màtèszalka,Red Bull Salzburg,Debrecen,2009,Hungarian
11,11,Róbert Feczesin,HUN,F,1.87,75,22-02-86,Budapest,Brescia,Debrecen,2009,Hungarian
12,12,Djordje Pantić,SRB,G,1.98,99,27-01-80,Belgrade,Enköpings SK,Debrecen,2009,Hungarian
13,13,Péter Bíró,HUN,D,1.90,73,20-09-85,Debrecen,DSI,Debrecen,2009,Hungarian
14,14,Gergely  Rudolf,HUN,F,1.76,77,09-03-85,Nyiregyhaza,Nancy,Debrecen,2009,Hungarian
15,15,László Rezes,HUN,M,1.73,65,12-08-87,Debrecen,Kecskemét,Debrecen,2009,Hungarian
16,16,Ádám Komlósi,HUN,D,1.90,80,06-12-77,Budapest,MTK,Debrecen,2009,Hungarian
17,17,Norbert Mészáros,HUN,D,1.91,85,19-08-80,Pápa,Energie Cottbus,Debrecen,2009,Hungarian
18,18,Péter Máté,HUN,D,1.95,92,02-12-84,Püspökladány,Debreceni Olasz Focisuli,Debrecen,2009,Hungarian
19,19,Vinicius Galvão,BRA,F,1.86,70,12-08-89,Porto Alegre,Grêmio,Debrecen,2009,Hungarian
20,20,Mbengono Ondoa Yannick,CMR,F,1.67,70,11-06-87,Yaoundé,Kecskemét,Debrecen,2009,Hungarian
21,21,Marcell Fodor,HUN,D,1.83,76,27-10-87,Székesfehérvár,Diósgyőr,Debrecen,2009,Hungarian
22,22,Csaba Bernáth,HUN,D,1.77,70,26-03-79,Debrecen,Royal Antwerp,Debrecen,2009,Hungarian
23,23,Péter Szilágyi,HUN,F,1.82,70,26-01-88,Debrecen,DSI,Debrecen,2009,Hungarian
24,24,Mirsad Mijadinoski,MKD,D,1.89,87,01-10-81,Struga,Sion,Debrecen,2009,Hungarian
25,25,Zoltán  Szélesi,HUN,D,1.83,80,22-11-81,Budapest,Strasbourg,Debrecen,2009,Hungarian
27,27,Ádám Bódi,HUN,M,1.75,65,01-11-90,Nyíregyháza,DSI,Debrecen,2009,Hungarian
29,29,István Spitzmüller,HUN,M,1.76,72,14-05-86,Debrecen,DSI,Debrecen,2009,Hungarian
30,30,Zoltán Kiss,HUN,M,1.82,79,18-08-80,Püspökladány,Germinal Beerschot,Debrecen,2009,Hungarian
33,33,József Varga,HUN,M,1.75,71,06-06-88,Debrecen,DSI,Debrecen,2009,Hungarian
37,37,Lucas Marcolini,BRA,M,1.76,70,06-05-89,Cornélio Procópio,Atlético Paranaense,Debrecen,2009,Hungarian
39,39,Adamo Coulibaly,FRA,F,1.87,81,14-08-81,Paris,Royal Antwerp,Debrecen,2009,Hungarian
41,41,Szilárd Éles,HUN,M,1.79,72,01-10-87,Debrecen,DSI,Debrecen,2009,Hungarian
42,42,Dávid Nagy,HUN,M,1.85,79,11-07-90,Debrecen,DSI,Debrecen,2009,Hungarian
