,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Brian Murphy,G,"6'00""",13 01,07-05-83,Waterford,Swansea C,Bohemians,2007,Irish
2,2,Owen Heary,D,"5'10""",11 09,04-10-76,Dublin,Shelbourne,Bohemians,2007,Irish
3,3,Des Byrne,D,"6'01""",12 07,10-04-81,Dublin,St Patrick's Ath,Bohemians,2007,Irish
4,4,Kevin Hunt,M,"5'11""",11 00,04-07-75,Chatham,Hong Kong R,Bohemians,2007,Irish
5,5,Liam Burns,D,6'00'',13 03,30-10-78,Belfast,Sligo R,Bohemians,2007,Irish
6,6,Thomas Heary,D,"5'10""",10 06,14-02-79,Dublin,Huddersfield T,Bohemians,2007,Irish
7,7,Fergal Harkin,M,"5'09""",11  02,26-11-76,Ballyliffan,Finn Harps,Bohemians,2007,Irish
8,8,Neale Fenn,F,"5'10""",12 08,18-01-77,Edmonton,Cork C,Bohemians,2007,Irish
9,9,Glen Crowe,F,"5'09""",12 06,25-12-77,Dublin,Shelbourne,Bohemians,2007,Irish
10,10,John Paul Kelly,M,"5'10""",12 01,16-06-87,Dublin,Liverpool,Bohemians,2007,Irish
11,11,Harpal  Singh,M,"5'07""",10  02,15-09-81,Bradford,Sligo R,Bohemians,2007,Irish
12,12,Darren Mansaram,F,6'02'',11 07,25-06-84,Doncaster,Sligo R,Bohemians,2007,Irish
14,14,Chris Kingsberry,M,"5'07""",09 02,10-09-85,Lisburn,Linfield,Bohemians,2007,Irish
15,15,Jason McGuinness,D,"6'04""",12  06,08-08-82,Dublin,Shamrock R,Bohemians,2007,Irish
16,16,Chris Turner,M,"5'10""",12 00,03-01-87,Ballymoney,Sligo R,Bohemians,2007,Irish
17,17,Mike McGinlay,F,"5'09""",11 09,10-12-87,Bolton,Cincinnati Kings,Bohemians,2007,Irish
18,18,Conor Powell,D,"5'10""",12 00,26-08-87,Dublin,Belvedere,Bohemians,2007,Irish
19,19,Mark Rossiter,D,"5'11""",12 06,27-05-83,Sligo,Sunderland,Bohemians,2007,Irish
20,20,Dean  Pooley,D,"6'01""",11  02,10-09-86,Sidcup,Millwall,Bohemians,2007,Irish
