,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Dean Delany,IRL,G,1.83,90,15-09-80,Dublin,Shelbourne,Bohemians,2015,Irish
2,2,Derek Pender,IRL,D,1.80,73,02-10-84,Dublin,St Patrick's Ath,Bohemians,2015,Irish
3,3,Lorcan Fitzgerald,IRL,D,1.73,69,03-01-89,Swords,St Patrick's Ath,Bohemians,2015,Irish
4,4,Roberto Lopes,IRL,D,1.74,71,17-06-92,Crumlin,Belvedere,Bohemians,2015,Irish
5,5,Derek Prendergast,IRL,D,1.88,80,17-10-84,Dublin,Athlone T,Bohemians,2015,Irish
6,6,Dano Byrne,IRL,D,1.75,72,07-05-92,Dublin,Kilbarrack U,Bohemians,2015,Irish
7,7,Karl Moore,IRL,M,1.70,63,09-11-88,Dublin,Shamrock R,Bohemians,2015,Irish
8,8,Keith Buckley,IRL,M,1.77,69,17-06-92,Dublin,Belvedere,Bohemians,2015,Irish
9,9,Jake Kelly,IRL,M,1.80,73,18-06-90,London,Dundalk,Bohemians,2015,Irish
10,10,Jason Byrne,IRL,F,1.80,79,23-02-78,Tallaght,Bray W,Bohemians,2015,Irish
11,11,Mark Griffin,IRL,F,1.78,73,16-06-91,Melbourne,Dundalk,Bohemians,2015,Irish
12,12,Aaron Ashe,IRL,F,1.81,69,07-05-96,,Shelbourne,Bohemians,2015,Irish
14,14,Paddy Kavanagh,IRL,M,1.74,65,29-12-85,Dublin,Derry C,Bohemians,2015,Irish
15,15,Dylan Hayes,IRL,D,1.75,72,09-04-95,Bray,Athlone T,Bohemians,2015,Irish
16,16,Kealan Dillon,IRL,M,1.81,76,21-02-94,Athboy,Athlone T,Bohemians,2015,Irish
17,17,Anto Murphy,IRL,M,1.78,75,01-08-82,Dublin,Sheriff YC,Bohemians,2015,Irish
18,18,Adam Evans,IRL,M,1.78,78,03-05-94,Dublin,Inverness CT,Bohemians,2015,Irish
19,19,James O'Brien,IRL,M,1.83,74,08-06-90,Dublin,Athlone T,Bohemians,2015,Irish
20,20,Eoin Wearen,IRL,M,1.85,72,02-10-92,Dublin,Sligo R,Bohemians,2015,Irish
21,21,Robbie Creevy,IRL,M,1.80,77,24-08-89,Dublin,UCD,Bohemians,2015,Irish
22,22,Stephen Best,IRL,M,1.82,76,15-03-97,Dublin,Crumlin U,Bohemians,2015,Irish
24,24,Ismahil Akinade,IRL,F,1.91,82,11-02-94,Ibadan,Bluebell U,Bohemians,2015,Irish
25,25,Lee Steacy,IRL,G,1.80,77,18-01-93,Dublin,Firhouse Clover,Bohemians,2015,Irish
26,26,Dave Mulcahy,IRL,M,1.85,77,28-01-78,Kilkenny,Cork C,Bohemians,2015,Irish
29,29,Jason Caffrey,IRL,M,1.75,64,26-06-96,,St Kevin's Boys,Bohemians,2015,Irish
30,30,Dean Mahon,IRL,G,1.83,75,26-10-97,Dublin,Athlone T,Bohemians,2015,Irish
1,1,Peter Cherrie,SCO,G,1.88,68,01-10-83,Bellshill,Cliftonville,Bray Wanderers,2015,Irish
2,2,Michael Barker,IRL,D,1.78,71,16-08-93,Dublin,UCD,Bray Wanderers,2015,Irish
4,4,Daniel O'Reilly,IRL,D,1.79,70,11-04-95,Dublin,Bishop's Stortford,Bray Wanderers,2015,Irish
5,5,Alan McNally,IRL,D,1.80,63,15-09-82,Dublin,Drogheda U,Bray Wanderers,2015,Irish
6,6,Adam Mitchell,IRL,D,1.80,77,23-06-80,Dublin,Bangor Celtic,Bray Wanderers,2015,Irish
7,7,David Scully,IRL,F,1.77,75,20-01-85,Dublin,Ballymun U,Bray Wanderers,2015,Irish
8,8,David Cassidy,IRL,M,1.70,70,23-05-85,Ringsend,Drogheda U,Bray Wanderers,2015,Irish
9,9,Adam Wixted,IRL,F,1.70,66,04-02-95,Dublin,Bohemians,Bray Wanderers,2015,Irish
10,10,Ryan McEvoy,IRL,M,1.76,71,19-07-90,Dublin,Bohemians,Bray Wanderers,2015,Irish
11,11,Adam Hanlon,IRL,M,1.75,67,03-06-92,Wicklow,Shelbourne,Bray Wanderers,2015,Irish
12,12,Niall Cooney,IRL,D,1.78,65,21-08-92,Dublin,Crumlin U,Bray Wanderers,2015,Irish
13,13,Peter McGlynn,IRL,D,1.80,75,02-09-89,Dublin,Drogheda U,Bray Wanderers,2015,Irish
14,14,Luke Gallagher,IRL,M,1.70,64,29-07-94,Dublin,Shelbourne,Bray Wanderers,2015,Irish
15,15,John Sullivan,IRL,D,1.83,74,06-01-91,Dublin,Crumlin U,Bray Wanderers,2015,Irish
16,16,Danny Blackbyrne,ENG,D,1.68,62,13-07-96,,St Joseph's Boys,Bray Wanderers,2015,Irish
18,18,Chris Lyons,IRL,F,1.73,74,08-05-93,Dublin,Shamrock R,Bray Wanderers,2015,Irish
19,19,Emeka Onwubiko,IRL,F,1.69,68,20-12-89,Swords,Shamrock R,Bray Wanderers,2015,Irish
20,20,Hugh Douglas,IRL,D,1.85,83,22-06-93,Bray,UCD,Bray Wanderers,2015,Irish
22,22,Luke Fitzpatrick,IRL,D,1.78,75,23-01-86,Dublin,Dublin Bus,Bray Wanderers,2015,Irish
23,23,Gareth McDonagh,IRL,F,1.78,69,27-02-96,Greystones,Celtic,Bray Wanderers,2015,Irish
24,24,Graham Kelly,IRL,M,1.71,68,31-10-91,Dublin,Athlone T,Bray Wanderers,2015,Irish
32,32,Stephen McGuinness,IRL,G,1.79,76,10-03-95,,None,Bray Wanderers,2015,Irish
41,50,Sean Fogarty,IRL,G,1.83,80,16-08-97,Dublin,Home Farm,Bray Wanderers,2015,Irish
1,1,Mark McNulty,IRL,G,1.88,76,13-10-80,Cork,Cobh Ramblers,Cork City,2015,Irish
2,2,John Kavanagh,IRL,D,1.76,70,19-07-94,Cork,Ringmahon R,Cork City,2015,Irish
3,3,Alan Bennett,IRL,D,1.87,80,04-10-81,Cork,AFC Wimbledon,Cork City,2015,Irish
4,4,Johnny Dunleavy,IRL,D,1.83,71,03-07-91,Twin Towns,Wolverhampton W,Cork City,2015,Irish
5,5,Darren Dennehy,IRL,D,1.93,89,21-09-88,Tralee,Barnet,Cork City,2015,Irish
6,6,Dan Murray,ENG,D,1.92,88,16-05-82,Cambridge,Shamrock R,Cork City,2015,Irish
7,7,Colin Healy,IRL,M,1.80,70,14-03-80,Cork,Ipswich T,Cork City,2015,Irish
8,8,Gavan Holohan,IRL,M,1.80,75,15-12-91,Kilkenny,Drogheda U,Cork City,2015,Irish
9,9,John O'Flynn,IRL,F,1.81,75,11-07-82,Cóbh,Exeter C,Cork City,2015,Irish
11,11,Ross Gaynor,IRL,F,1.78,75,09-09-87,Drogheda,Sligo R,Cork City,2015,Irish
13,13,Kevin O'Brien,IRL,G,1.85,75,02-11-90,Cork,Davenport Univ,Cork City,2015,Irish
14,14,Kevin O'Connor,IRL,D,1.83,75,07-05-95,Enniscorthy,Waterford U,Cork City,2015,Irish
15,15,Danny Morrissey,IRL,F,1.77,70,13-12-93,Cork,Midleton,Cork City,2015,Irish
16,16,Alan Smith,IRL,G,1.85,78,25-05-93,Cobh,Rangers,Cork City,2015,Irish
17,17,Connor Ellis,IRL,F,1.72,70,12-05-97,Cork,Bantry Bay R,Cork City,2015,Irish
18,18,Michael McSweeney,IRL,D,1.80,74,17-06-88,Cork,Mervue U,Cork City,2015,Irish
19,19,Karl Sheppard,IRL,F,1.81,80,14-02-91,Dublin,Shamrock R,Cork City,2015,Irish
20,20,Billy Dennehy,IRL,M,1.84,74,17-02-87,Tralee,Shamrock R,Cork City,2015,Irish
21,21,Steven Beattie,IRL,F,1.78,70,20-08-88,Skerries,Sligo R,Cork City,2015,Irish
22,22,Liam Miller,IRL,M,1.70,66,13-02-81,Cork,Melbourne C,Cork City,2015,Irish
23,23,Mark O'Sullivan,IRL,F,1.80,74,01-02-83,Cork,Avondale U,Cork City,2015,Irish
25,25,Cian Coleman,IRL,M,,,01-01-97,,None,Cork City,2015,Irish
26,26,Garry Buckley,IRL,M,1.85,75,19-08-93,Cork,Leeds AFC,Cork City,2015,Irish
27,27,Danny O'Connell,IRL,F,,,30-11-94,,Carrigaline U,Cork City,2015,Irish
28,28,Craig Donnellan,IRL,M,1.70,71,12-06-96,,College Corinthians,Cork City,2015,Irish
30,30,Liam Kearney,IRL,M,1.68,64,10-01-83,Conna,Avondale U,Cork City,2015,Irish
31,31,Chiedozie Ogbene,IRL,M,1.75,75,01-05-97,,Nemo R,Cork City,2015,Irish
32,32,Stephen Folan,IRL,D,1.84,76,14-01-92,Galway,Sligo R,Cork City,2015,Irish
1,1,Gerard Doherty,IRL,G,1.88,86,24-08-81,Derry,TNS,Derry City,2015,Irish
2,2,Ben McLaughlin,IRL,D,1.78,72,15-04-95,Dundalk,Everton,Derry City,2015,Irish
3,3,Dean Jarvis,NIR,D,1.80,76,01-06-92,Derry,Institute,Derry City,2015,Irish
4,4,Aaron McEneff,NIR,M,1.75,70,09-07-95,Derry,Tottenham H,Derry City,2015,Irish
5,5,Ryan McBride,IRL,D,1.79,74,15-12-89,Derry,None,Derry City,2015,Irish
6,6,Conor McCormack,IRL,M,1.78,69,09-04-90,Greenore,St Patrick's Ath,Derry City,2015,Irish
7,7,Barry McNamee,NIR,M,1.81,78,17-02-92,Derry,None,Derry City,2015,Irish
8,8,Philip Lowry,NIR,M,1.79,72,15-07-89,Limavady,Linfield,Derry City,2015,Irish
9,9,Mark Quigley,IRL,F,1.78,72,27-10-85,Dublin,St Patrick's Ath,Derry City,2015,Irish
10,10,Patrick McEleney,IRL,F,1.76,71,26-09-92,Derry,Sunderland,Derry City,2015,Irish
11,11,Stephen Dooley,NIR,M,1.80,80,19-10-91,Portstewart,Loyola Univ,Derry City,2015,Irish
12,12,Joshua Daniels,NIR,M,1.77,73,22-02-96,Derry,None,Derry City,2015,Irish
14,14,Ciarán O'Connor,IRL,F,1.74,68,04-07-96,Dundalk,Dundalk,Derry City,2015,Irish
