,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,George Forsyth,G,"6'02""",12 01,20-06-82,Caracas,Alianza Lima,Atalanta,2007,Italian
2,2,Leonardo Talamonti,D,"6'00""",12  00,12-11-81,Alvarez,River  Plate,Atalanta,2007,Italian
3,3,Manuel Belleri,D,"5'09""",11 00,29-08-77,Brescia,Lazio,Atalanta,2007,Italian
4,4,Costinha,M,5'11'',11  09,01-12-74,Lisbon,Atlético Madrid,Atalanta,2007,Italian
5,5,Thomas Manfredini,D,"5'11""",11  05,27-05-80,Ferrara,Udinese,Atalanta,2007,Italian
6,6,Gianpaolo Bellini,D,"5'10""",11 05,27-03-80,Bergamo,None,Atalanta,2007,Italian
9,9,Michele Paolucci,F,"6'00""",12  08,06-02-86,Recanati,Udinese,Atalanta,2007,Italian
10,10,Simone Inzaghi,F,"6'01""",12 13,05-04-76,Piacenza,Lazio,Atalanta,2007,Italian
11,11,Zlatan Muslimović,F,"6'02""",13  01,06-03-81,Banja Luka,Udinese,Atalanta,2007,Italian
15,15,Diego De Ascentis,M,"5'10""",12 01,31-07-76,Como,Torino,Atalanta,2007,Italian
16,16,Claudio Rivalta,D,"5'09""",10 10,30-06-78,Ravenna,Vicenza,Atalanta,2007,Italian
17,17,Tiberio Guarente,M,"5'11""",10 08,01-11-85,Pisa,Verona,Atalanta,2007,Italian
18,18,Andrea Ivan,G,"6'00""",12  00,09-01-73,Florence,Pescara,Atalanta,2007,Italian
19,19,Simone Colombi,G,,,01-07-91,,None,Atalanta,2007,Italian
20,20,Ivan Radovanović,D,"6'01""",13 01,29-08-88,Mitrovica,Partizan Belgrade,Atalanta,2007,Italian
21,21,Fernando Tissone,M,"6'00""",11 11,24-07-86,Quilmes,Udinese,Atalanta,2007,Italian
22,22,Simone Padoin,M,"6'01""",11 05,18-03-84,Gemona del Friuli,Vicenza,Atalanta,2007,Italian
23,23,Antonio Langella,F,"6'00""",12  04,03-03-77,Naples,Cagliari,Atalanta,2007,Italian
24,24,Matteo Gentili,D,,,21-08-89,,None,Atalanta,2007,Italian
25,25,Marco Colombo,D,,,13-03-90,,None,Atalanta,2007,Italian
26,26,Maximiliano  Pellegrino,D,"6'02""",13 01,26-01-80,Leones,Vélez Sarsfield,Atalanta,2007,Italian
27,27,Daniele  Capelli,D,"6'00""",12 04,20-06-86,Calcinate,None,Atalanta,2007,Italian
28,28,Giacomo Bonaventura,M,,,22-08-89,,None,Atalanta,2007,Italian
29,29,Michael Girasole,M,,,30-01-89,,None,Atalanta,2007,Italian
30,30,Ferdinando Coppola,G,"6'02""",12 08,10-06-78,Naples,Milan,Atalanta,2007,Italian
31,31,Michele Marconi,F,,,13-05-89,,None,Atalanta,2007,Italian
32,32,Riccardo Fissore,D,"6'01""",12 01,18-02-80,Carmagnla,Vicenza,Atalanta,2007,Italian
33,33,Sergio Floccari,F,"5'10""",11  09,12-11-81,Vibo  Valentia,Messina,Atalanta,2007,Italian
41,72,Cristiano Doni,M,"6'01""",12 04,01-04-73,Rome,Mallorca,Atalanta,2007,Italian
42,79,Adriano Ferreira Pinto,M,"5'10""",11  00,10-12-79,Porto Ferreira,Cesena,Atalanta,2007,Italian
43,80,Moris Carrozzieri,D,"6'04""",13 12,16-11-80,Giulianova,Sampdoria,Atalanta,2007,Italian
2,2,Davide Marchini,M,"5'11""",12 04,23-02-81,Portomaggiore,Triestina,Cagliari,2007,Italian
3,3,Cristiano Del Grosso,D,"5'09""",09 13,24-03-83,Giulianova,Ascoli,Cagliari,2007,Italian
4,4,Luca Capecchi,G,"6'03""",12 11,04-08-74,Imola,Ravenna,Cagliari,2007,Italian
5,5,Daniele Conti,M,"5'09""",11  03,09-01-79,Nettuno,Roma,Cagliari,2007,Italian
6,6,Diego Luis  López,D,"6'00""",12  06,22-08-74,Montevideo,Racing Santander,Cagliari,2007,Italian
7,7,Andrea Cossu,F,"5'07""",09 13,30-05-80,Cagliari,Verona,Cagliari,2007,Italian
8,8,Davide Biondini,M,"5'10""",10 08,24-01-83,Longiano,Reggina,Cagliari,2007,Italian
9,9,Robert Acquafresca,F,"6'00""",10 08,11-09-87,Turin,Treviso,Cagliari,2007,Italian
10,10,Pasquale Foggia,F,"5'04""",11 00,03-06-83,Naples,Lazio,Cagliari,2007,Italian
12,12,Jan Koprivec,G,"6'02""",12 06,15-07-88,Koper,Koper,Cagliari,2007,Italian
13,13,Marco Storari,G,"6'01""",12 04,07-01-77,Rome,Milan,Cagliari,2007,Italian
14,14,Francesco Pisano,D,"5'09""",10 08,29-04-86,Cagliari,None,Cagliari,2007,Italian
15,15,Sebastián Rosano,M,"5'11""",11 09,25-05-87,Rivera,Montevideo Wanderers,Cagliari,2007,Italian
18,18,Andrea Parola,M,"5'10""",11 09,22-04-79,Pisa,Sampdoria,Cagliari,2007,Italian
19,19,Joaquín Larrivey,F,"6'01""",12 13,20-08-84,Buenos Aires,Huracán,Cagliari,2007,Italian
20,20,Paolo Bianco,D,"6'00""",12 04,20-08-77,Foggia,Catania,Cagliari,2007,Italian
21,21,Michele Canini,D,"6'02""",12  04,09-04-84,Bergamo,Atalanta,Cagliari,2007,Italian
22,22,Vítor Gomes,M,"5'11""",11 11,25-12-87,Vila do Conde,Rio Ave,Cagliari,2007,Italian
23,23,Michele Fini,M,"6'01""",10 10,14-06-74,Sorso,Ascoli,Cagliari,2007,Italian
24,24,Rijat Shala,M,"5'10""",11 11,26-09-83,Prizren,Salernitana,Cagliari,2007,Italian
25,25,Rafael Acosta,M,"6'00""",11 07,13-02-89,Caracas,None,Cagliari,2007,Italian
26,26,Marco Mancosu,M,"5'10""",11 11,22-08-88,Cagliari,None,Cagliari,2007,Italian
27,27,Jeda,F,"5'09""",11 09,15-04-79,Santa Rém,Rimini,Cagliari,2007,Italian
28,28,Daniele Magliocchetti,D,"6'00""",11 09,11-05-86,Rome,Roma,Cagliari,2007,Italian
29,29,Michele Ferri,D,"5'11""",11  00,29-05-81,Busto Arsizio,Palermo,Cagliari,2007,Italian
30,30,Daniele Ragatzu,F,"5'07""",10 10,21-09-91,Cagliari,None,Cagliari,2007,Italian
31,31,Alessandro Agostini,D,"5'07""",10  06,23-07-79,Vinci,Empoli,Cagliari,2007,Italian
32,32,Alessandro Matri,F,"6'00""",12 08,15-08-84,Sant'Angelo Lodigiano,Milan,Cagliari,2007,Italian
33,33,Enrico Cotza,F,"5'10""",10 12,20-09-89,Cagliari,None,Cagliari,2007,Italian
34,34,Davide Meloni,M,"5'07""",09 06,10-09-88,Cagliari,None,Cagliari,2007,Italian
35,35,Davide Puddu,M,"5'11""",11 07,27-04-88,Cagliari,None,Cagliari,2007,Italian
36,36,Alessandro Dettori,M,,,26-12-89,Sassari,None,Cagliari,2007,Italian
37,37,Claudio Herrera,D,,,11-02-88,Montevideo,None,Cagliari,2007,Italian
38,38,Giacomo Garau,D,,,27-02-88,Cagliari,None,Cagliari,2007,Italian
39,39,Mauro Vigorito,G,,,22-05-90,Macomer,None,Cagliari,2007,Italian
1,1,Albano Bizzarri,G,6'02'',11  11,09-11-77,Etruria,Nàstic,Catania,2007,Italian
2,2,Gennaro Sardo,D,"5'11""",11 07,03-05-79,Pozzuoli,Piacenza,Catania,2007,Italian
3,3,Rocco  Sabato,D,"6'00""",12  06,19-04-82,Potenza,Cagliari,Catania,2007,Italian
4,4,Andrea Sottil,D,"6'01""",11 07,04-01-74,Venaria,Genoa,Catania,2007,Italian
5,5,Matías  Silvestre,M,"6'00""",13 01,25-09-84,Capital Federal,Boca Juniors,Catania,2007,Italian
6,6,Lorenzo Stovini,D,"6'01""",12  01,24-11-76,Florence,Lecce,Catania,2007,Italian
7,7,Juan  Manuel Vargas,D,"6'00""",11  11,10-05-83,Lima,Colón  (Santa Fe),Catania,2007,Italian
8,8,Mark Edusei,M,"5'09""",11 00,29-09-76,Kumasi,Sampdoria,Catania,2007,Italian
9,9,Giuseppe Colucci,M,"5'09""",11  03,24-08-80,Foggia,Verona,Catania,2007,Italian
10,10,Giuseppe Mascara,F,"5'09""",10 06,22-08-79,Caltagirone,Perugia,Catania,2007,Italian
11,11,Inácio  Piá,F,"5'10""",10 10,22-03-82,Ibitinga,Napoli,Catania,2007,Italian
13,13,Mariano Izco,M,"5'10""",11  03,13-03-83,Capital Federal,San Telmo,Catania,2007,Italian
14,14,Christian Iannelli,F,,,19-05-86,Siracusa,None,Catania,2007,Italian
15,15,Takayuki Morimoto,F,"6'00""",11  11,07-05-88,Tokyo,Tokyo Verdy,Catania,2007,Italian
16,16,Ciro Polito,G,"6'00""",12  04,12-04-79,Naples,Acireale,Catania,2007,Italian
