,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
0,San Andrés de Giles,Argentinian,Argentinos Juniors,22-01-72,"6'02""",Marcelo Pontiroli,,1.0,G,Quilmes,1,13 12,2005
1,Capital Federal,Argentinian,Argentinos Juniors,11-02-72,"5'09""",Diego Cocca,,2.0,D,Querétaro,2,11 00,2005
2,Montevideo,Argentinian,Argentinos Juniors,17-08-80,"5'09""",Jorge Anchén,,3.0,D,Danubio,3,11 07,2005
3,Capital Federal,Argentinian,Argentinos Juniors,14-04-81,"5'07""",Pablo De Muner,,4.0,D,None,4,11 00,2005
4,San Miguel de Tucumán,Argentinian,Argentinos Juniors,07-08-81,"5'07""",Facundo Pérez Castro,,5.0,M,None,5,10 03,2005
5,San Martín,Argentinian,Argentinos Juniors,29-12-83,,Leandro Fleitas,,6.0,D,None,6,,2005
6,Villa Adelina,Argentinian,Argentinos Juniors,27-09-82,"5'09""",Nicolás Gianni,,7.0,F,Defensores de Belgrano,7,11 09,2005
7,Capital Federal,Argentinian,Argentinos Juniors,23-02-83,"5'09""",Gastón Machín,,8.0,M,None,8,11 07,2005
8,Bell Ville,Argentinian,Argentinos Juniors,31-08-71,"5'10""",Silvio Carrario,,9.0,F,Quilmes,9,12 00,2005
9,Rafael Castillo,Argentinian,Argentinos Juniors,18-01-84,"5'10""",Leonardo Pisculichi,,10.0,F,None,10,12 00,2005
10,Lanús,Argentinian,Argentinos Juniors,07-10-84,"5'09""",Matías  Córdoba,,11.0,M,None,11,11  05,2005
11,Peragamino,Argentinian,Argentinos Juniors,10-05-81,"6'03""",Juan Carrera,,12.0,G,None,12,13 08,2005
12,Garín,Argentinian,Argentinos Juniors,16-05-85,"6'00""",Facundo Quiroga,,13.0,F,None,13,12 11,2005
13,Caseros,Argentinian,Argentinos Juniors,09-02-84,,Sebastián Setti,,14.0,M,None,14,,2005
14,Buenos Aires,Argentinian,Argentinos Juniors,22-01-84,"5'09""",Sebastián Brunet,,15.0,D,None,15,11 07,2005
15,Trelew,Argentinian,Argentinos Juniors,22-05-83,"5'04""",Franco Niell,,16.0,F,None,16,10 03,2005
16,Córdoba,Argentinian,Argentinos Juniors,24-08-79,"6'00""",Marcelo Sarmiento,,17.0,M,Racing (Córdoba),17,12 01,2005
17,Capital Federal,Argentinian,Argentinos Juniors,20-05-81,"5'07""",Leonardo Di Lorenzo,,18.0,M,San Lorenzo,18,11 00,2005
18,Córdoba,Argentinian,Argentinos Juniors,31-03-84,,Leandro Zárate,,19.0,F,Ben Hur (Rafaela),19,,2005
19,Rafaela,Argentinian,Argentinos Juniors,20-07-82,,Sergio Zanabria,,20.0,M,Atlético Rafaela,20,,2005
20,Ituzaingó,Argentinian,Argentinos Juniors,03-01-81,"5'05""",Ariel Seltzer,,21.0,D,None,21,10 01,2005
