,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
0,1,Yang Jun,G,"6'02""",12 04,10-06-81,Tianjin,,Beijing Guo'an,2006,Chinese
1,2,Lang Zheng,D,"6'02""",12 06,22-07-86,,,Beijing Guo'an,2006,Chinese
2,3,Zhang Shuai,D,"6'00""",11 11,20-07-81,Qingdao,None,Beijing Guo'an,2006,Chinese
3,4,Javier Musa,D,"6'05""",13 03,15-01-79,Copetanos,,Beijing Guo'an,2006,Chinese
4,5,Qiu Zhonghui,D,"5'11""",11 09,15-06-77,,,Beijing Guo'an,2006,Chinese
5,6,Sui Dongliang,M,"5'10""",12 06,24-09-77,Dalian,August First,Beijing Guo'an,2006,Chinese
6,8,Yang Pu,M,"5'10""",12 00,30-03-78,Beijing,None,Beijing Guo'an,2006,Chinese
7,9,Xu Ning,F,"6'01""",12 08,23-03-79,,,Beijing Guo'an,2006,Chinese
8,10,Krisztián Kenesei,F,"5'10""",12 00,07-01-77,Budapest,Győr,Beijing Guo'an,2006,Chinese
9,11,Yan Xiangchuang,F,"5'09""",10 06,05-09-86,Dalian,August First,Beijing Guo'an,2006,Chinese
10,12,Cui Wei,D,"6'00""",12 04,07-04-83,,,Beijing Guo'an,2006,Chinese
11,13,Xu Yunlong,M,"5'11""",12 08,17-02-79,Beijing,None,Beijing Guo'an,2006,Chinese
12,14,Wang Dong,M,"5'10""",11 09,11-06-85,,,Beijing Guo'an,2006,Chinese
13,15,Tao Wei,M,"5'09""",11 00,11-03-78,Beijing,None,Beijing Guo'an,2006,Chinese
14,16,Huang Bowen,M,"5'11""",11 05,13-07-87,Changsha,None,Beijing Guo'an,2006,Chinese
15,17,Gao Dawei,F,"5'11""",11 11,17-08-83,Shenyang,None,Beijing Guo'an,2006,Chinese
16,18,Lu Jiang,M,"5'11""",11 03,30-06-81,Beijing,None,Beijing Guo'an,2006,Chinese
17,19,Yang Hao,M,"5'09""",10 06,19-08-83,,,Beijing Guo'an,2006,Chinese
18,20,Li Yao,M,"5'09""",10 03,21-11-77,Shenyang,Dalian,Beijing Guo'an,2006,Chinese
19,21,Gao Leilei,M,"5'10""",12 00,15-07-80,Beijing,None,Beijing Guo'an,2006,Chinese
