,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
0,Aalborg,Danish,Aalborg,06-08-77,"6'03""",Jimmy Nielsen,,1,G,Millwall,1,14 02,2005
1,Copenhagen,Danish,Aalborg,02-01-86,"6'01""",Michael Jakobsen,,2,D,PSV Eindhoven,2,12 08,2005
2,Montclair,Danish,Aalborg,17-03-80,6'01'',Danny Califf,,4,D,San Jose Earthquakes,4,12 07,2005
3,,Danish,Aalborg,07-04-83,"6'01""",Jón Rói Jacobsen,,5,D,Frem,5,11 07,2005
4,,Danish,Aalborg,18-04-80,"6'00""",Mattias Lindström,,7,M,Helsingborg,7,12 01,2005
5,Trondheim,Danish,Aalborg,28-12-75,"5'08""",Fredrik Winsnes,,8,M,Rosenborg,8,11 07,2005
6,Svendborg,Danish,Aalborg,20-03-81,"6'04""",Thomas Augustinussen,,9,F,Aabybro,9,13 03,2005
7,,Danish,Aalborg,21-09-76,"6'05""",Poul Hübertz,,11,F,Herfølge,11,14 09,2005
8,Hillerød,Danish,Aalborg,21-03-84,"5'10""",Jeppe Curth,,14,F,Feyenoord,14,11 11,2005
9,Hoje-Taastrup,Danish,Aalborg,25-01-74,"5'10""",Allan Olesen,,16,D,St-Etienne,16,11 00,2005
10,Struga,Danish,Aalborg,23-09-73,"6'00""",Artim Sakiri,,17,M,WBA,17,11 07,2005
11,Belo Horizente,Danish,Aalborg,09-10-82,"5'10""",Cacá,,18,M,Atlético Mineiro,18,10 10,2005
12,Tórshavn,Danish,Aalborg,07-03-81,"5'11""",Súni Olsen,,19,D,FC Zwolle,19,12 04,2005
13,,Danish,Aalborg,19-03-84,"5'09""",Simon Bræmer,,20,F,Hjørring,20,12 11,2005
14,,Danish,Aalborg,04-01-83,"6'00""",Kasper Risgård,,21,M,FC Nordsjælland,21,11 11,2005
15,Skive,Danish,Aalborg,18-09-83,"5'10""",Rasmus Würtz,,22,D,Skive,22,10 10,2005
16,,Danish,Aalborg,27-06-87,"5'11""",Thomas Enevoldsen,,23,M,None,23,11 09,2005
17,,Danish,Aalborg,21-03-87,"6'02""",Jens-Kristian Sørensen,,24,M,None,24,10 10,2005
18,,Danish,Aalborg,11-05-79,"5'10""",Daniel Hoch,,25,F,AIK,25,11 07,2005
19,,Danish,Aalborg,28-04-87,"5'08""",Patrick Kristensen,,27,F,None,27,10 10,2005
20,Viborg,Danish,Aalborg,12-07-79,"6'03""",Casper Jacobsen,,28,G,Hobro,28,14 05,2005
21,,Danish,Aalborg,11-09-87,"6'02""",Kenneth Stenild-Nielsen,,30,G,None,30,12 04,2005
22,,Danish,Aalborg,02-08-84,"5'10""",Thomas Kortegaard,,36,D,FC Nordsjælland,36,11 00,2005
23,Stenvad,Danish,Aarhus,30-09-82,"5'11""",Steffen Rasmussen,,1,G,Grenå IF,1,13 05,2005
24,,Danish,Aarhus,05-10-83,"6'03""",Richard Henriksson,,2,D,Brommapojkarna,2,13 10,2005
25,Arendal,Danish,Aarhus,10-04-79,"5'10""",Roger Risholt,,3,M,Fredrikstad,3,11  05,2005
26,,Danish,Aarhus,18-01-83,"6'02""",Thomas Hansen,,4,D,Brøndby,4,12 00,2005
27,Horsens,Danish,Aarhus,03-08-74,"6'04""",Jacob Rasmussen,,5,D,FC Nordsjælland,5,13 12,2005
28,Sydney,Danish,Aarhus,10-11-82,"6'00""",Shane Cansdell-Sherriff,,6,D,Leeds U,6,11 12,2005
29,,Danish,Aarhus,13-08-81,"5'10""",Lars Pleidrup,,7,M,Lolland-Falster Alliancen,7,10 10,2005
30,Århus,Danish,Aarhus,10-06-73,"5'10""",Jesper Sørensen,,8,D,AB København,8,11 05,2005
31,,Danish,Aarhus,21-05-76,"6'00""",Thomas Lindrup,,9,M,Odense,9,12 04,2005
32,Copenhagen,Danish,Aarhus,03-12-79,"6'00""",Peter Foldgast,,10,F,RW Essen,10,12 06,2005
33,Oslo,Danish,Aarhus,11-08-79,"5'10""",Christer George,,11,F,Rosenborg,11,13 01,2005
34,,Danish,Aarhus,20-03-75,"6'02""",Henrik Bundgaard,,13,G,Brabrand,13,12 13,2005
35,,Danish,Aarhus,08-01-78,"5'09""",Jimmy Høyer,,14,M,Aarhus Fremad,14,12 04,2005
36,,Danish,Aarhus,10-03-86,"6'00""",Jesper Jørgensen,,15,F,Frem,15,12 13,2005
37,,Danish,Aarhus,06-04-83,"5'11""",Mads Frost,,16,M,Aarhus Fremad,16,11 07,2005
38,Karlskrona,Danish,Aarhus,15-03-80,"6'01""",Tobias Grahn,,17,F,Malmö,17,12 11,2005
39,,Danish,Aarhus,13-01-86,,Jens Gjesing,,19,D,None,19,,2005
40,,Danish,Aarhus,10-02-87,"5'07""",Danilo Arrieta,,20,M,Valencia,20,10 08,2005
41,,Danish,Aarhus,20-07-82,"6'01""",Kasper Kure,,21,D,None,21,11 05,2005
42,,Danish,Aarhus,15-03-87,,Cheikh Sarr,,22,D,Lyngby,22,,2005
43,,Danish,Aarhus,20-09-76,"5'09""",Peter Graulund,,23,F,Helsingborg,23,11 09,2005
44,,Danish,Aarhus,13-12-72,"5'11""",Jonny Hanssen,,24,M,Lyn,24,12 04,2005
45,,Danish,Aarhus,27-05-81,"6'02""",Tuomas Aho,,25,D,MyPa,25,13 08,2005
46,,Danish,Aarhus,20-04-86,,Martin Mikkelsen,,26,M,Vejlby,26,,2005
47,,Danish,Aarhus,12-09-85,"6'01""",Anders Kure,,27,D,None,27,12 00,2005
48,,Danish,Aarhus,17-02-87,,Navid Dayyani,,30,D,None,30,,2005
49,,Danish,Aarhus,05-10-83,"6'03""",Richard Henriksson,,31,D,Brommapojkarna,31,13 10,2005
50,,Danish,Aarhus,02-05-86,"5'11""",Lasse Borg,,32,G,None,32,12 01,2005
51,Harning,Danish,Aarhus,26-01-78,"6'06""",Morten Hyldgaard,,33,G,Esbjerg,33,14 00,2005
52,,Danish,Aarhus,18-07-86,,Anders Kaagh,,34,F,Viborg,34,,2005
53,,Danish,Aarhus,18-07-86,"6'03""",Kristian Kaagh,,35,M,Viborg,35,12 06,2005
54,,Danish,Brøndby,09-01-75,"6'00""",Karim Zaza,,1,G,Odense,1,12 06,2005
55,Copenhagen,Danish,Brøndby,06-01-74,5'11'',Thomas Rytter,,3,D,Wolfsburg,3,11 09,2005
56,,Danish,Brøndby,15-10-73,"6'03""",Per Nielsen,,4,D,None,4,13 08,2005
57,,Danish,Brøndby,13-08-79,"5'08""",Dan Anton Johansen,,5,D,None,5,12 00,2005
58,Kristianstad,Danish,Brøndby,23-10-75,5'10'',Marcus Lantz,,6,M,Hansa Rostock,6,11 00,2005
59,,Danish,Brøndby,19-11-85,"5'11""",Kasper Lorentzen,,7,F,Rosenhøj,7,11 09,2005
60,,Danish,Brøndby,29-07-74,"5'10""",Kim Daugaard,,8,M,Herfølge,8,11 07,2005
61,,Danish,Brøndby,05-05-80,"5'10""",Martin Retov,,9,M,Køge,9,12 13,2005
62,,Danish,Brøndby,04-09-80,"5'10""",Martin Ericsson,,10,M,Aalborg,10,12 00,2005
