,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
0,1.0,Stephane  Porato,G,"6'00""",11  11,19-09-73,Colombes,Monaco,Ajaccio,2005,French
1,4.0,Antonio  Carlos,D,"6'00""",12  01,22-06-83,Rio de  Janeiro,Fluminense,Ajaccio,2005,French
2,5.0,Martial Robin,D,"5'08""",11 11,27-08-77,Marseille,Marseille,Ajaccio,2005,French
3,6.0,Rodrigo  Lacerda Ramos,M,"6'00""",12  08,06-10-80,São  Bernardo da Campo,Atlético  Mineiro,Ajaccio,2005,French
4,7.0,Romain Rocchi,M,"6'00""",11 11,02-10-81,Cavaillon,Paris  St-Germain,Ajaccio,2005,French
5,8.0,Rafik  Saïfi,M,5'10'',11 05,07-02-75,Alger,Istres,Ajaccio,2005,French
6,9.0,Lucas Pereira,F,"6'00""",12  10,02-05-82,Campinas,Portuguesa,Ajaccio,2005,French
7,10.0,Edson  Marcelo de Faria,M,"5'11""",12  01,02-08-79,Curitiba,San  Luis,Ajaccio,2005,French
8,11.0,Mathieu  Scarpelli,M,"6'00""",11  11,23-07-81,Grenoble,Cassis,Ajaccio,2005,French
9,12.0,Christophe  Mandrichi,F,"6'00""",12  11,03-06-84,Bastia,Corte,Ajaccio,2005,French
10,13.0,Frédéric Danjou,D,"6'00""",12 01,28-09-74,Clamart,Caen,Ajaccio,2005,French
11,14.0,Moussa  N'Diaye,M,"5'10""",12  08,20-02-79,Pire,Istres,Ajaccio,2005,French
12,15.0,Fabien Laurenti,D,"5'11""",11 11,06-01-83,Marseille,Marseille,Ajaccio,2005,French
13,16.0,Stéphane Trévisan,G,"5'11""",11 13,01-05-73,Toulouse,Marseille,Ajaccio,2005,French
14,18.0,Nenad  Dzodic,D,"6'02""",11  11,04-01-77,Belgrade,Vitória Guimarães,Ajaccio,2005,French
15,19.0,Kaba Diawara,F,"5'10""",11  06,16-12-75,Toulon,Al-Ittihad,Ajaccio,2005,French
16,21.0,Kamel Chafni,M,"5'11""",11 00,11-06-82,Bordeaux,Châteauroux,Ajaccio,2005,French
17,22.0,Djamel  Abnoun,M,"5'09""",10  03,14-02-86,Montreuil-sous-Bois,Paris FC,Ajaccio,2005,French
18,23.0,Franklin  Anzite,M,"6'05""",12  08,11-02-85,Bangui,Paris  FC,Ajaccio,2005,French
19,24.0,Giany  Joinville,D,"6'03""",14  00,01-07-84,Saint  Claude,Gueugnon,Ajaccio,2005,French
20,25.0,Xavier Collin,D,"5'08""",10 09,17-08-74,Charmes,Gueugnon,Ajaccio,2005,French
21,27.0,Daouda Jabi,D,"5'10""",12 06,10-04-81,Pelundo,Lens,Ajaccio,2005,French
22,28.0,André  Luiz Moriera,M,"6'00""",12  06,11-01-74,São  Paulo,Fluminense,Ajaccio,2005,French
23,29.0,Xavier Becas,F,"5'07""",09 06,30-05-79,Tarbes,Sedan,Ajaccio,2005,French
24,30.0,Florian Lucchini,G,"6'00""",12 08,13-02-81,Perpignan,GFCO Ajaccio,Ajaccio,2005,French
25,33.0,Jean-Toussaint Moretti,M,"5'08""",10 01,12-03-80,Ajaccio,None,Ajaccio,2005,French
26,34.0,Anthony Baron,D,"6'02""",11 07,09-04-86,Ajaccio,None,Ajaccio,2005,French
27,99.0,Mickaël  Marquet,F,"6'01""",12  04,10-12-81,Alfortville,Dijon,Ajaccio,2005,French
28,,Dimitri Lesueur,F,"5'11""",11  07,25-01-87,Blanc-Mesnil,None,Ajaccio,2005,French
29,1.0,Fabien Cool,G,"6'01""",11 13,29-08-72,L'Isle-Adam,None,Auxerre,2005,French
30,2.0,Johan Radet,D,"5'08""",11 11,24-11-76,La Fere,None,Auxerre,2005,French
31,3.0,Jean-Sébastien Jaures,D,"5'09""",11 13,30-09-77,Tours,None,Auxerre,2005,French
