,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
0,Goslar,German,Arminia Bielefeld,31-12-72,6'02'',Mathias Hain,,1,G,Greuther Fürth,1,13  10,2005
1,Geislingen,German,Arminia Bielefeld,01-08-77,6'00'',Markus  Schuler,,2,D,Hannover 96,2,12  04,2005
2,Rio de Janeiro,German,Arminia Bielefeld,20-01-73,5'11'',Marcio Borges,,3,D,Waldhof  Mannheim,3,12  13,2005
3,Prague,German,Arminia Bielefeld,17-05-73,6'02'',Petr Gabriel,,4,D,Kaiserslautern,4,13  03,2005
4,Esslingen,German,Arminia Bielefeld,01-03-75,5'07'',Rüdiger Kauf,,5,M,Stuttgart,5,10  03,2005
5,Stadthagen,German,Arminia Bielefeld,18-10-68,6'00'',Detlev  Dammeier,,6,M,Wolfsburg,6,12  04,2005
6,Braunschweig,German,Arminia Bielefeld,31-12-81,5'10'',Tobias Rau,,8,M,Bayern Munich,8,10  12,2005
7,Komasi,German,Arminia Bielefeld,26-11-81,6'00'',Isaac Boakye,,9,F,Asante  Kotoko,9,11  11,2005
8,Rcesen,German,Arminia Bielefeld,20-09-71,5'07'',Fatmir Vata,,10,M,Waldhof  Mannheim,10,11  05,2005
9,Olomouc,German,Arminia Bielefeld,27-06-81,"5'10""",David Kobylik,,11,M,Sigma Olomouc,11,10  12,2005
10,Waiblingen,German,Arminia Bielefeld,01-02-82,"6'00""",Michael Fink,,13,D,Stuttgart,13,12  00,2005
11,Luwigslust,German,Arminia Bielefeld,22-01-76,5'10'',Marco  Küntzel,,14,F,B  Mönchengladbach,14,11  07,2005
12,Minden,German,Arminia Bielefeld,23-04-86,"6'01""",Tim Danneberg,,15,M,None,15,11  07,2005
13,Alzenau,German,Arminia Bielefeld,14-08-83,6'02'',Heiko  Westermann,,16,D,Greuther Fürth,16,12  08,2005
14,Leverkusen,German,Arminia Bielefeld,09-03-84,5'07'',Ioannis  Masmanidis,,17,F,Karlsruhe,17,10  10,2005
15,Posen,German,Arminia Bielefeld,28-02-77,6'00'',Artur  Wichniarek,,18,F,Hertha Berlin,18,12  04,2005
16,Würzburg,German,Arminia Bielefeld,08-09-79,5'09'',Bernd  Korzynietz,,19,F,B  Mönchengladbach,19,11  03,2005
17,Bijelo  Polje,German,Arminia Bielefeld,29-10-82,"6'01""",Radomir  Dalovic,,20,F,NK Zagreb,20,12  08,2005
18,Bückeburg,German,Arminia Bielefeld,23-06-80,6'00'',Massimiliano  Porcello,,21,M,SC Paderborn,21,12  00,2005
19,Mpumalanga,German,Arminia Bielefeld,23-06-75,"5'11""",Sibusiso Zuma,,22,F,FC København,22,11  03,2005
20,Witten,German,Arminia Bielefeld,31-07-82,6'03'',Dennis  Eilhoff,,23,G,None,23,13  01,2005
21,Palencia,German,Arminia Bielefeld,16-01-84,"5'07""",Diego  León,,24,M,Real  Madrid,24,10  10,2005
22,Ústí  nad Orlicí,German,Arminia Bielefeld,18-05-87,"6'00""",Kamil Vacek,,25,M,Sigma  Olomouc,25,12  00,2005
23,Werne,German,Arminia Bielefeld,16-11-82,"6'01""",Pascal Formann,,26,G,Nordkirchen,26,11  07,2005
24,Bielefeld,German,Arminia Bielefeld,09-12-85,"5'10""",Christian  Wieczorek,,27,M,None,27,11  03,2005
25,Greven,German,Arminia Bielefeld,17-05-85,"6'01""",Julian Loose,,28,M,Preußen  Münster,28,12  00,2005
26,Stuttgart,German,Arminia Bielefeld,22-08-78,5'07'',Roberto Pinto,,30,M,Hertha  Berlin,30,10  06,2005
27,Valaské Meziříčí,German,Arminia Bielefeld,01-03-74,"6'02""",Radim Kučera,,31,D,Sigma  Olomouc,31,12 13,2005
28,Bielefeld,German,Arminia Bielefeld,31-01-87,"6'01""",Oliver  Zech,,32,D,None,32,12  01,2005
29,Bünde,German,Arminia Bielefeld,16-02-87,"6'02""",Marcel  Stadel,,33,D,None,33,11  09,2005
30,Berlin,German,Bayer Leverkusen,28-05-74,6'03'',Hans-Jörg  Butt,,1,G,Hamburg,1,14  05,2005
31,Köping,German,Bayer Leverkusen,02-06-83,"6'02""",Fredrik Stenman,,2,D,Djurgårdens  IF,2,12 13,2005
32,Santa Rita,German,Bayer Leverkusen,31-08-76,"6'02""",Roque Junior,,3,D,Milan,3,11  07,2005
