,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
0,1,Stefano Sorrentino,G,"6'01""",12 13,28-03-79,Cava dei Tirreni,Torino,AEK,2005,Greek
1,3,Nikola Malbasa,D,"5'11""",12 04,12-09-77,Belgrade,Terek Grozni,AEK,2005,Greek
2,5,Bruno Cirillo,D,"6'02""",12 04,21-03-77,Castellamare di Stabia,Siena,AEK,2005,Greek
3,6,Giorgos Alexopoulos,D,"6'00""",12 13,07-02-77,Athens,Egaleo,AEK,2005,Greek
4,7,Alessandre Saores,F,"5'09""",11 07,05-02-73,Rio de Janeiro,OFI,AEK,2005,Greek
5,8,Miltos Sapanis,M,"5'11""",11 09,28-01-76,Thessaloniki,Panathinaikos,AEK,2005,Greek
6,9,Angelos Komvolidis,F,"6'00""",11 11,14-03-88,Stuttgart,Stuttgart B,AEK,2005,Greek
7,10,Panagiotis Kone,M,"6'00""",11 11,26-07-87,,Lens,AEK,2005,Greek
8,11,Oleg Venglinskyi,F,"5'10""",11 00,21-03-78,Kiev,Dnepr,AEK,2005,Greek
9,12,Giannis Arabatzis,G,"6'04""",12 06,28-05-84,Veria,EAP Makrohoriou,AEK,2005,Greek
10,14,Stavros Tziortziopoulos,D,"6'01""",12 06,15-08-78,Athens,Panionios,AEK,2005,Greek
11,17,Vladimir Ivic,M,"6'03""",13  05,07-05-77,Zrenjanin,B Mönchengladbach,AEK,2005,Greek
12,18,Vangelis Moras,D,"6'04""",12 04,26-08-81,Larisa,Proodeftiki,AEK,2005,Greek
13,19,Dimitris Koutroumanos,D,"5'10""",09 04,25-02-87,Agrinio,Panaitolikos,AEK,2005,Greek
14,20,Vasilis Pliatsikas,M,"5'09""",11 07,14-04-88,Agrinio,Xaidari,AEK,2005,Greek
15,21,Kostas Katsouranis,M,"6'00""",13 01,21-06-79,Patra,Panachaiki,AEK,2005,Greek
16,22,Dionissis  Hiotis,G,"6'00""",13 01,04-06-77,Athens,None,AEK,2005,Greek
17,23,Vasilis Lakis,M,"5'10""",11 03,10-09-76,Thessaloniki,Crystal Palace,AEK,2005,Greek
18,24,Christos Kontis,D,"6'00""",11 11,13-05-75,Athens,Panionios,AEK,2005,Greek
19,25,Emerson,M,"6'00""",14 05,12-04-72,Rio de Janeiro,Skoda  Xanthi,AEK,2005,Greek
20,26,Elias Kiriakidis,M,"5'10""",12 00,05-08-85,Athens,Ionikos,AEK,2005,Greek
21,27,Louay Chanko,F,"5'08""",11 00,29-11-79,,Malmö,AEK,2005,Greek
22,28,Christos Bourbos,F,"5'11""",12 08,01-06-83,,Giannina,AEK,2005,Greek
23,31,Nikos Georgeas,D,"5'09""",11 07,27-12-76,Kalamata,Kalamata,AEK,2005,Greek
24,33,Nikos  Liberopoulos,F,"6'02""",11 05,04-08-75,Kalamata,Panathinaikos,AEK,2005,Greek
25,35,Pantelis Kapetanos,F,"6'03""",12 13,08-06-83,Ptolemaida,Iraklis,AEK,2005,Greek
26,55,Traianos Dellas,D,"6'06""",14  09,31-01-76,Thessalonika,Roma,AEK,2005,Greek
27,99,Julio Cesar,F,"5'09""",12 00,14-09-83,Itaguai,Gil Vicente,AEK,2005,Greek
28,1,Costas Pagonis,M,,,11-09-85,,None,Akratitos,2005,Greek
29,3,Christos Pipinis,D,"6'00""",,01-11-84,,None,Akratitos,2005,Greek
30,4,Laurent Macquet,M,"5'10""",12 01,11-08-79,Lille,Charleroi,Akratitos,2005,Greek
31,5,Costas Apostolakis,D,,,21-11-83,,None,Akratitos,2005,Greek
32,6,Milan Obradovic,D,"5'11""",11 07,03-08-77,,FK Zventzara,Akratitos,2005,Greek
33,7,Nikola Vujovic,F,,,23-01-81,,Buducnost Podgorica,Akratitos,2005,Greek
34,8,Themistoklis Tzimopoulos,M,,,20-11-85,,None,Akratitos,2005,Greek
35,10,Manolis Skoufalis,M,,,21-08-78,,Athinaikos,Akratitos,2005,Greek
