,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
0,1.0,Sandro  Tomic,G,"6'00""",12 08,29-10-72,Split,NK Zagreb,Debrecen,2005,Hungarian
1,2.0,Péter Máté,D,"6'04""",14 13,02-12-84,Püspökladány,Debreceni Olasz Focisuli,Debrecen,2005,Hungarian
2,3.0,Csaba Szatmári,D,"5'10""",11 11,02-11-73,Debrecen,Dorog,Debrecen,2005,Hungarian
3,5.0,Dragan Vukmir,D,"6'00""",12 01,02-08-78,Sremska Mitrovica,Ferencváros,Debrecen,2005,Hungarian
4,6.0,Béla Virág,M,"6'01""",12 04,12-04-76,Marcali,Balaton FC,Debrecen,2005,Hungarian
5,7.0,Tibor Dombi,M,"5'09""",12 00,11-11-73,Püspökladány,Utrecht,Debrecen,2005,Hungarian
6,8.0,Csaba Madar,M,"5'06""",09 06,08-10-74,Püspökladány,MTK,Debrecen,2005,Hungarian
7,9.0,Tamás Sándor,M,"6'00""",12 06,20-06-74,Debrecen,Beitar Jerusalem,Debrecen,2005,Hungarian
8,10.0,Igor  Bogdanović,F,"6'00""",12 01,25-09-74,Novi Sad,Gençlerbirliği,Debrecen,2005,Hungarian
9,11.0,Bojan Brnovic,F,"5'10""",11 11,10-02-79,Podgorica,Partizan Belgrade,Debrecen,2005,Hungarian
10,12.0,János Balogh,G,"6'04""",13 12,29-11-82,Debrecen,Kaba,Debrecen,2005,Hungarian
11,16.0,Ádám Komlósi,D,"6'03""",12 11,06-12-77,Budapest,MTK,Debrecen,2005,Hungarian
12,17.0,Norbert Mészáros,F,"6'03""",13 01,19-08-80,,Energie Cottbus,Debrecen,2005,Hungarian
13,19.0,Balázs Dzsudzsák,M,"5'11""",11 07,23-12-86,Nyírlugos,Debreceni Olasz Focisuli,Debrecen,2005,Hungarian
14,20.0,Aladár Virágh,D,"5'11""",11 05,19-02-83,Debrecen,None,Debrecen,2005,Hungarian
15,21.0,Ronald Habi,M,"5'11""",11 09,23-08-77,Knezevo,Vojvodina,Debrecen,2005,Hungarian
16,22.0,Csaba Bernáth,D,"5'10""",11 03,26-03-79,Debrecen,FC Antwerp,Debrecen,2005,Hungarian
17,24.0,Norbert Csernyánszki,G,"6'01""",13 01,01-02-76,Veszprém,Balaton FC,Debrecen,2005,Hungarian
18,26.0,Ibrahim Sidibé,F,"6'05""",13 03,10-08-80,Nguidile,SV Ried,Debrecen,2005,Hungarian
19,28.0,Péter Halmosi,M,"6'00""",11 09,25-09-79,Szombathely,Grazer AK,Debrecen,2005,Hungarian
20,30.0,Zoltán Kiss,M,"6'00""",12 06,18-08-80,Püspökladány,Germinal Beerschot,Debrecen,2005,Hungarian
21,31.0,István Ferenczi,F,"6'03""",13 01,14-09-77,Győr,Rizespor,Debrecen,2005,Hungarian
22,73.0,László Éger,D,"6'02""",13 05,07-05-77,Paks,Dunaferr,Debrecen,2005,Hungarian
23,81.0,Zoltán Böőr,M,"5'07""",10 03,14-08-78,Debrecen,Manisaspor,Debrecen,2005,Hungarian
24,1.0,Krisztián Berki,G,"6'03""",13 05,01-07-80,,Ferencváros,Diósgyőr,2005,Hungarian
25,2.0,József Mogyorósi,D,"6'00""",11 11,01-11-78,Budapest,Tatabánya,Diósgyőr,2005,Hungarian
26,3.0,Norbert Elek,D,"6'03""",13 03,27-03-77,Körmend,Vasas,Diósgyőr,2005,Hungarian
27,4.0,Marcell Fodor,D,"6'00""",11 07,27-10-87,,Újpest,Diósgyőr,2005,Hungarian
28,5.0,Ciprian Binder,F,"6'00""",12 04,20-02-76,Turda,Győr,Diósgyőr,2005,Hungarian
29,6.0,László Almási,M,"5'09""",11 05,14-04-81,,Salgótarján,Diósgyőr,2005,Hungarian
