,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
0,Tullamore,Irish,Bohemians,06-05-74,"6'01""",Seamus Kelly,,1.0,G,St Patrick's Ath,1,13 13,2005
1,Dublin,Irish,Bohemians,06-10-84,"5'09""",Stephen Rice,,2.0,M,Shelbourne,2,10 12,2005
2,Dublin,Irish,Bohemians,10-04-81,"6'01""",Des Byrne,,3.0,D,St Patrick's Ath,3,12 07,2005
3,Chatham,Irish,Bohemians,04-07-75,"5'11""",Kevin Hunt,,4.0,M,Hong Kong Rangers,4,11 00,2005
4,Dublin,Irish,Bohemians,29-07-82,"6'02""",Ken Oman,,5.0,D,Rivermount,5,12 02,2005
5,Dublin,Irish,Bohemians,14-02-79,"5'10""",Thomas Heary,,6.0,D,Huddersfield T,6,10 06,2005
6,Ballyliffan,Irish,Bohemians,26-11-76,"5'09""",Fergal Harkin,,7.0,M,Finn Harps,7,11 02,2005
7,Dublin,Irish,Bohemians,28-08-75,"6'01""",Gareth Farrelly,,8.0,M,Wigan Ath,8,13 07,2005
8,Drogheda,Irish,Bohemians,20-08-76,"5'10""",Tony Grant,,10.0,F,Shamrock R,10,11 08,2005
9,Dublin,Irish,Bohemians,20-08-85,"5'11""",Stephen Ward,,11.0,F,Portmarnock,11,12 01,2005
10,Dublin,Irish,Bohemians,16-06-87,"5'10""",John Paul Kelly,,12.0,M,Liverpool,12,12 01,2005
11,Dublin,Irish,Bohemians,21-06-87,"5'09""",David Bracken,,14.0,F,None,14,11 02,2005
12,Dublin,Irish,Bohemians,12-04-87,"5'10""",Niall O'Reilly,,15.0,D,Belvedere,15,12 01,2005
13,Cheltenham,Irish,Bohemians,30-11-78,"5'11""",Matt Gregg,,16.0,G,Bray W,16,12 00,2005
14,Dublin,Irish,Bohemians,26-03-73,"6'02""",James Keddy,,17.0,M,Shamrock R,17,12 10,2005
15,Dublin,Irish,Bohemians,13-05-84,"5'09""",Mark O'Brien,,18.0,M,Shamrock R,18,11 11,2005
16,Dublin,Irish,Bohemians,22-03-82,"5'10""",Aidan O'Keeffe,,19.0,F,St Patrick's Ath,19,11 02,2005
17,Dublin,Irish,Bohemians,15-03-85,"6'00""",James Hussey,,20.0,G,Home Farm,20,11 03,2005
18,Dublin,Irish,Bohemians,26-11-72,,Terry Palmer,,21.0,D,Shamrock R,21,,2005
19,Dublin,Irish,Bohemians,22-03-84,"6'02""",Aidan Collins,,22.0,D,None,22,11 09,2005
20,,Irish,Bohemians,,,Stuart Hyland,,24.0,D,,24,,2005
21,Dublin,Irish,Bohemians,22-09-86,"5'08""",Mark Duggan,,25.0,M,None,25,11 02,2005
22,,Irish,Bohemians,,,James Lee,,26.0,D,Belvedere,26,,2005
23,Dublin,Irish,Bohemians,26-08-87,"5'10""",Conor Powell,,27.0,D,Belvedere,27,,2005
24,Perth,Irish,Bohemians,31-10-83,"6'01""",Seán Cooney,,,D,Coventry C,41,13 03,2005
25,Philadelphia,Irish,Bray Wanderers,23-10-82,"6'03""",Patrick Hannigan,,,G,MetroStars,1,14 02,2005
26,Cork,Irish,Bray Wanderers,04-09-79,,Niall Hobbart,,,G,Kildare Co,2,,2005
27,Brisbane [AUS],Irish,Bray Wanderers,07-05-85,"6'00""",Chris O'Connor,,,G,Rochedale R,3,11 02,2005
28,Newry,Irish,Bray Wanderers,,,Hugh Davey,,,D,,4,,2005
29,,Irish,Bray Wanderers,23-11-83,,Niall Donnelly,,,D,Drogheda U,5,,2005
30,Dublin,Irish,Bray Wanderers,05-10-79,"5'11""",Robert Dunne,,,D,Dundalk,6,11 02,2005
31,Dublin,Irish,Bray Wanderers,24-03-77,"5'11""",Stephen Gifford,,,D,Dublin C,7,,2005
32,Dublin,Irish,Bray Wanderers,18-12-75,"6'01""",Jody Lynch,,,D,UCD,8,,2005
33,Arklow,Irish,Bray Wanderers,02-01-84,"6'01""",William Manley,,,D,None,9,,2005
34,Dublin,Irish,Bray Wanderers,28-04-80,"6'03""",Brian McGovern,,,D,Longford T,10,12 07,2005
35,Dublin,Irish,Bray Wanderers,19-05-78,"5'11""",Graham O'Hanlon,,,D,Kilkenny C,11,,2005
36,Dublin,Irish,Bray Wanderers,17-01-83,"5'11""",Paul O'Reilly,,,D,St Josephs,12,,2005
37,Dublin,Irish,Bray Wanderers,01-01-84,"6'00""",Michael Roche,,,D,None,13,13 05,2005
38,Dublin,Irish,Bray Wanderers,29-06-71,"6'01""",Colm Tresson,,,D,Portadown,14,,2005
39,Dublin,Irish,Bray Wanderers,19-08-84,"5'10""",Willie Tyrell,,,D,None,15,11 11,2005
40,Tallaght,Irish,Bray Wanderers,08-01-84,"5'11""",Paul Caffrey,,,M,Shamrock R,16,11 02,2005
41,Wicklow,Irish,Bray Wanderers,12-02-85,"5'11""",Maurice Dunne,,,M,None,17,11 06,2005
42,Dublin,Irish,Bray Wanderers,09-07-75,"5'09""",Stephen Fox,,,M,Fairleigh Dickinson Univ,18,12 01,2005
43,,Irish,Bray Wanderers,13-05-80,"5'06""",Stuart Holt,,,M,St Patrick's Ath,19,11 00,2005
44,Dublin,Irish,Bray Wanderers,16-06-83,"5'08""",Colm James,,,M,None,20,12 07,2005
45,Dublin,Irish,Bray Wanderers,25-10-86,"5'09""",Keith Kelch,,,M,Millwall,21,,2005
46,Dublin,Irish,Bray Wanderers,16-09-78,"5'10""",Philip Keogh,,,M,Longford T,22,,2005
47,Dublin,Irish,Bray Wanderers,14-11-73,"5'10""",Keith Long,,,M,St Patricks Ath,23,,2005
48,Dublin,Irish,Bray Wanderers,12-06-81,,Robbie McGuinness,,,M,St Patricks Ath,24,,2005
49,Waterford,Irish,Bray Wanderers,14-08-80,"5'11""",Kevin O'Brien,,,M,Waterford U,25,11 08,2005
50,Bray,Irish,Bray Wanderers,03-09-79,"5'09""",Ciarán Ryan,,,M,Blackburn R,26,,2005
51,Dublin,Irish,Bray Wanderers,16-01-84,"5'10""",John Flood,,,F,St Josephs,27,11 03,2005
52,Dublin,Irish,Bray Wanderers,15-11-81,"5'10""",Kevin Grogan,,,F,Millwall,28,12 06,2005
53,,Irish,Bray Wanderers,17-09-84,,Barry McGrory,,,F,None,29,,2005
54,Dublin,Irish,Bray Wanderers,02-10-72,"6'00""",Kieran O'Brien,,,F,None,30,12 01,2005
55,Cóbh,Irish,Cork City,19-03-73,"6'00""",Michael Devine,,1.0,G,Waterford U,1,13 08,2005
56,London,Irish,Cork City,04-12-82,"5'06""",Danny Murphy,,2.0,D,Margate,2,10 04,2005
57,Cork,Irish,Cork City,04-10-81,"6'02""",Alan Bennett,,3.0,M,Richmond,3,12 08,2005
58,Cork,Irish,Cork City,06-09-80,"6'06""",Greg O'Halloran,,4.0,D,Hull C,4,12 11,2005
59,Cork,Irish,Cork City,02-01-77,"6'04""",Derek Coughlan,,5.0,D,Bohemians,5,12 00,2005
