,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
0,1,Guillermo  Ochoa,G,"5'10""",10 06,13-07-85,Guadalajara,None,América,2005,Mexican
1,2,Ismael  Rodríguez,D,"5'09""",10 10,10-01-81,Ciudad Madero,Monterrey,América,2005,Mexican
2,3,José Antonio Castro,D,"5'08""",08 09,11-08-80,Mexico City,None,América,2005,Mexican
3,4,Oscar Rojas,D,"5'08""",11 00,02-08-81,Mexico City,San Luis,América,2005,Mexican
4,5,Duilio Davino,D,"5'11""",11 11,21-03-76,León,UAG  Tecos,América,2005,Mexican
5,6,Diego  Cervantes,D,"5'08""",11  03,30-08-84,Mexico  City,San  Luis,América,2005,Mexican
6,7,Claudio  López,F,"5'10""",11 11,17-07-74,Córdoba,Lazio,América,2005,Mexican
7,8,Marco  Antonio Gómez,F,"5'07""",10  03,27-04-84,Mexico  City,None,América,2005,Mexican
8,9,Reinaldo Navia,F,"5'08""",11 00,10-05-78,Quilpue,Morelia,América,2005,Mexican
9,10,Cuauhtémoc Blanco,F,"5'10""",11 07,17-01-73,Mexico City,Veracruz,América,2005,Mexican
10,11,Irenio Soares,M,"5'07""",10 01,22-04-78,Carangola,UANL  Tigres,América,2005,Mexican
11,12,Alberto Becerra,G,"5'11""",11 07,31-01-79,Mexico City,Puebla,América,2005,Mexican
12,13,Pável Pardo,M,"5'09""",10 08,26-07-76,Guadalajara,UAG Tecos,América,2005,Mexican
13,14,Carlos Infante,D,"5'05""",08 00,14-02-82,Neza,Veracruz,América,2005,Mexican
14,15,Alfredo  Omar Tena,M,"5'07""",10  03,28-04-85,Mexico  City,None,América,2005,Mexican
15,16,Ricardo Rojas,D,"5'10""",11 00,07-05-74,Vallenar,Universidad de Chile,América,2005,Mexican
16,17,Aarón Padilla,F,"5'07""",09 06,13-08-77,Mexico City,Atlante,América,2005,Mexican
17,18,Germán Villa,M,"5'07""",11 05,02-04-73,Mexico City,Necaxa,América,2005,Mexican
18,20,Alejandro  Argüello,M,"5'08""",11 00,25-01-82,Hidalgo,None,América,2005,Mexican
19,21,Christian  Giménez,M,"5'06""",10 10,01-02-81,Resistencia,Veracruz,América,2005,Mexican
20,22,Alvin  Mendoza,M,"5'07""",10  06,27-07-84,Mexico City,None,América,2005,Mexican
21,23,Kléber Pereira,F,"5'11""",11 09,13-08-75,Peri-Mirim,Veracruz,América,2005,Mexican
22,25,Juan de Dios Ibarra,G,"6'00""",12 01,17-02-79,Culiacán,Monterrey,América,2005,Mexican
23,26,Francisco  Torres,M,"5'07""",09 06,25-09-83,León,None,América,2005,Mexican
24,28,Raúl  Alberto Salinas,D,"5'09""",10 01,16-10-78,Mexico City,Irapuato,América,2005,Mexican
25,2,Jadson  Viera,D,"6'04""",12  08,04-08-81,Santana  do Libramento,,Atlante,2005,Mexican
26,3,Federico Vilar,G,"5'11""",11 00,30-05-77,Junin,Acapulco,Atlante,2005,Mexican
27,4,Diego  Ramírez,D,"5'05""",10 03,04-10-81,Mexico City,Acapulco,Atlante,2005,Mexican
28,5,Horacio Cervantes,D,"6'03""",12 04,17-10-81,Mexico City,UNAM,Atlante,2005,Mexican
29,6,Francisco Cati,D,"5'10""",12  13,18-12-81,Mexico  City,Dorados  de Sinaloa,Atlante,2005,Mexican
30,7,Daniel  Alcántar,D,"5'07""",09  06,02-05-76,León,Irapuato,Atlante,2005,Mexican
31,8,Víctor Pacheco,M,"5'05""",10 08,24-09-74,Barranquilla,Independiente,Atlante,2005,Mexican
32,9,Sebastián  González,F,"5'08""",10 08,14-12-78,Vina del Mar,Colo Colo,Atlante,2005,Mexican
33,10,Patricio Galaz,F,"5'07""",10 06,31-12-76,Santiago,Cobreloa,Atlante,2005,Mexican
34,11,Juan  Falcón,M,"5'07""",10  06,19-11-79,General  Villegas,Racing  Club,Atlante,2005,Mexican
35,13,Carlos Zaragoza,D,"5'08""",10 10,13-01-84,Irapuato,None,Atlante,2005,Mexican
36,14,Gerardo Espinoza,M,"5'07""",09 06,19-03-78,Mexico City,Potros Zitacuaro,Atlante,2005,Mexican
37,16,Omar  Cervantes,M,"5'10""",11  05,27-09-85,Ecatepec,None,Atlante,2005,Mexican
38,18,Ángel  Servando García,D,"5'08""",10  03,31-08-81,Zapopan,Irapuato,Atlante,2005,Mexican
39,19,Jorge  Alberto Gallegos,F,"5'10""",11  03,04-08-80,Mexico  City,,Atlante,2005,Mexican
40,20,Osvaldo Lucas,D,"5'10""",11 09,28-05-77,Tampico,Irapuato,Atlante,2005,Mexican
41,21,Julio  Mercado,D,"5'10""",11  03,04-09-83,Mexico  City,,Atlante,2005,Mexican
42,22,Rafael Cuevas,G,"5'09""",10 10,16-06-80,Cuernavaca,Acapulco,Atlante,2005,Mexican
43,24,Emiliano  Rodríguez,D,"5'07""",10  01,04-02-86,Mexico  City,None,Atlante,2005,Mexican
44,25,Noé  Gil,M,"5'07""",12  01,19-11-81,Mexico  City,,Atlante,2005,Mexican
45,27,Claudio  Vázquez,M,"5'07""",10 10,06-04-82,Mexico City,,Atlante,2005,Mexican
46,29,Andrés Ugalde,M,"5'09""",11 07,29-11-80,Mexico City,,Atlante,2005,Mexican
47,30,Mario  Hernández,D,"6'00""",11 05,24-01-79,Monterrey,Zacatecas,Atlante,2005,Mexican
48,32,Isaac  Fierros,F,"5'10""",11  05,03-11-82,Villahermosa,,Atlante,2005,Mexican
