,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
0,1.0,Dorus de Vries,G,"6'01""",12 08,29-12-80,Beverwijk,Stormvogels Telstar,ADO Den Haag,2005,Dutch
1,2.0,Angelo Martha,D,"6'01""",12 13,29-04-82,Amsterdam,MVV,ADO Den Haag,2005,Dutch
2,3.0,Cory Gibbs,D,"6'01""",12 12,14-01-80,Plantation,Feyenoord,ADO Den Haag,2005,Dutch
3,4.0,Alberto Saavedra,D,"6'03""",12 11,29-10-81,Oviedo,Numancia,ADO Den Haag,2005,Dutch
4,5.0,Youssef El Akchaoui,D,"5'08""",10 12,18-02-81,Dordrecht,Union Berlin,ADO Den Haag,2005,Dutch
5,7.0,Geert den Ouden,F,"6'04""",13 12,24-07-76,Delft,Djurgårdens IF,ADO Den Haag,2005,Dutch
6,8.0,Aleksandar Ranković,D,"5'08""",11 05,31-08-78,Belgrade,Vitesse,ADO Den Haag,2005,Dutch
7,9.0,Michael Mols,F,"5'10""",12 02,17-12-70,Amsterdam,FC Utrecht,ADO Den Haag,2005,Dutch
8,10.0,Roy Stroeve,M,"5'10""",10 08,15-05-77,Emmen,Heracles Almelo,ADO Den Haag,2005,Dutch
9,11.0,Paulus Henrik Roiha,F,"6'00""",11 00,03-08-80,Espoo,Cercle Brugge,ADO Den Haag,2005,Dutch
10,12.0,Ferrie Bodde,M,"5'10""",12 06,05-05-82,Delft,Vitesse Delft,ADO Den Haag,2005,Dutch
11,14.0,Joonas Kolkka,F,5'09'',11 03,28-09-74,Lahti,Crystal Palace,ADO Den Haag,2005,Dutch
12,15.0,Spira Grujic,D,"6'02""",12 13,07-12-71,Pristina,FC Twente,ADO Den Haag,2005,Dutch
13,16.0,Wesley Verhoek,F,"6'02""",12 08,25-09-86,Leidschendam,VUC,ADO Den Haag,2005,Dutch
14,18.0,Cees Paauwe,G,"6'06""",14 05,03-11-77,Dronten,FC Twente,ADO Den Haag,2005,Dutch
15,19.0,Eljero Elia,F,"5'09""",11 00,13-02-87,Voorburg,Ajax,ADO Den Haag,2005,Dutch
16,20.0,Tomasz Rzasa,D,"5'11""",12 00,11-03-73,Kraków,SC Heerenveen,ADO Den Haag,2005,Dutch
17,21.0,Edwin de Graaf,M,"6'01""",11 11,30-04-80,Den Haag,Feyenoord,ADO Den Haag,2005,Dutch
18,22.0,Peter Jungschläger,M,"6'00""",12 11,22-05-84,Voorburg,DEVJO,ADO Den Haag,2005,Dutch
19,23.0,Said Bakkati,D,"5'08""",11 09,23-02-82,Groningen,SC Heerenveen,ADO Den Haag,2005,Dutch
20,24.0,Arjan van der Kaay,G,,,09-01-83,De Lier,SVVSMC,ADO Den Haag,2005,Dutch
21,26.0,Raymond Riedewald,D,,,,,None,ADO Den Haag,2005,Dutch
22,29.0,Jaroslav Drobný,G,"6'04""",13 12,09-10-79,Pocatky,Fulham,ADO Den Haag,2005,Dutch
23,30.0,Robert Zwinkels,G,"6'01""",12 08,04-05-83,,Ajax,ADO Den Haag,2005,Dutch
24,31.0,Christiaan Kum,D,"6'00""",11 00,13-09-85,Frankfurt am Main,None,ADO Den Haag,2005,Dutch
25,1.0,Maarten Stekelenburg,G,"6'04""",13 03,22-09-82,Haarlem,Schoten,Ajax,2005,Dutch
26,2.0,Hatem Trabelsi,D,"5'10""",12 11,25-01-77,Ariana,Club Sportif Sfax,Ajax,2005,Dutch
27,3.0,Zdenek Grygera,D,"6'00""",12 06,14-05-80,Prílepy u Holesova,Sparta Prague,Ajax,2005,Dutch
28,4.0,John Heitinga,D,"5'11""",11 05,15-11-83,Alphen aan den Rijn,ARC,Ajax,2005,Dutch
29,6.0,Tomás Galásek,M,"5'11""",12 01,15-01-73,Frydek-Místek,Willem II,Ajax,2005,Dutch
30,7.0,Mauro Damián Rosales,F,"5'08""",11 00,24-02-81,Villa María,Newell's Old Boys,Ajax,2005,Dutch
31,8.0,Hedwiges Maduro,M,"6'01""",12 04,13-02-85,Almere,FC Omniworld,Ajax,2005,Dutch
32,9.0,Aggelos Charisteas,F,6'03'',12 13,09-02-80,Serres,Werder Bremen,Ajax,2005,Dutch
33,10.0,Steven Pienaar,M,"5'09""",10 06,17-03-82,Johannesburg,Ajax Cape Town,Ajax,2005,Dutch
34,11.0,Ryan Babel,F,"6'01""",12 04,19-12-86,Amsterdam,Fortius,Ajax,2005,Dutch
35,12.0,Hans Vonk,G,"6'05""",12 13,30-01-70,Alberton,SC Heerenveen,Ajax,2005,Dutch
36,15.0,Thomas Vermaelen,D,"5'11""",11 07,14-11-85,Kapellen,Germinal Beerschot,Ajax,2005,Dutch
37,17.0,Ioannis Anastasiou,F,"6'00""",13 08,05-03-73,Arta,Roda JC,Ajax,2005,Dutch
38,18.0,Wesley Sneijder,M,"5'07""",10 08,09-06-84,Utrecht,DOS,Ajax,2005,Dutch
39,19.0,Urby Emanuelson,M,"5'09""",10 06,16-06-86,Amsterdam,Voorland,Ajax,2005,Dutch
40,21.0,Olaf Lindenbergh,D,"5'10""",10 08,06-02-74,Purmerend,AZ,Ajax,2005,Dutch
41,22.0,Juanfran,D,"6'00""",12 04,15-07-76,Valencia,Beşiktaş,Ajax,2005,Dutch
42,24.0,Markus Rosenberg,F,"6'00""",12 00,27-09-82,Malmö,Malmö FF,Ajax,2005,Dutch
43,25.0,Klaas Jan Huntelaar,F,"6'00""",12 04,12-08-83,Drempt,SC Heerenveen,Ajax,2005,Dutch
44,27.0,Edgar Manucharyan,F,"5'09""",10 08,19-01-87,Erevan,Pyunik Erevan,Ajax,2005,Dutch
45,28.0,Nourdin Boukhari,M,"6'00""",12 04,30-06-80,Rotterdam,Sparta Rotterdam,Ajax,2005,Dutch
46,29.0,Nicolae Mitea,F,"5'06""",09 08,24-03-85,Bucharest,Dinamo Bucureşti,Ajax,2005,Dutch
47,30.0,Kenneth Vermeer,G,"5'11""",12 04,10-01-86,Amsterdam,None,Ajax,2005,Dutch
48,31.0,Emmanuel Boakye,D,"5'09""",11 00,25-03-85,Ejura,FC Utrecht,Ajax,2005,Dutch
49,32.0,Vurnon Anita,M,,,04-04-89,,None,Ajax,2005,Dutch
50,33.0,Robbert Schilder,D,"5'10""",12 04,18-04-86,Amstelveen,None,Ajax,2005,Dutch
51,38.0,Jeffrey Sarpong,M,"5'09""",10 03,03-08-88,Amsterdam,None,Ajax,2005,Dutch
52,45.0,Michael Timisela,D,"5'09""",10 08,05-05-86,Amsterdam,None,Ajax,2005,Dutch
