,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
0,Oslo,Norwegian,Aalesund,02-12-76,"6'01""",Kim Deinoff,,1,G,Raufoss,1,12 08,2005.0
1,Oslo,Norwegian,Aalesund,14-11-80,"5'11""",Marius Aam,,2,D,Nest Sotra,2,11 09,2005.0
2,Keflavik,Norwegian,Aalesund,14-12-81,"6'02""",Haraldur Gudmundsson,,3,D,Keflavik,3,12 08,2005.0
3,Hønefoss,Norwegian,Aalesund,14-03-72,"6'00""",Herman Ekeberg,,4,D,Mjøndalen,4,11 11,2005.0
4,Ålesund,Norwegian,Aalesund,17-05-83,"5'10""",Erlend Holm,,5,M,Vigra,5,11 11,2005.0
5,Oslo,Norwegian,Aalesund,03-06-74,"5'11""",Peter Werni,,6,D,Lillestrøm,6,12 11,2005.0
6,Ålesund,Norwegian,Aalesund,21-05-77,"6'00""",Trond Fredriksen,,7,M,Guard,7,12 08,2005.0
7,Mo i Rana,Norwegian,Aalesund,08-05-73,"6'01""",Frode Fagermo,,8,M,Stålkameratene,8,12 13,2005.0
8,Ålesund,Norwegian,Aalesund,20-03-77,"6'08""",Tor Hogne Aarøy,,9,F,Rosenborg,9,14 13,2005.0
9,Ålesund,Norwegian,Aalesund,20-02-83,,Joakim Austnes,,10,M,Haramsøy/Nordøy,10,,2005.0
10,Ålesund,Norwegian,Aalesund,13-06-80,"5'09""",Morten Moldskred,,11,M,Moss,11,11 00,2005.0
11,Ålesund,Norwegian,Aalesund,31-08-87,"6'01""",Andreas Lie,,12,G,Herd,12,12 13,2005.0
12,,Norwegian,Aalesund,25-02-76,,Bechara Oliveira,,13,M,Al Ahli,13,,2005.0
13,St Vicente,Norwegian,Aalesund,13-11-73,"5'09""",Paulo dos Santos,,14,M,Connecticut Wolves,14,11 11,2005.0
14,Douala,Norwegian,Aalesund,13-06-79,"5'10""",Gustave Bahoken,,15,D,Livingston,15,12 03,2005.0
15,Sprova,Norwegian,Aalesund,29-09-74,"5'11""",Bjørn Erik Melland,,16,D,Byåsen,16,12 04,2005.0
16,Oslo,Norwegian,Aalesund,18-11-73,"6'00""",Lasse Olsen,,17,F,Strømsgodset,17,13 01,2005.0
17,Ålesund,Norwegian,Aalesund,26-07-75,"5'08""",Karl Oskar Fjørtoft,,18,M,Hammarby IF,18,09 06,2005.0
18,Ålesund,Norwegian,Aalesund,31-08-87,"6'01""",Oddbjørn Lie,,19,M,Herd,19,,2005.0
19,Trondheim,Norwegian,Aalesund,02-07-77,"6'03""",Christian Steen,,20,D,Bodø/Glimt,20,14 02,2005.0
20,Ålesund,Norwegian,Aalesund,11-04-86,"5'10""",Thomas Pedersen,,21,M,Herd,21,10 10,2005.0
21,Kristiansund,Norwegian,Aalesund,26-05-77,,Erik Hoseth,,22,F,Clausenengen,22,,2005.0
22,Kristiansund,Norwegian,Aalesund,18-04-86,,Job Braaten,,23,D,None,23,,2005.0
23,Pleasant Hills,Norwegian,Aalesund,27-05-78,6'05'',Adin Brown,,24,G,New England Revolution,24,14 04,2005.0
24,Narvik,Norwegian,Aalesund,21-11-81,"6'00""",Stian Dagfinn Johnsen,,25,M,Fredrikstad,25,11 09,2005.0
25,,Norwegian,Aalesund,13-11-73,,Abdoulaye M'Baye,,26,F,,26,,2005.0
26,Dublin,Norwegian,Aalesund,04-10-83,"6'02""",Eamon Zayed,,29,F,Bray W,29,12 13,2005.0
27,Trondheim,Norwegian,Bodø/Glimt,04-01-76,"6'02""",Tor-Egil Horn,,1,G,Brønnøysund,1,13 05,2005.0
