,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
0,Lousa,Portuguese,Académica,10-12-78,5'10'',Eduardo,,1.0,G,Sporting Pombal,1,11 03,2005
1,Fortaleza,Portuguese,Académica,12-08-79,"5'09""",Joeano,,2.0,F,Salamanca,2,11 05,2005
2,Mirassol,Portuguese,Académica,19-08-80,"6'00""",Danilo,,3.0,D,Coritiba,3,11 11,2005
3,Junidia,Portuguese,Académica,28-01-81,5'11'',Ezequias,,4.0,D,Marítimo,4,10 12,2005
4,Mato Grosso,Portuguese,Académica,28-07-79,"6'03""",Hugo Alcântara,,5.0,D,Vitória Setúbal,5,13 05,2005
5,Caxias do Sul,Portuguese,Académica,11-05-79,"5'07""",Luciano Fonseca,,7.0,M,São Gabriel,7,10 06,2005
6,Curitiba,Portuguese,Académica,10-01-79,5'11'',Gélson Geraldo,,9.0,F,Malmö FF,9,12 00,2005
7,São Miguel do Iguaçu,Portuguese,Académica,28-05-82,5'11'',Dionattan,,11.0,M,Juventude,11,11 03,2005
8,Málaga,Portuguese,Académica,24-09-73,"6'01""",Dani,,12.0,G,Naval,12,12 01,2005
9,Coimbra,Portuguese,Académica,13-01-83,6'00'',Zé Castro,,13.0,M,None,13,12 00,2005
10,Paris,Portuguese,Académica,02-10-80,5'09'',Felipe Teixeira,,14.0,F,Paris St-Germain,14,10 10,2005
11,Brasília,Portuguese,Académica,25-04-81,"5'10""",Pedro Alves da Silva,,16.0,D,Internacional,16,12 01,2005
12,Viseu,Portuguese,Académica,11-11-85,5'11'',Vítor Vinha,,18.0,M,None,18,11 03,2005
13,Coimbra,Portuguese,Académica,03-03-77,6'00'',Paulo Adriano,,19.0,M,Anadia,19,12 01,2005
14,Guarajá,Portuguese,Académica,16-04-81,"5'10""",Fernando,,20.0,M,Moreirense,20,11 05,2005
15,Mortágua,Portuguese,Académica,16-03-85,"5'11""",Sarmento,,22.0,F,None,22,10 12,2005
16,,Portuguese,Académica,24-05-87,"5'10""",Ito,,23.0,F,None,23,11 00,2005
17,Pombal,Portuguese,Académica,13-08-70,6'01'',Pedro Roma,,24.0,G,Gil Vicente,24,13 01,2005
18,Vila Franca de Xira,Portuguese,Académica,15-01-75,5'09'',Nuno Luís,,27.0,D,Nacional,27,11 09,2005
