,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
0,Aberdeen,Scottish,Aberdeen,19-03-80,"6'01""",Ryan Esson,,1.0,G,Parkvale,1,12 07,2005
1,Bellshill,Scottish,Aberdeen,10-02-80,"5'10""",Michael Hart,,2.0,D,Livingston,2,11 06,2005
2,Dundee,Scottish,Aberdeen,28-08-82,"5'10""",Kevin McNaughton,,3.0,D,'S' Form,3,10 06,2005
3,Aberdeen,Scottish,Aberdeen,25-10-78,"5'11""",Russell Anderson,,4.0,D,Dyce Juniors,4,10 09,2005
4,Alexandria,Scottish,Aberdeen,03-12-85,6'01'',Zander Diamond,,5.0,D,'S' Form,5,11  00,2005
5,Stirling,Scottish,Aberdeen,15-02-79,"5'11""",Scott Severin,,6.0,M,Hearts,6,12 07,2005
6,Alexandria,Scottish,Aberdeen,20-11-80,"5'06""",Jamie Smith,,7.0,F,ADO Den Haag,7,10  12,2005
7,Dumfries,Scottish,Aberdeen,24-08-78,"5'08""",Barry Nicholson,,8.0,M,Dunfermline  Ath,8,11 03,2005
8,Amersham,Scottish,Aberdeen,06-12-80,"5'11""",Steve Lovell,,9.0,F,Dundee,9,11 08,2005
9,Inverurie,Scottish,Aberdeen,05-01-82,"5'09""",Darren Mackie,,10.0,F,Colony Boys Club,10,10 00,2005
10,Aberdeen,Scottish,Aberdeen,15-09-80,"5'07""",Chris Clark,,11.0,F,Hermes,11,10 05,2005
11,Wexford,Scottish,Aberdeen,15-01-81,5'09'',Gary Dempsey,,14.0,M,Dunfermline  Ath,14,10 00,2005
12,Leidschendam,Scottish,Aberdeen,08-03-85,"5'08""",Ferne Snoyl,,15.0,D,Feyenoord,15,11 05,2005
13,Bellshill,Scottish,Aberdeen,03-08-85,"6'02""",John Stewart,,16.0,F,Airdrie U,16,09  13,2005
14,Dublin,Scottish,Aberdeen,24-09-81,"6'01""",Richie Byrne,,17.0,D,Dunfermline Ath,17,12  05,2005
15,Aberdeen,Scottish,Aberdeen,31-07-85,"5'09""",Richard  Foster,,19.0,M,Elgin BC,19,10  08,2005
16,Paisley,Scottish,Aberdeen,22-12-79,"6'04""",James Langfield,,20.0,G,Dunfermline Ath,20,13 00,2005
17,Aberdeen,Scottish,Aberdeen,01-04-87,"6'05""",Andrew Considine,,21.0,D,Aberdeen Youths,21,11  02,2005
18,Elgin,Scottish,Aberdeen,13-05-86,"5'10""",Kyle  Macauley,,22.0,M,Aberdeen  BC,22,11  12,2005
19,Dunfermline,Scottish,Aberdeen,09-01-74,"5'10""",Stevie Crawford,,23.0,F,Dundee U,23,12 00,2005
20,Bellshill,Scottish,Aberdeen,16-01-89,,Chris Maguire,,26.0,F,,26,,2005
21,Aberdeen,Scottish,Aberdeen,11-09-87,"5'07""",David Donald,,27.0,D,Glendale,27,10  13,2005
22,Waterford,Scottish,Aberdeen,25-06-88,"5'07""",Willie John Kiely,,28.0,F,Cherry Orchard,28,11  08,2005
23,Dunoon,Scottish,Aberdeen,10-10-77,6'01'',Neil MacFarlane,,29.0,M,Hearts,29,13  01,2005
