,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
0,1,Franco  Costanzo,G,"6'02""",13 01,05-09-80,Río Cuarto,River  Plate,Alavés,2005,Spanish
1,2,David  Coromina,D,6'00'',12  00,09-09-74,Santa  Pau,Racing  Santander,Alavés,2005,Spanish
2,3,Mauricio Pellegrino,D,6'04'',13  03,05-10-71,Leones,Liverpool,Alavés,2005,Spanish
3,4,Juanito,M,6'00'',12  13,17-02-80,Málaga,Málaga,Alavés,2005,Spanish
4,5,Josu Sarriegi,D,6'01'',12  08,10-01-79,Lazcano,Eibar,Alavés,2005,Spanish
5,6,Ibón Begoña,D,"6'00""",11  07,17-11-73,Bilbao,Nàstic,Alavés,2005,Spanish
6,7,Blagoy  Georgiev,M,"6'01""",12  08,21-12-81,Sofia,Slavia  Sofia,Alavés,2005,Spanish
7,8,Antonio Pacheco,F,5'08'',11  03,11-04-76,Montevideo,Albacete,Alavés,2005,Spanish
8,9,Rubén Navarro,F,5'11'',12  08,06-06-78,Sallent,Numancia,Alavés,2005,Spanish
9,10,Enrique De Lucas,M,"5'10""",10  10,17-08-78,Hospitalet  de Llobregat,Chelsea,Alavés,2005,Spanish
10,11,Pape Thiaw,F,"6'00""",12 01,05-02-81,Khombolé,Metz,Alavés,2005,Spanish
11,12,Gaspar,D,6'00'',11  09,07-07-79,Córdoba,Albacete,Alavés,2005,Spanish
12,13,Nicolas Ardouin,G,6'01'',11 11,07-02-78,La Rochelle,Valence,Alavés,2005,Spanish
13,14,Élton,M,"5'11""",11 07,03-09-83,Porto Alegre,Santos,Alavés,2005,Spanish
14,15,Santiago Carpintero,M,6'00'',12  01,28-09-76,León,Levante,Alavés,2005,Spanish
15,16,Poli,D,6'00'',11  11,20-03-77,Seville,Mallorca,Alavés,2005,Spanish
16,17,Edu Alonso,D,5'10'',11  05,30-05-74,Bilbao,Las Palmas,Alavés,2005,Spanish
17,18,Martin Astudillo,F,6'02'',12  06,10-07-77,Mendoza,Gimnasia y Esgrima (Jujuy),Alavés,2005,Spanish
18,19,Rodolfo Bodipo,F,5'11'',12  00,25-10-77,Seville,Racing  Santander,Alavés,2005,Spanish
19,20,José  María Mena,F,5'10'',11  07,28-09-78,Talavera de la  Reina,Xerez,Alavés,2005,Spanish
20,21,Jandro,M,5'10'',11  05,27-02-79,Mieres,Celta Vigo,Alavés,2005,Spanish
21,22,John Aloisi,F,6'00'',12  08,05-02-76,Adelaide,Osasuna,Alavés,2005,Spanish
22,23,Nené,M,5'11'',11  00,19-07-81,São Paulo,Santos,Alavés,2005,Spanish
23,24,Arthuro  Bernhardt,F,"6'03""",12  13,27-08-82,Florianapolis,Racing  Santander B,Alavés,2005,Spanish
24,25,Roberto Bonano,G,6'01'',12  13,24-01-70,Rosario,Real  Murcia,Alavés,2005,Spanish
25,26,Medhí  Lacen,D,"5'09""",11  03,15-03-84,Versailles,Valence,Alavés,2005,Spanish
26,27,Claude  Gnakpa,D,"6'00""",12  04,09-06-83,Marseille,Racing  Santander B,Alavés,2005,Spanish
27,1,Iñaki Lafuente,G,6'01'',12  06,24-01-76,Barakaldo,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
28,2,Unai  Expósito,D,5'09'',11  00,23-01-80,Barakaldo,Osasuna,Athletic Bilbao,2005,Spanish
29,3,Javier Casas,D,"5'11""",13  05,09-05-82,Bilbao,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
30,5,Felipe Gurendez,M,5'08'',11  03,18-11-75,Vitoria,Osasuna,Athletic Bilbao,2005,Spanish
31,6,Endika  Bordas,M,"5'10""",10  08,08-03-82,Bermeo,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
32,7,Tiko,M,5'10'',11  09,15-09-76,Pamplona,Osasuna,Athletic Bilbao,2005,Spanish
33,8,Julen Guerrero,F,5'10'',11  03,07-01-74,Portugalete,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
34,9,Fernando  Llorente Torres,F,"6'04""",13  12,26-02-85,Iruñea,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
35,10,Francisco Yeste,M,6'00'',11  00,06-12-79,Bilbao,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
36,12,José María  Lacruz,D,5'09'',11  00,25-04-78,Pamplona,Osasuna,Athletic Bilbao,2005,Spanish
37,13,Daniel  Aranzubia,G,6'00'',12  08,18-09-79,Logroño,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
38,14,Luis Prieto,D,5'11'',12  00,19-02-79,Bilbao,Eibar,Athletic Bilbao,2005,Spanish
39,15,Andoni  Iraola,M,"5'11""",11  03,22-06-82,Usúrbil,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
40,16,Pablo Orbaiz,M,5'10'',12  00,06-02-79,Iruñea,Osasuna,Athletic Bilbao,2005,Spanish
41,17,Joseba  Etxeberría,F,5'10'',11  05,05-09-77,Elgoibar,Real Sociedad,Athletic Bilbao,2005,Spanish
42,18,Carlos  Gurpegi,M,5'11'',11  11,19-08-80,Pamplona,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
43,19,Ander Murillo,D,6'00'',12  00,22-07-83,San Sebastián,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
44,20,Ismael  Urzáiz,F,6'02'',13  03,07-10-71,Tudela,Espanyol,Athletic Bilbao,2005,Spanish
45,23,Aritz Aduriz,F,"5'10""",11  11,11-02-81,San  Sebastián,Valladolid,Athletic Bilbao,2005,Spanish
46,25,Miguel Escalona,G,6'02'',12  08,02-11-83,Logroño,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
47,27,Igor  Etxebarrieta,G,"6'00""",11  03,03-04-84,Getxo,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
48,29,Ustaritz,D,"6'00""",10  12,16-02-83,Abadiño,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
49,30,Fernando  Amorebieta,D,"6'03""",12  01,21-03-85,Iurreta,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
50,38,Mikel  Dañobeitia,F,"5'10""",11  09,05-03-86,Barakaldo,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
51,40,Mikel  Martins,M,"5'10""",11  07,28-05-83,San Sebastián,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
52,48,Urko Arroyo,F,"5'07""",09  13,14-05-87,Bilbao,Athletic  Bilbao B,Athletic Bilbao,2005,Spanish
53,1,Iván  Cuéllar,G,"6'03""",12  00,25-05-84,Mérida,Atlético  Madrid B,Atlético Madrid,2005,Spanish
54,2,Juan Velasco,D,5'10'',11  05,17-05-77,Seville,Celta Vigo,Atlético Madrid,2005,Spanish
55,3,Antonio López,D,5'09'',11 00,13-09-81,Benidorm,Osasuna,Atlético Madrid,2005,Spanish
56,4,Gonzalo Colsa,M,6'01'',13  01,02-04-79,Santander,Racing  Santander,Atlético Madrid,2005,Spanish
57,5,José Antonio Garcia Calvo,D,6'01'',12  04,01-04-75,Madrid,Valladolid,Atlético Madrid,2005,Spanish
58,6,José  Ignacio Zahínos,M,"6'01""",13  01,01-12-77,Madrid,Atlético  Madrid B,Atlético Madrid,2005,Spanish
59,7,Luciano Galletti,M,5'09'',11  11,09-04-80,Mar del Plata,Zaragoza,Atlético Madrid,2005,Spanish
60,8,Ariel Ibagaza,M,5'05'',10  03,27-10-76,Buenos  Aires,Mallorca,Atlético Madrid,2005,Spanish
61,9,Fernando Torres,F,6'01'',11  05,20-03-84,Madrid,Atlético  Madrid B,Atlético Madrid,2005,Spanish
62,10,Mateja  Kezman,F,"6'01""",10 12,12-04-79,Zemun,Chelsea,Atlético Madrid,2005,Spanish
63,11,Maxi  Rodríguez,M,5'09'',11  11,02-01-81,Rosario,Espanyol,Atlético Madrid,2005,Spanish
64,15,Francisco  Molinero,D,"5'09""",11  05,26-07-85,Toledo,Atlético  Madrid B,Atlético Madrid,2005,Spanish
65,17,Martin Petrov,F,5'11'',12  00,15-01-79,Vzatza,Wolfsburg,Atlético Madrid,2005,Spanish
66,18,Juan Valera,D,"6'00""",11  05,21-12-84,La Copa de  Bullas,Murcia,Atlético Madrid,2005,Spanish
67,20,Gabi,M,"5'10""",10  10,10-07-83,Madrid,Atlético  Madrid B,Atlético Madrid,2005,Spanish
68,21,Luis  Amaranto Perea,D,"5'11""",12  00,30-01-79,Turbo Antioquia,Boca Juniors,Atlético Madrid,2005,Spanish
69,22,Pablo,D,6'04'',12  08,03-08-81,Madrigueras,Albacete,Atlético Madrid,2005,Spanish
70,23,Peter Luccin,M,5'11'',11  00,09-04-79,Marseille,Celta Vigo,Atlético Madrid,2005,Spanish
71,25,Leo Franco,G,6'02'',13  05,20-05-77,San Nicolas,Mallorca,Atlético Madrid,2005,Spanish
72,27,Pablo  Sicilia,D,"5'11""",12  13,10-09-81,Las Palmas,Atlético  Madrid B,Atlético Madrid,2005,Spanish
73,28,Manu del Moral,M,"6'01""",13  03,25-02-84,Jaén,Atlético  Madrid B,Atlético Madrid,2005,Spanish
74,29,Federico  Azcárate,D,"6'03""",12  13,15-06-84,Mar del  Plata,Atlético  Madrid B,Atlético Madrid,2005,Spanish
75,30,Ismael Falcón,G,"6'00""",12  00,24-04-85,Cádiz,Atlético  Madrid B,Atlético Madrid,2005,Spanish
76,31,Mario  Suárez,M,"6'01""",12  08,24-02-87,Madrid,Atlético  Madrid B,Atlético Madrid,2005,Spanish
77,32,Francisco  Galán,G,"6'00""",12  06,09-01-85,Jaén,Atlético  Madrid B,Atlético Madrid,2005,Spanish
78,33,Roberto,G,"6'04""",13  08,10-02-86,Madrid,Atlético  Madrid B,Atlético Madrid,2005,Spanish
79,35,Basilio  Sancho,G,,,02-01-84,Madrid,Atlético  Madrid B,Atlético Madrid,2005,Spanish
80,36,Antonio  Moreno,D,"6'01""",12  04,13-02-83,Puerto Real,Atlético  Madrid B,Atlético Madrid,2005,Spanish
81,37,Fernando Marqués,M,5'10'',11  00,04-12-84,Madrid,Racing  Santander,Atlético Madrid,2005,Spanish
82,38,Julian Vara,F,"6'00""",11  09,17-11-83,Madrid,Atlético  Madrid B,Atlético Madrid,2005,Spanish
83,40,Segovia  Rufino,F,"5'09""",11  09,01-03-83,Madrid,Atlético  Madrid B,Atlético Madrid,2005,Spanish
84,1,Víctor  Valdés,G,6'02'',12  08,14-01-82,Barcelona,Barcelona  B,Barcelona,2005,Spanish
85,2,Belletti,D,5'09'',10  12,20-06-76,Casacvel,Villarreal,Barcelona,2005,Spanish
86,3,Thiago Motta,M,6'02'',12  11,28-08-82,São Bernardo,Barcelona  B,Barcelona,2005,Spanish
87,4,Rafael  Márquez,D,6'00'',12  01,13-02-79,Zamora,Monaco,Barcelona,2005,Spanish
88,5,Carles Puyol,D,5'10'',12  04,13-04-78,Viella,Barcelona  B,Barcelona,2005,Spanish
89,6,Xavi,M,5'07'',10  10,25-01-80,Barcelona,Barcelona  B,Barcelona,2005,Spanish
90,7,Henrik  Larsson,F,"5'09""",11  02,10-09-71,Helsingborg,Celtic,Barcelona,2005,Spanish
91,8,Ludovic Giuly,M,"5'04""",09 10,10-07-76,Lyon,Monaco,Barcelona,2005,Spanish
92,9,Samuel Eto'o,F,5'11'',11  11,10-03-81,Nkon,Mallorca,Barcelona,2005,Spanish
93,10,Ronaldinho,M,5'09'',11  03,21-03-80,Porto  Alegre,Paris  St-Germain,Barcelona,2005,Spanish
94,11,Maxi  López,F,"5'09""",11  02,04-03-84,Capital  Federal,River  Plate,Barcelona,2005,Spanish
95,12,Giovanni  van Bronckhorst,M,"5'10""",12  00,05-02-75,Rotterdam,Arsenal,Barcelona,2005,Spanish
96,14,Santiago Ezquerro,F,5'11'',11  00,14-12-76,Calahorra,Athletic  Bilbao,Barcelona,2005,Spanish
97,15,Edmilson,D,"6'01""",11 11,10-07-76,Taguaritinga,Lyon,Barcelona,2005,Spanish
98,16,Sylvinho,D,5'09'',10  08,12-04-74,São Paulo,Celta Vigo,Barcelona,2005,Spanish
99,17,Mark van Bommel,M,"6'02""",13  03,22-04-77,Maasbracht,PSV Eindhoven,Barcelona,2005,Spanish
100,18,Gabri,M,5'09'',11  05,10-02-79,Sallent,Barcelona  B,Barcelona,2005,Spanish
101,19,Lionel  Messi,M,"5'07""",10  08,24-06-87,Santa  Fe,Barcelona  B,Barcelona,2005,Spanish
102,20,Deco,M,5'09'',11  07,27-08-77,São  Bernardo,FC Porto,Barcelona,2005,Spanish
103,23,Oleguer Presas,D,6'02'',11  07,02-02-80,Barcelona,Barcelona  B,Barcelona,2005,Spanish
104,24,Andrés Iniesta,M,5'08'',10  01,11-05-84,Fuentealbilla,Barcelona  B,Barcelona,2005,Spanish
105,25,Albert  Jorquera,G,5'08'',12  01,03-03-79,Bescanó,Barcelona  B,Barcelona,2005,Spanish
106,26,Rodri,D,"6'01""",12  04,17-08-84,Mataró,Barcelona  B,Barcelona,2005,Spanish
107,27,Pitu,M,"5'07""",11  00,24-11-83,Salt,Barcelona  B,Barcelona,2005,Spanish
108,28,Rubén  Iván Martínez,G,"6'02""",12  13,22-06-84,La  Coruña,Barcelona  B,Barcelona,2005,Spanish
109,29,Carlos  González Peña,D,"5'11""",12  00,28-07-83,Salamanca,Barcelona  B,Barcelona,2005,Spanish
110,31,Joan  Verdú,M,"5'09""",11  05,05-05-83,Barcelona,Barcelona  B,Barcelona,2005,Spanish
111,33,Jordi  Gómez,M,"5'10""",11  09,24-05-85,Barcelona,Barcelona  B,Barcelona,2005,Spanish
112,35,Cristian,F,"5'07""",10  06,21-09-83,Barcelona,Barcelona  B,Barcelona,2005,Spanish
113,40,Francisco  Javier Martos,D,,,04-01-84,Alamedilla,Barcelona  B,Barcelona,2005,Spanish
114,41,Ludovic  Sylvestre,M,"5'11""",10  01,05-02-84,Le  Blanc-Mesnil,Barcelona  B,Barcelona,2005,Spanish
115,42,Paco  Montañés,F,"5'08""",11  00,08-10-86,Castellón,Barcelona  B,Barcelona,2005,Spanish
116,43,Jesús  Olmo,D,"5'10""",11  11,24-01-85,Barcelona,Barcelona  B,Barcelona,2005,Spanish
117,44,Andrea  Orlandi,M,"6'00""",12  01,03-08-84,Barcelona,Alavés B,Barcelona,2005,Spanish
118,45,Ramón  Masó,D,,,,,Barcelona  B,Barcelona,2005,Spanish
119,1,Pedro  Contreras,G,5'11'',12  08,07-01-72,Madrid,Málaga,Betis,2005,Spanish
120,2,Luis  Fernández,D,5'08'',10  08,27-09-72,Argomiya de  Cayón,Racing Santander,Betis,2005,Spanish
121,3,Daniel  Alejandro Lembo,D,6'00'',12  01,15-02-78,Montevideo,Nacional,Betis,2005,Spanish
122,4,Juanito,D,6'00'',12  08,23-07-76,Cádiz,Recreativo Huelva,Betis,2005,Spanish
