,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
0,1.0,David  Mahoney,G,"6'02""",14  04,14-04-81,Wellesley,Cornell  Univ,Chicago Fire,2005,USA
1,2.0,CJ  Brown,D,6'00'',13  03,15-06-75,Hayward,San  Francisco Bay Seals,Chicago Fire,2005,USA
2,3.0,Samuel  Caballero,D,"6'01""",12  02,24-12-74,Tegucigalpa,Nacional [URU],Chicago Fire,2005,USA
3,4.0,Leonard  Griffin,D,"6'01""",13  03,11-09-82,Pasadena,UCLA,Chicago Fire,2005,USA
4,5.0,Jim  Curtin,D,6'04'',14  09,23-06-79,Oreland,Villanova,Chicago Fire,2005,USA
5,6.0,Demetrius  White,M,"5'09""",12  07,26-07-85,Milwaukee,None,Chicago Fire,2005,USA
6,7.0,John  Thorrington,M,"5'07""",10  05,17-10-79,Johannesburg,Grimsby  T,Chicago Fire,2005,USA
7,8.0,Lubos  Reiter,F,"5'11""",11  09,03-12-74,Stopkov,Sigma  Olomouc,Chicago Fire,2005,USA
8,9.0,Chad  Barrett,F,"5'11""",12  12,30-04-85,Beaverton,UCLA,Chicago Fire,2005,USA
9,11.0,Nate  Jaqua,F,6'03'',12  12,28-10-81,Eugene,Univ  of Portland,Chicago Fire,2005,USA
10,12.0,Logan  Pause,D,5'10'',11  01,22-08-81,Raleigh,Univ of  North Carolina,Chicago Fire,2005,USA
11,13.0,Jack  Stewart,D,"6'02""",12  12,29-05-83,Torrance,Univ  of Notre Dame,Chicago Fire,2005,USA
12,14.0,Chris  Armas,M,5'07'',10  10,27-07-72,Bronx,LA  Galaxy,Chicago Fire,2005,USA
13,15.0,Jesse  Marsch,M,5'11'',12  02,08-11-73,Racine,DC  United,Chicago Fire,2005,USA
14,16.0,Will  John,M,"5'09""",10  05,13-06-85,Overland  Park,St  Louis Univ,Chicago Fire,2005,USA
15,17.0,Chris  Rolfe,F,"5'08""",10  05,17-01-83,"Kettering,  OH",Univ  of Dayton,Chicago Fire,2005,USA
16,18.0,Matthew  Pickens,G,"6'03""",14  04,05-04-82,Washington,SW  Missouri State Univ,Chicago Fire,2005,USA
17,19.0,Craig  Capano,M,5'07'',10  00,07-07-85,Hyde  Park,US  U-17s,Chicago Fire,2005,USA
18,20.0,Anthony  Sanneh,D,6'02'',13  08,01-06-71,Minnesota,Columbus Crew,Chicago Fire,2005,USA
19,21.0,Justin  Mapp,M,5'10'',10  00,18-10-84,Brandon,DC  United,Chicago Fire,2005,USA
20,22.0,Scott Buete,M,"5'08""",11  06,23-07-80,Phoenix,Univ  of Maryland,Chicago Fire,2005,USA
21,23.0,Iván Guerrero,D,"5'07""",11  01,30-11-77,Comayagua,Peñarol,Chicago Fire,2005,USA
22,24.0,Zach  Thornton,G,6'03'',15  00,10-10-73,Edgewood,Benfica,Chicago Fire,2005,USA
23,25.0,Gonzalo  Segares,D,"5'11""",11  08,13-10-82,San  Jose,Virginia  C'wealth Univ,Chicago Fire,2005,USA
24,27.0,Andy  Herron,F,"5'09""",11  01,02-03-78,Puerto  Limon,CS  Herediano,Chicago Fire,2005,USA
25,28.0,Jared  Montz,D,"5'10""",11  08,26-12-82,Mandeville,Lynn  Univ,Chicago Fire,2005,USA
26,29.0,Thiago  de Rosa Correa,M,"5'07""",10  07,07-04-82,Porto  Alegre,Pinhalense,Chicago Fire,2005,USA
