,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
0,1.0,Ihor Bazhan,G,"6'02""",14 00,02-12-81,Kirovohrad,Tavriya Simferopol,Arsenal Kiev,2005,Ukrainian
1,2.0,Oleksandr  Romanchuk,D,"5'09""",11  05,21-10-84,,Dynamo  Kiev,Arsenal Kiev,2005,Ukrainian
2,3.0,Andriy Chernov,D,"6'04""",14 11,19-10-79,Minsk,Karpaty Lviv,Arsenal Kiev,2005,Ukrainian
3,4.0,Vyacheslav  Sviderskyy,D,"6'01""",12 08,01-01-79,Kiev,Shakhtar  Donetsk,Arsenal Kiev,2005,Ukrainian
4,5.0,Oleksandr Pershyn,D,"6'00""",12 08,23-06-77,Dnipropetrovsk,Vorskla Poltava,Arsenal Kiev,2005,Ukrainian
5,6.0,Maciej Kowalczyk,F,"5'11""",11 11,06-03-77,Wrocław,Śląsk Wrocław,Arsenal Kiev,2005,Ukrainian
6,7.0,Andriy  Bashlay,M,"5'11""",11  00,16-02-85,,Dynamo  Kiev,Arsenal Kiev,2005,Ukrainian
7,8.0,Oleksandr  Oleksiyenko,M,"6'01""",12 08,13-05-79,Donetsk,Metalurh  Donetsk,Arsenal Kiev,2005,Ukrainian
8,9.0,Oleksiy Ivanov,M,"5'07""",09 11,09-01-78,Donetsk,Karpaty Lviv,Arsenal Kiev,2005,Ukrainian
9,10.0,Kostyantyn  Yaroshenko,M,"5'10""",09 11,12-09-86,Luhansk,Metalist  Kharkiv,Arsenal Kiev,2005,Ukrainian
10,12.0,Vadym Deonas,G,"6'01""",13 01,27-07-75,Tavriya,Tavriya  Simferopol,Arsenal Kiev,2005,Ukrainian
11,14.0,Ihor Skoba,M,"6'01""",13 01,21-05-82,Kiev,Obolon Kiev,Arsenal Kiev,2005,Ukrainian
12,15.0,Patrick Ebanda,M,"5'10""",12 01,05-09-78,,Vorskla Poltava,Arsenal Kiev,2005,Ukrainian
