,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
0,Adelaide,Australian,Adelaide United,28-12-75,"6'03""",Daniel Beltrame,,1,G,Wollongong Wolves,1,16 12,2005
1,Adelaide,Australian,Adelaide United,30-10-73,"5'10""",Richie Alagich,,2,D,Port Adelaide,2,11 09,2005
2,Adelaide,Australian,Adelaide United,06-01-80,"6'04""",Kristian Rees,,3,D,Adelaide C,3,14 09,2005
3,Adelaide,Australian,Adelaide United,09-05-76,"6'00""",Angelo Costanzo,,4,M,Marconi,4,13 12,2005
4,Melbourne,Australian,Adelaide United,23-08-74,"5'11""",Michael Valkanis,,5,D,Adelaide C,5,12 08,2005
5,Adelaide,Australian,Adelaide United,17-04-73,"5'10""",Ross Aloisi,,6,M,Pro Sesto,6,12 04,2005
6,Adelaide,Australian,Adelaide United,12-03-82,"5'05""",Lucas Pantelis,,7,M,Parramatta Power,7,10 06,2005
7,Whyalla,Australian,Adelaide United,21-05-70,"6'00""",Carl Veart,,8,F,Adelaide C,8,13 05,2005
8,Canberra,Australian,Adelaide United,08-08-80,"5'09""",Mathew Kemp,,9,M,Adelaide C,9,11 03,2005
9,Caxias  do Sul,Australian,Adelaide United,13-03-74,"6'00""",Fernando  Rech,,10,M,Esportivo,10,13  08,2005
10,Birmingham,Australian,Adelaide United,09-05-82,"5'07""",Louis Brain,,11,M,Brisbane Strikers,11,11 07,2005
11,Broken Hill,Australian,Adelaide United,28-04-81,"5'08""",Chad Bugeja,,12,M,White City Woodville,12,11 09,2005
12,Adelaide,Australian,Adelaide United,06-01-80,"5'10""",Travis Dodd,,13,M,Panionios,13,12 08,2005
13,Adelaide,Australian,Adelaide United,29-04-82,"5'10""",Aaron Goulding,,14,D,Adelaide C,14,12 00,2005
14,Adelaide,Australian,Adelaide United,15-03-86,"5'10""",Michael Matricciani,,15,F,Campbelltown C,15,11 00,2005
15,Adelaide,Australian,Adelaide United,21-08-86,"5'11""",Tony Hatzis,,16,M,MetroStars,16,11 05,2005
16,Elizabeth,Australian,Adelaide United,05-09-84,"6'00""",Adam Van Dommele,,17,D,Enfield C,17,12 10,2005
17,Blackburn,Australian,Adelaide United,24-10-84,"6'04""",Robert Cornthwaite,,18,D,White City Woodville,18,13 03,2005
18,Shenyang,Australian,Adelaide United,05-06-75,"6'00""",Qu Shengqing,,19,F,Shanghai Shenghua,19,13 03,2005
19,Whyalla,Australian,Adelaide United,29-07-77,"6'05""",Robert Bajic,,20,G,Adelaide Raiders,20,13 10,2005
20,Adelaide,Australian,Adelaide United,02-08-84,"5'08""",Jason Spagnuolo,,21,M,MetroStars,21,09 13,2005
21,Bathurst,Australian,Adelaide United,27-01-81,"6'00""",Greg Owens,,22,M,Sydney  U,22,12 08,2005
