,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Guillermo Ochoa,G,"5'10""",10 06,13-07-85,Guadalajara,None,América,2007,Mexican
2,2,Ismael Rodríguez,D,"5'09""",10 10,01-10-81,Ciudad Madero,Monterrey,América,2007,Mexican
3,3,José Antonio Castro,D,"5'08""",08 09,08-11-80,Mexico City,None,América,2007,Mexican
4,4,Oscar Rojas,D,"5'08""",11 00,08-02-81,Mexico City,San Luis,América,2007,Mexican
5,5,Duilio Davino,D,"5'11""",11 11,21-03-76,León,UAG Tecos,América,2007,Mexican
6,6,Diego  Alberto Cervantes,D,"5'08""",11 03,30-08-84,Mexico City,San Luis,América,2007,Mexican
7,7,Lucas  Castromán,M,"5'09""",11 07,10-02-80,Villa  Flandria,Vélez Sarsfield,América,2007,Mexican
8,8,Federico Insúa,M,"5'10""",11 07,03-01-80,Capital Federal,B Mönchengladbach,América,2007,Mexican
9,9,Salvador Cabañas,F,"5'08""",12 04,05-08-80,Asunción,Jaguares de Chiapas,América,2007,Mexican
11,11,Santiago Fernández,F,"6'00""",11  05,07-03-85,Mexico City,None,América,2007,Mexican
12,12,Armando Navarrete,G,"5'11""",09 11,22-11-80,Jacona,Atlas,América,2007,Mexican
13,13,Juan  Carlos Mosqueda,M,"5'05""",09  11,17-04-85,Mexico  City,None,América,2007,Mexican
14,14,Carlos Infante,D,"5'05""",08 00,14-02-82,Neza,Veracruz,América,2007,Mexican
15,15,Jesús Sánchez,D,"6'01""",11 05,07-03-84,Mexico City,Socio Águila,América,2007,Mexican
16,16,Ricardo Rojas,D,"5'10""",11 00,05-07-74,Vallenar,Universidad de Chile,América,2007,Mexican
17,17,Rodrigo López,F,"5'11""",12 02,21-01-78,Montevideo,Libertad,América,2007,Mexican
18,18,Germán Villa,M,"5'07""",11 05,04-02-73,Mexico City,Necaxa,América,2007,Mexican
19,19,Rodrigo Iñigo,D,"6'01""",12 08,29-08-85,Mexico City,Socio Águila,América,2007,Mexican
20,20,Alejandro Argüello,M,"5'08""",11 00,25-01-82,Hidalgo,None,América,2007,Mexican
21,21,Enrique Esqueda,M,"5'09""",10  03,19-04-88,Querétaro,Socio Águila,América,2007,Mexican
22,22,Alvin Mendoza,M,"5'07""",10 06,27-07-84,Mexico City,None,América,2007,Mexican
23,23,José Joaquín Martínez,M,"5'09""",10 03,23-02-87,Mexico City,None,América,2007,Mexican
24,24,Guadalupe Zavala,D,"5'11""",11 11,09-04-86,Mexico City,Socio Águila,América,2007,Mexican
25,25,José Mosqueda,M,"5'08""",11 03,15-03-83,Mexico City,Socio Águila,América,2007,Mexican
26,26,Milton Aguilar,G,"6'00""",12 00,03-02-84,Mexico City,Socio Águila,América,2007,Mexican
2,2,Javier Muñoz Mustafá,D,"5'11""",12 04,06-11-80,Firmat,Santos Laguna,Atlante,2007,Mexican
3,3,Federico Vilar,G,"5'11""",11 00,30-05-77,Junin,Acapulco,Atlante,2007,Mexican
5,5,Joel González,D,"5'05""",08 07,27-01-79,Mexico City,Monterrey,Atlante,2007,Mexican
6,6,Alain  Nkong,M,"5'10""",11  11,04-06-79,Yaoundé,Colorado Rapids,Atlante,2007,Mexican
7,7,Daniel Alcántar,D,"5'07""",09 06,05-02-76,León,Irapuato,Atlante,2007,Mexican
8,8,Alan Miguel Zamora,D,"5'10""",11 05,08-04-85,Mexico City,Colima,Atlante,2007,Mexican
9,9,Giancarlo  Maldonado,F,"5'09""",11 05,29-06-82,Caracas,O'Higgins,Atlante,2007,Mexican
