,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Guillermo Ochoa,MEX,G,1.83,73,13-07-85,Guadalajara,None,América,2008,Mexican
2,2,Ismael Rodríguez,MEX,D,1.75,68,01-10-81,Ciudad Madero,Monterrey,América,2008,Mexican
3,3,José Antonio Castro,MEX,D,1.73,55,08-11-80,Mexico City,None,América,2008,Mexican
4,4,Oscar Rojas,MEX,D,1.72,70,08-02-81,Mexico City,San Luis,América,2008,Mexican
5,5,Enrique Vera,PAR,M,1.79,67,10-03-79,Asunción,LDU Quito,América,2008,Mexican
6,6,Sebastián Dominguez,ARG,D,1.83,67,29-07-80,Capital Federal,Estudiantes (LP),América,2008,Mexican
7,7,Alfredo Moreno,ARG,F,1.74,71,01-12-80,Santiago del Estero,San Luis,América,2008,Mexican
8,8,Federico Insúa,ARG,M,1.79,79,03-01-80,Capital Federal,B Mönchengladbach,América,2008,Mexican
9,9,Salvador Cabañas,PAR,F,1.73,78,05-08-80,Asunción,Jaguares de Chiapas,América,2008,Mexican
11,11,Juan  Carlos Medina,MEX,M,1.70,66,22-08-83,Torreón,Atlas,América,2008,Mexican
12,12,Armando Navarrete,MEX,G,1.78,80,22-11-80,Jacona,Atlas,América,2008,Mexican
13,13,Juan  Carlos Mosqueda,MEX,M,1.67,63,17-04-85,Mexico  City,None,América,2008,Mexican
14,14,Carlos Infante,MEX,D,1.78,72,14-02-82,Neza,Veracruz,América,2008,Mexican
15,15,Armando Sánchez,MEX,D,1.82,73,07-03-84,Mexico City,None,América,2008,Mexican
16,16,Rodrigo Iñigo,MEX,D,1.86,81,29-08-85,Mexico City,None,América,2008,Mexican
17,17,Rafael Márquez,MEX,F,1.72,68,02-11-81,Mexico City,Pachuca,América,2008,Mexican
18,18,Germán Villa,MEX,M,1.77,71,04-02-73,Mexico City,Necaxa,América,2008,Mexican
19,19,Carlos Sánchez,MEX,D,1.78,72,13-02-80,Mexico City,San Luis,América,2008,Mexican
20,20,Alejandro Argüello,MEX,M,1.76,71,25-01-82,Hidalgo,None,América,2008,Mexican
21,21,Enrique Esqueda,MEX,M,1.75,70,19-04-88,Querétaro,None,América,2008,Mexican
22,22,Alvin Mendoza,MEX,M,1.70,68,27-07-84,Mexico City,None,América,2008,Mexican
23,23,Joaquín Martínez,MEX,M,1.75,65,23-02-87,Mexico City,None,América,2008,Mexican
24,24,Daniel Márquez,MEX,F,1.88,72,18-01-80,Mexico City,None,América,2008,Mexican
25,25,José Mosqueda,MEX,M,1.73,71,15-03-83,Mexico City,None,América,2008,Mexican
26,26,Juan Carlos Silva,MEX,M,1.71,71,06-02-88,Mexico City,None,América,2008,Mexican
37,37,Leonín Pineda,MEX,G,1.84,75,30-11-85,Arcelia,None,América,2008,Mexican
39,39,Guillermo Cerda,MEX,D,1.79,66,13-02-81,Mexico City,None,América,2008,Mexican
40,40,Omar Tena,MEX,D,1.71,65,28-04-85,Mexico City,None,América,2008,Mexican
41,42,Luis Villegas,MEX,D,1.82,81,05-10-84,Mexico City,None,América,2008,Mexican
42,49,Lampros Kontogiannis,MEX,M,1.82,79,01-08-88,Manzanillo,None,América,2008,Mexican
1,1,Gerardo Ruíz,MEX,G,1.82,72,05-09-85,Mexico City,None,Atlante,2008,Mexican
2,2,Javier Muñoz Mustafá,ARG,D,1.78,73,11-06-80,Firmat,Santos Laguna,Atlante,2008,Mexican
3,3,Federico Vilar,ARG,G,1.81,70,30-05-77,Junin,Acapulco,Atlante,2008,Mexican
