,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Gino Coutinho,NED,G,1.80,78,05-08-82,Den Bosch,FC Den Bosch,ADO Den Haag,2010,Dutch
2,2,Ahmed Ammi,NED,D,1.79,73,19-01-81,Temsaman,NAC Breda,ADO Den Haag,2010,Dutch
3,3,Christiaan  Kum,NED,D,1.82,70,13-09-85,Frankfurt  am Main,None,ADO Den Haag,2010,Dutch
4,4,Timothy Derijck,BEL,D,1.85,77,25-05-87,Liedekerke,Feyenoord,ADO Den Haag,2010,Dutch
5,5,Pascal Bosschaart,NED,M,1.83,77,28-02-80,Rotterdam,Feyenoord,ADO Den Haag,2010,Dutch
6,6,Aleksandar Ranković,SRB,M,1.73,64,31-08-78,Belgrade,Vitesse,ADO Den Haag,2010,Dutch
7,7,Jens Toornstra,NED,M,1.78,74,01-01-89,Ter Aar,Alphense Boys,ADO Den Haag,2010,Dutch
8,8,Danny Buijs,NED,M,1.82,78,21-06-82,Dordrecht,Feyenoord,ADO Den Haag,2010,Dutch
9,9,Lex Immers,NED,M,1.87,78,08-06-86,Den Haag,None,ADO Den Haag,2010,Dutch
11,11,Wesley Verhoek,NED,F,1.88,80,25-09-86,Leidschendam,None,ADO Den Haag,2010,Dutch
12,12,Aleksandar Radosavljevič,SVN,M,1.82,77,25-04-79,Kranj,Larissa,ADO Den Haag,2010,Dutch
13,13,Raily Ignacio,NED,F,1.80,88,04-06-87,Den Haag,Westlandia,ADO Den Haag,2010,Dutch
14,14,Ramon Leeuwin,NED,M,1.87,72,01-09-87,Amsterdam,AGOVV Apeldoorn,ADO Den Haag,2010,Dutch
15,15,Mitchell Piqué,NED,D,1.74,65,20-11-79,Amsterdam,Excelsior,ADO Den Haag,2010,Dutch
16,16,Christian Supusepa,NED,D,1.83,74,02-04-89,Zaanstad,Ajax,ADO Den Haag,2010,Dutch
19,19,Dmitriy Bulikin,RUS,F,1.92,92,20-11-79,Moscow,Anderlecht,ADO Den Haag,2010,Dutch
21,21,Lorenzo Piqué,NED,D,1.86,74,17-09-90,Rotterdam,Feyenoord,ADO Den Haag,2010,Dutch
22,22,Robert  Zwinkels,NED,G,1.88,75,04-05-83,Wateringen,Ajax,ADO Den Haag,2010,Dutch
24,24,Serhat Koksal,TUR,M,1.77,81,18-02-90,Den Haag,None,ADO Den Haag,2010,Dutch
25,25,Giorgio Achterberg,NED,F,1.80,71,01-02-90,Den Haag,Ajax,ADO Den Haag,2010,Dutch
26,26,Roderick Gielisse,NED,M,1.75,68,04-01-90,Voorburg,None,ADO Den Haag,2010,Dutch
27,27,Jordy Brouwer,NED,F,1.90,70,26-02-88,Den Haag,Liverpool,ADO Den Haag,2010,Dutch
28,28,Frantiek Kubík,SVK,F,1.83,69,14-03-89,Prievidza,AS Trenčín,ADO Den Haag,2010,Dutch
29,29,Joël Tillema,NED,D,1.79,75,05-09-89,Den Haag,RVC Rijswijk,ADO Den Haag,2010,Dutch
30,30,Tom Boks,NED,G,1.99,87,03-09-91,Schipluiden,Feyenoord,ADO Den Haag,2010,Dutch
31,31,Kevin Visser,NED,M,1.82,74,19-07-88,Delft,RKC Waalwijk,ADO Den Haag,2010,Dutch
34,34,Chiró Vuza-N'Toko,BEL,D,1.90,82,31-01-88,Kinshasa,AGOVV Apeldoorn,ADO Den Haag,2010,Dutch
36,36,Charlton Vicento,NED,F,1.81,75,19-01-91,Zoetermeer,None,ADO Den Haag,2010,Dutch
41,49,Mike van Duinen,NED,F,1.83,74,06-11-91,Den Haag,None,ADO Den Haag,2010,Dutch
1,1,Maarten Stekelenburg,NED,G,1.97,92,22-09-82,Haarlem,Schoten,Ajax,2010,Dutch
2,2,Gregory van der Wiel,NED,D,1.81,68,03-02-88,Amsterdam,None,Ajax,2010,Dutch
3,3,Toby Alderweireld,BEL,D,1.85,75,02-03-89,Wilrijk,Germinal Beerschot,Ajax,2010,Dutch
4,4,Jan  Vertonghen,BEL,D,1.89,79,24-04-87,Sint-Niklaas,Germinal Beerschot,Ajax,2010,Dutch
5,5,Vurnon Anita,NED,D,1.66,63,04-04-89,Willemstad,None,Ajax,2010,Dutch
6,6,Eyong Enoh,CMR,M,1.80,76,23-03-86,Kumba,Kumba,Ajax,2010,Dutch
7,7,Miralem Sulejmani,SRB,F,1.78,68,05-12-88,Belgrade,SC Heerenveen,Ajax,2010,Dutch
8,8,Christian Eriksen,DEN,M,1.75,65,14-02-92,Middelfart,Odense,Ajax,2010,Dutch
9,9,Mounir El Hamdaoui,MAR,F,1.83,81,14-07-84,Rotterdam,AZ Alkmaar,Ajax,2010,Dutch
10,10,Siem de Jong,NED,M,1.85,76,28-01-89,Aigle,None,Ajax,2010,Dutch
12,12,Kenneth Vermeer,NED,G,1.82,78,10-01-86,Amsterdam,None,Ajax,2010,Dutch
13,13,André Ooijer,NED,D,1.85,80,11-07-74,Amsterdam,PSV Eindhoven,Ajax,2010,Dutch
15,15,Nicolás Lodeiro,URU,M,1.70,69,18-12-89,Paysandú,Nacional [URU],Ajax,2010,Dutch
17,17,Daley Blind,NED,M,1.82,68,09-03-90,Amsterdam,None,Ajax,2010,Dutch
18,18,Rasmus Lindgren,SWE,M,1.80,69,29-11-84,Landskrona,FC Groningen,Ajax,2010,Dutch
20,20,Demy de Zeeuw,NED,M,1.74,71,26-05-83,Apeldoorn,AZ Alkmaar,Ajax,2010,Dutch
21,21,Suk Hyun-Jun,KOR,F,1.89,81,29-06-91,Chungju,Singal High School,Ajax,2010,Dutch
22,22,Bruno Silva,URU,D,1.80,79,29-03-80,Cerro Largo,FC Groningen,Ajax,2010,Dutch
23,23,Oleguer Presas,ESP,D,1.87,82,02-02-80,Barcelona,Barcelona,Ajax,2010,Dutch
25,25,Mitchell Donald,NED,M,1.83,80,10-12-88,Amsterdam,None,Ajax,2010,Dutch
27,27,Darío Cvitanich,ARG,F,1.75,67,16-05-84,Baradero,Banfield,Ajax,2010,Dutch
28,28,Roly Bonevacia,NED,M,1.71,65,08-10-91,Lelystad,None,Ajax,2010,Dutch
29,29,Timothée Atouba,CMR,D,1.91,80,17-02-82,Douala,Hamburg,Ajax,2010,Dutch
30,30,Jeroen Verhoeven,NED,G,1.94,99,30-04-80,Naarden,FC Volendam,Ajax,2010,Dutch
32,32,Nicolai Boilesen,DEN,D,1.85,75,16-02-92,Ballerup,Brøndby,Ajax,2010,Dutch
33,33,Aras Özbiliz,NED,F,1.70,71,09-03-90,Bakırköy,None,Ajax,2010,Dutch
34,34,Marco Bizot,NED,G,1.84,85,10-03-91,Zwaag,SV Westfriezen,Ajax,2010,Dutch
37,37,Jody Lukoki,NED,M,1.73,61,15-11-92,Kinshasa,None,Ajax,2010,Dutch
38,38,Henri Toivomäki,FIN,D,1.85,77,21-02-91,Mäntsälä,FC Lahti,Ajax,2010,Dutch
41,41,Lorenzo Ebecilio,NED,M,1.75,70,24-09-91,Hoorn,None,Ajax,2010,Dutch
42,42,Geoffrey Castillion,NED,F,1.91,78,25-05-91,Amsterdam,None,Ajax,2010,Dutch
43,43,Rodney Sneijder,NED,M,1.70,65,31-03-91,Utrecht,DOS,Ajax,2010,Dutch
44,44,Ouasim Bouy,NED,M,1.80,79,11-06-93,Amsterdam,Zeeburgia,Ajax,2010,Dutch
45,46,Florian Jozefzoon,NED,F,1.73,70,09-02-91,Amsterdam,None,Ajax,2010,Dutch
46,47,Johan Kappelhof,NED,D,1.80,70,05-08-90,Amsterdam,None,Ajax,2010,Dutch
47,48,Ronald Graafland,NED,G,1.90,71,30-04-79,Rotterdam,Vitesse,Ajax,2010,Dutch
48,49,Ruben Ligeon,NED,D,1.68,65,24-05-92,Amsterdam,OSV,Ajax,2010,Dutch
49,52,Tom Overtoom,NED,M,1.74,70,20-11-90,Amsterdam,SV Diemen,Ajax,2010,Dutch
