,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Kim Deinoff,G,"6'01""",12 08,02-12-76,Oslo,Raufoss,Aalesund,2005,Norweigan
2,2,Marius Aam,D,"5'11""",11 09,14-11-80,Oslo,Nest Sotra,Aalesund,2005,Norweigan
3,3,Haraldur Gudmundsson,D,"6'02""",12 08,14-12-81,Keflavik,Keflavik,Aalesund,2005,Norweigan
4,4,Herman Ekeberg,D,"6'00""",11 11,14-03-72,Hønefoss,Mjøndalen,Aalesund,2005,Norweigan
5,5,Erlend Holm,M,"5'10""",11 11,17-05-83,Ålesund,Vigra,Aalesund,2005,Norweigan
6,6,Peter Werni,D,"5'11""",12 11,03-06-74,Oslo,Lillestrøm,Aalesund,2005,Norweigan
7,7,Trond Fredriksen,M,"6'00""",12 08,21-05-77,Ålesund,Guard,Aalesund,2005,Norweigan
8,8,Frode Fagermo,M,"6'01""",12 13,08-05-73,Mo i Rana,Stålkameratene,Aalesund,2005,Norweigan
9,9,Tor Hogne Aarøy,F,"6'08""",14 13,20-03-77,Ålesund,Rosenborg,Aalesund,2005,Norweigan
10,10,Joakim Austnes,M,,,20-02-83,Ålesund,Haramsøy/Nordøy,Aalesund,2005,Norweigan
11,11,Morten Moldskred,M,"5'09""",11 00,13-06-80,Ålesund,Moss,Aalesund,2005,Norweigan
12,12,Andreas Lie,G,"6'01""",12 13,31-08-87,Ålesund,Herd,Aalesund,2005,Norweigan
13,13,Bechara Oliveira,M,,,25-02-76,,Al Ahli,Aalesund,2005,Norweigan
14,14,Paulo dos Santos,M,"5'09""",11 11,13-11-73,St Vicente,Connecticut Wolves,Aalesund,2005,Norweigan
15,15,Gustave Bahoken,D,"5'10""",12 03,13-06-79,Douala,Livingston,Aalesund,2005,Norweigan
16,16,Bjørn Erik Melland,D,"5'11""",12 04,29-09-74,Sprova,Byåsen,Aalesund,2005,Norweigan
