,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Lasse Staw,NOR,G,1.90,87,01-01-88,Skiptvet,Lillestrøm,Aalesund,2013,Norwegian
2,2,Akeem Latifu,NGA,D,1.98,60,16-11-89,Kano,Hødd,Aalesund,2013,Norwegian
3,3,Edvard Skagestad,NOR,D,1.86,85,06-07-88,Oslo,Follo,Aalesund,2013,Norwegian
4,4,Jonatan Tollås,NOR,D,1.88,80,01-07-90,Ålesund,None,Aalesund,2013,Norwegian
5,5,Andreas Nordvik,NOR,M,1.84,84,18-03-87,Trondheim,Vålerenga,Aalesund,2013,Norwegian
6,6,Houcine Zaidoune,MAR,M,1.82,74,12-03-90,Casablanca,Wydad Casablanca,Aalesund,2013,Norwegian
8,8,Fredrik Carlsen,NOR,M,1.75,65,01-12-89,Oslo,Vålerenga,Aalesund,2013,Norwegian
9,9,Abderrazak Hamdallah,MAR,F,1.79,75,17-12-90,Safi,Olympique Safi,Aalesund,2013,Norwegian
10,10,Peter Orry Larsen,NOR,M,1.82,74,17-01-90,Nordfjordeid,Skavøypoll,Aalesund,2013,Norwegian
11,11,Tremaine Stewart,JAM,F,1.72,69,05-01-88,Kingston,Portmore U,Aalesund,2013,Norwegian
13,13,Sten Grytebust,NOR,G,1.87,86,25-10-89,Ålesund,None,Aalesund,2013,Norwegian
14,14,Leke James,NGA,F,1.88,80,01-11-92,Kaduna,Bridge Boys,Aalesund,2013,Norwegian
15,15,Daniel Arnefjord,SWE,D,1.86,80,21-03-79,Stockholm,AIK,Aalesund,2013,Norwegian
16,16,Hugues Wembangomo,NOR,D,1.84,80,10-05-92,Kinshasa,Sarpsborg 08,Aalesund,2013,Norwegian
17,17,Demar Phillips,JAM,M,1.68,59,23-09-83,Kingston,Stoke C,Aalesund,2013,Norwegian
18,18,Christian Myklebust,NOR,F,1.84,75,11-03-92,Ålesund,None,Aalesund,2013,Norwegian
19,19,Tor Hogne Aarøy,NOR,F,2.04,95,20-03-77,Ålesund,JEF United,Aalesund,2013,Norwegian
22,22,Jo Nymo Matland,NOR,D,1.81,79,21-04-87,Tromsø,Sarpsborg 08,Aalesund,2013,Norwegian
23,23,Fredrik Ulvestad,NOR,D,1.83,79,17-06-92,Ålesund,None,Aalesund,2013,Norwegian
24,24,Mathias Rasmussen,NOR,G,1.80,70,25-04-92,Ålesund,None,Aalesund,2013,Norwegian
25,25,Lars Fuhre,NOR,M,1.77,66,29-08-89,Drammen,Nybergsund,Aalesund,2013,Norwegian
31,31,Michael Barrantes,CRC,M,1.77,71,04-10-83,San José [CRC],Deportivo Saprissa,Aalesund,2013,Norwegian
32,32,Robert Ekroll,NOR,G,1.83,75,21-09-95,,None,Aalesund,2013,Norwegian
33,33,Daniel Stensøe,NOR,D,,,10-09-94,,None,Aalesund,2013,Norwegian
34,34,Izantullah Ahmadzai,NOR,D,1.75,70,08-02-96,,None,Aalesund,2013,Norwegian
35,35,Henrik Bjørdal,NOR,M,1.75,80,04-02-97,Ålesund,None,Aalesund,2013,Norwegian
36,36,Thomas Martinussen,NOR,D,1.78,71,05-02-95,Ålesund,None,Aalesund,2013,Norwegian
37,37,Torbjørn Grytten,NOR,F,1.83,77,06-04-95,Ålesund,None,Aalesund,2013,Norwegian
39,39,Vebjørn Hoff,NOR,M,1.78,69,13-02-96,Ålesund,None,Aalesund,2013,Norwegian
1,1,Jørgen Mohus,NOR,G,1.85,79,05-09-91,Bergen,None,Brann,2013,Norwegian
2,2,Birkir Már Sævarsson,ISL,D,1.87,81,11-11-84,Reykjavik,Valur,Brann,2013,Norwegian
4,4,Simen Wangberg,NOR,D,1.85,73,06-05-91,Trondheim,Rosenborg,Brann,2013,Norwegian
5,5,Daniel Mojsov,MKD,D,1.90,82,25-12-87,Kavadarci,Vojvodina,Brann,2013,Norwegian
7,7,Hassan El Fakiri,NOR,M,1.81,74,18-04-77,Nador,B Mönchengladbach,Brann,2013,Norwegian
8,8,Fredrik Haugen,NOR,M,1.84,76,13-06-92,Bergen,Løv-Ham,Brann,2013,Norwegian
9,9,Martin Puić,AUT,F,1.82,75,24-10-87,Vienna,Fredrikstad,Brann,2013,Norwegian
12,12,Øystein Øvretveit,NOR,G,1.93,85,25-06-94,Bergen,None,Brann,2013,Norwegian
17,17,Stéphane Badji,SEN,M,1.80,75,29-05-90,Ziguinchor,Sogndal,Brann,2013,Norwegian
18,18,Markus Jonsson,SWE,D,1.86,82,09-03-81,Växjö,Panionios,Brann,2013,Norwegian
19,19,Kristoffer Larsen,NOR,F,1.87,74,19-01-92,Bergen,None,Brann,2013,Norwegian
21,21,Kennedy Ashia,GHA,F,1.70,67,13-12-93,,Liberty Professionals,Brann,2013,Norwegian
22,22,Amin Askar,NOR,M,1.77,73,01-10-85,Mogadishu,Fredrikstad,Brann,2013,Norwegian
23,23,Erik Huseklepp,NOR,M,1.86,75,05-09-84,Bærum,Portsmouth,Brann,2013,Norwegian
24,24,Piotr Leciejewski,POL,G,1.94,88,23-03-85,Legnica,Sogndal,Brann,2013,Norwegian
25,25,Henrik Gjesdal,NOR,D,1.92,87,19-07-93,Bergen,None,Brann,2013,Norwegian
26,26,Kasper Skaanes,NOR,M,1.75,60,19-03-95,Bergen,None,Brann,2013,Norwegian
27,27,Erdin Demir,SWE,D,1.77,72,27-03-90,Malmö,Trelleborgs FF,Brann,2013,Norwegian
28,28,Bård Finne,NOR,F,1.74,67,13-02-95,Bergen,None,Brann,2013,Norwegian
29,29,Kristoffer Barmen,NOR,M,1.90,76,19-08-93,Bergen,None,Brann,2013,Norwegian
32,32,Tomasz Sokolowski,NOR,M,1.84,70,25-06-85,Szczecin,Viking,Brann,2013,Norwegian
33,33,Kjetil Kalve,NOR,M,1.75,64,10-03-94,Bergen,None,Brann,2013,Norwegian
35,35,Andreas Vindheim,NOR,D,1.84,79,04-08-95,Bergen,None,Brann,2013,Norwegian
36,36,Ådne Nissestad,NOR,G,1.86,82,18-11-95,Bergen,None,Brann,2013,Norwegian
37,37,Håkon Lorentzen,NOR,F,1.85,78,02-08-97,Bergen,None,Brann,2013,Norwegian
38,38,Simen Lassen,NOR,M,,,11-04-94,Bergen,None,Brann,2013,Norwegian
39,39,Fredrik Heggland,NOR,D,,,09-11-95,Bergen,None,Brann,2013,Norwegian
1,1,Per Morten Kristiansen,NOR,G,1.85,84,14-07-81,Sarpsborg,Moss,Haugesund,2013,Norwegian
2,2,Joakim Våge Nilsen,NOR,D,1.78,72,24-04-91,Bømlo,Bremnes,Haugesund,2013,Norwegian
3,3,David Myrestam,SWE,D,1.81,79,04-04-87,Skellefteå,GIF Sundsvall,Haugesund,2013,Norwegian
4,4,Henrik Kildentoft,DEN,D,1.83,76,18-03-85,Avedøre,FC Nordsjælland,Haugesund,2013,Norwegian
5,5,Trygve Nygaard,NOR,D,1.80,78,19-08-75,Haugesund,Viking,Haugesund,2013,Norwegian
7,7,Christian Gytkjær,DEN,F,1.80,75,06-05-90,Roskilde,FC Nordsjælland,Haugesund,2013,Norwegian
8,8,Michael Haukås,NOR,M,1.90,86,21-11-86,Haugesund,Bodø/Glimt,Haugesund,2013,Norwegian
10,10,Umaru Bangura,SLE,M,1.75,73,07-10-87,Freetown,Hønefoss,Haugesund,2013,Norwegian
11,11,Tor Arne Andreassen,NOR,D,1.85,80,16-03-83,Haugesund,Vard,Haugesund,2013,Norwegian
12,12,Olav Dalen,NOR,G,1.88,79,06-03-85,Gjøvik,Nybergsund,Haugesund,2013,Norwegian
13,13,Eirik Mæland,NOR,M,1.75,69,15-02-89,Bømlo,Bremnes,Haugesund,2013,Norwegian
14,14,Andrés Már Jóhannesson,ISL,D,1.77,72,21-12-88,Reykjavík,Fyklir,Haugesund,2013,Norwegian
15,15,Martin Bjørnbak,NOR,D,1.93,90,22-03-92,Mo i Rana,Bodø/Glimt,Haugesund,2013,Norwegian
16,16,Ugonna Anyora,NGA,M,1.83,81,29-04-91,Enugu,INGAS Football Academy,Haugesund,2013,Norwegian
17,17,Geir Ludvig Fevang,NOR,M,1.79,72,17-11-80,Sandefjord,Lokeren,Haugesund,2013,Norwegian
18,18,Vegard Skjerve,NOR,D,1.87,80,22-05-88,Rennebu,Rosenborg,Haugesund,2013,Norwegian
19,19,Kristoffer Haraldseid,NOR,M,1.80,74,17-01-94,Haugesund,None,Haugesund,2013,Norwegian
22,22,Sverre Bjørkkjær,NOR,D,1.74,65,12-07-96,Manila,None,Haugesund,2013,Norwegian
23,23,Daniel Bamberg,BRA,M,1.75,65,23-04-84,São Lourenço do Oeste,Örebro SK,Haugesund,2013,Norwegian
24,24,Per Bråtveit,NOR,G,1.84,72,15-02-96,Haugesund,None,Haugesund,2013,Norwegian
25,25,Henrik Kjelsrud Johansen,NOR,F,1.82,84,22-03-93,Gjøvik,Raufoss,Haugesund,2013,Norwegian
26,26,Tom Undheim,NOR,M,1.76,68,11-09-95,Haugesund,None,Haugesund,2013,Norwegian
27,27,Tor Andre Aasheim,NOR,F,1.84,75,06-03-96,Stord,None,Haugesund,2013,Norwegian
28,28,Henning Nesse,NOR,D,1.76,72,02-06-94,Haugesund,None,Haugesund,2013,Norwegian
29,29,Thorvald Dahle,NOR,D,1.87,75,22-12-95,Haugesund,None,Haugesund,2013,Norwegian
30,30,Fredrik Delikås,NOR,M,1.80,75,07-05-94,Sand,None,Haugesund,2013,Norwegian
41,50,Duan Cvetinović,SRB,D,1.86,79,24-12-88,abac,Vaduz,Haugesund,2013,Norwegian
1,1,Lars Sutterud,NOR,G,,,21-02-90,,Drøbak/Frogn,Hønefoss,2013,Norwegian
3,3,Simon Andreas Larsen,NOR,D,1.93,84,01-06-88,Kristiansand,Vålerenga,Hønefoss,2013,Norwegian
4,4,Helge Haugen,NOR,M,1.83,79,15-02-82,Bergen,Tromsø,Hønefoss,2013,Norwegian
5,5,Aleksander Solli,NOR,D,1.88,83,16-03-90,Førde,Vålerenga,Hønefoss,2013,Norwegian
6,6,Kristjan Ørn Sigurdsson,ISL,D,1.80,80,07-10-80,Akureyri,Brann,Hønefoss,2013,Norwegian
7,7,Mikkel Vendelbo,DEN,M,1.85,82,15-08-87,Esbjerg,Esbjerg,Hønefoss,2013,Norwegian
8,8,Kevin Larsen,NOR,D,1.84,80,15-05-86,Sandefjord,Tromsø,Hønefoss,2013,Norwegian
9,9,Mats André Kaland,NOR,M,1.84,84,09-05-89,Bergen,Fyllingsdalen,Hønefoss,2013,Norwegian
10,10,Riku Riski,FIN,M,1.68,66,16-08-89,Turku,Widzew Łódź,Hønefoss,2013,Norwegian
11,11,Erik Midtgarden,NOR,M,1.84,74,18-11-87,Skien,Lillestrøm,Hønefoss,2013,Norwegian
13,13,Toni Kolehmainen,FIN,M,1.75,69,20-07-88,Oulu,TPS Turku,Hønefoss,2013,Norwegian
16,16,Tor Øyvind Hovda,NOR,M,1.87,76,24-09-89,Ringerike,Heradsbygda,Hønefoss,2013,Norwegian
19,19,Øyvind Hoås,NOR,F,2.03,95,28-10-93,Molde,Sarpsborg 08,Hønefoss,2013,Norwegian
20,20,Alexander Mathisen,NOR,M,1.85,75,24-11-86,Oslo,Lierse,Hønefoss,2013,Norwegian
21,21,Remond Mendy,SEN,F,1.82,78,09-10-85,Dakar,Nybergsund,Hønefoss,2013,Norwegian
22,22,Arnór Aðalsteinsson,ISL,D,1.81,73,26-01-86,Reykjavík,Breiðablik,Hønefoss,2013,Norwegian
23,23,Alexander Groven,NOR,D,1.82,83,02-01-92,Oslo,Lyn,Hønefoss,2013,Norwegian
24,24,Kenneth Jensen,NOR,F,1.80,80,22-07-90,Hønefoss,Holeværingen,Hønefoss,2013,Norwegian
25,25,Alexander Pedersen,NOR,G,,,30-07-95,,None,Hønefoss,2013,Norwegian
26,26,Steve Clark,USA,G,1.90,86,19-04-86,Mason,Charleston Battery,Hønefoss,2013,Norwegian
28,28,Martin Nygård,NOR,D,1.89,78,30-11-94,Lunner,None,Hønefoss,2013,Norwegian
