,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Paweł Linka,G,"6'06""",13 05,26-06-86,Poznań,Promień Żary,Amica Wronki,2005,Polish
2,2,Paweł Skrzypek,D,"5'09""",11 07,23-08-71,Maków Podhalański,Pogoń Szczecin,Amica Wronki,2005,Polish
4,4,Dawid Kucharski,D,"6'00""",12 08,19-11-84,Kostrzyn nad Odrą,Celuloza Kostrzyn,Amica Wronki,2005,Polish
5,5,Piotr Dziewicki,D,"6'03""",13 05,26-06-79,Milanówek,Polonia Warszawa,Amica Wronki,2005,Polish
6,6,Marcin Wasilewski,D,"6'01""",13 12,09-06-80,Kraków,Wisła Płock,Amica Wronki,2005,Polish
7,7,Rafał Murawski,M,"5'09""",11 11,09-10-81,Malbork,Arka Gdynia,Amica Wronki,2005,Polish
8,8,Przemysław Pitry,F,"6'00""",12 11,11-09-81,Pszczyna,Zagłębie Sosnowiec,Amica Wronki,2005,Polish
9,9,Marcin Kikut,M,"5'10""",11 11,25-06-83,Barlinek,Pogoń Barlinek,Amica Wronki,2005,Polish
10,10,Jacek  Dembiński,F,"6'03""",13 03,20-12-69,Poznań,Widzew Łódź,Amica Wronki,2005,Polish
11,11,Karol Gregorek,F,"6'00""",11 09,26-01-83,Zwoleń,Arka Gdynia,Amica Wronki,2005,Polish
13,13,Jarosław  Bieniuk,D,"6'04""",13 01,04-06-79,Gdańsk,Lechia Gdańsk,Amica Wronki,2005,Polish
14,14,Ilijan Micanski,F,"6'01""",12 13,20-12-85,Blagoevgrad,Pirin  1922,Amica Wronki,2005,Polish
15,15,Hubert  Wołąkiewicz,D,"6'00""",11  00,21-10-85,Skarżysko-Kamienna,None,Amica Wronki,2005,Polish
16,16,Janusz  Surdykowski,F,"6'02""",12  01,04-05-86,,Polonia  Warszawa,Amica Wronki,2005,Polish
17,17,Piotr Ruszkul,F,"6'00""",11  05,04-08-85,Kętrzyn,Orlęta Reszel,Amica Wronki,2005,Polish
18,18,Mateusz Bartczak,M,"6'00""",12 08,15-08-79,Legnica,Polonia Warszawa,Amica Wronki,2005,Polish
19,19,Grzegorz  Piesio,M,"6'01""",12  11,17-07-88,,Wilga  Garwolin,Amica Wronki,2005,Polish
20,20,Arkadiusz Bąk,M,"5'09""",12 13,06-10-74,Stargard Szczeciński,Polonia Warszawa,Amica Wronki,2005,Polish
21,21,Zbigniew  Grzybowski,M,"5'10""",12 00,01-01-76,Tczew,Wacker Burghausen,Amica Wronki,2005,Polish
22,22,Grzegorz  Wojtkowiak,D,"6'00""",11 11,26-01-84,Kostrzyn nad Odrą,Celuloza Kostrzyn,Amica Wronki,2005,Polish
23,23,Tomasz  Szczepan,M,"5'09""",11  07,16-03-85,Bydgoszcz,Zawisza  Bydgoszcz,Amica Wronki,2005,Polish
24,24,Jaroslav imr,M,"5'10""",12 00,31-01-79,Plzeň,NEC Nijmegen,Amica Wronki,2005,Polish
25,25,Filip Burkhardt,M,"5'09""",10 12,23-03-87,Poznań,Maczki Poznań,Amica Wronki,2005,Polish
26,26,Tomasz  Lisowski,D,"5'11""",12  06,04-04-85,Braniewo,None,Amica Wronki,2005,Polish
33,33,Radosław  Cierzniak,G,"6'02""",12 11,24-04-83,Szamocin,Aluminium Konin,Amica Wronki,2005,Polish
1,1,Jarosław Krupski,G,"6'00""",13  03,07-07-69,Wejherowo,Cartusia  Kartuzy,Arka Gdynia,2005,Polish
2,2,Marcin Kiczyński,D,"6'03""",13  12,30-04-80,Piła,Tur Turek,Arka Gdynia,2005,Polish
3,3,Łukasz  Kowalski,D,"6'00""",12 08,01-12-80,Łaszczów,Hetman Zamość,Arka Gdynia,2005,Polish
4,4,Ireneusz  Kościelniak,D,"6'00""",12 13,16-01-74,Katowice,Górnik Łęczna,Arka Gdynia,2005,Polish
5,5,Krzysztof Sobieraj,M,"6'02""",13 10,25-08-81,Kielce,Tłoki Gorzyce,Arka Gdynia,2005,Polish
6,6,Marek Kubisz,M,"5'08""",11 07,27-02-74,Chorzów,Odra Wodzisław,Arka Gdynia,2005,Polish
7,7,Dariusz Ulanowski,M,"5'07""",10 12,03-03-71,Słupsk,Pogoń Lębork,Arka Gdynia,2005,Polish
8,8,Radosław  Wróblewski,M,"5'10""",11  11,01-05-80,Bydgoszvz,Legia  Warszawa,Arka Gdynia,2005,Polish
