,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
5,5,Miroslav Čovilo,BIH,M,1.77,66,06-05-86,Hrasnica,Koper,Cracovia Kraków,2015,Polish
6,6,Florin Bejan,ROU,D,1.86,75,28-03-91,Mangalia,ASA Târgu Mureș,Cracovia Kraków,2015,Polish
7,7,Boubacar Dialiba,SEN,F,1.79,69,23-11-88,Dakar,Mechelen,Cracovia Kraków,2015,Polish
9,9,Dariusz Zjawiński,POL,F,1.85,73,19-08-86,Pruszków,Dolcan Ząbki,Cracovia Kraków,2015,Polish
10,10,Mateusz Cetnarski,POL,M,1.75,71,06-07-88,Kolbuszowa,Widzew Łódź,Cracovia Kraków,2015,Polish
11,11,Szymon Kiebzak,POL,M,1.75,68,22-02-97,Myślenice,Gościbia Sułkowice,Cracovia Kraków,2015,Polish
14,14,Damian Dąbrowski,POL,M,1.69,68,27-08-92,Kamienna Góra,Zagłębie Lubin,Cracovia Kraków,2015,Polish
17,17,Mateusz Argasiński,POL,M,1.87,81,01-08-95,Stalowa Wola,Stal Stalowa Wola,Cracovia Kraków,2015,Polish
18,18,Hubert Adamczyk,POL,M,1.74,69,23-02-98,Bydgoszcz,Chelsea,Cracovia Kraków,2015,Polish
19,19,Krystian Stępniowski,POL,G,1.91,80,05-12-92,Kraków,Puszcza Niepołomice,Cracovia Kraków,2015,Polish
21,21,Hubert Wołąkiewicz,POL,D,1.82,70,21-10-85,Skarżysko-Kamienna,Astra Giurgiu,Cracovia Kraków,2015,Polish
22,22,Jakub Wójcicki,POL,D,1.90,80,09-07-88,Warsaw,Zawisza Bydgoszcz,Cracovia Kraków,2015,Polish
23,23,Łukasz Zejdler,POL,M,1.72,64,22-03-92,Racibórz,Banik Ostrava,Cracovia Kraków,2015,Polish
24,24,Piotr Polczak,POL,D,1.92,75,25-09-86,Kraków,Volga Nizhny Novgorod,Cracovia Kraków,2015,Polish
26,26,Deleu,BRA,D,1.76,77,01-03-84,Penedo,Lechia Gdańsk,Cracovia Kraków,2015,Polish
27,27,Marcin Budziński,POL,M,1.84,80,06-07-90,Giżycko,Arka Gdynia,Cracovia Kraków,2015,Polish
29,29,Grzegorz Sandomierski,POL,G,1.96,87,05-09-89,Białystok,Zawisza Bydgoszcz,Cracovia Kraków,2015,Polish
30,30,Adam Wilk,POL,G,1.96,87,21-11-97,Kraków,None,Cracovia Kraków,2015,Polish
32,32,Krzysztof Szewczyk,POL,F,1.77,68,06-03-96,Bochnia,Krakus Nowa Huta,Cracovia Kraków,2015,Polish
41,44,Paweł Jaroszyński,POL,D,1.84,77,02-10-94,Lublin,Bogdanka Łęczna,Cracovia Kraków,2015,Polish
42,62,Erik Jendriek,SVK,F,1.76,74,26-10-86,Trstená,Spartak Trnava,Cracovia Kraków,2015,Polish
43,66,Jacek Jadanowski,POL,D,1.82,78,06-06-96,Gdańsk,Lechia Gdańsk,Cracovia Kraków,2015,Polish
44,67,Bartosz Kapustka,POL,M,1.79,60,23-12-96,Tarnów,Tarnovia Tarnów,Cracovia Kraków,2015,Polish
45,71,Anton Karachanakov,BUL,M,1.75,67,17-01-92,Novo Delchevo,Slavia Sofia,Cracovia Kraków,2015,Polish
46,74,Przemysław Pyrdek,POL,F,1.75,72,12-07-96,Rzeszów,CWKS Resovia,Cracovia Kraków,2015,Polish
47,94,Damian Drzewiecki,POL,G,1.84,74,25-06-94,Lublin,Bogdanka Łęczna,Cracovia Kraków,2015,Polish
