,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Douglas,G,"6'02""",13 03,23-03-80,Itaporanga,Coritiba,Acadιmica,2006,Portuguese
2,2,Joeano,F,"5'09""",11 05,12-08-79,Fortaleza,Beitar Jerusalem,Acadιmica,2006,Portuguese
3,3,Danilo,D,"6'00""",11 11,19-08-80,Mirassol,Coritiba,Acadιmica,2006,Portuguese
4,4,Kaká,D,"6'02""",12 11,16-05-81,,Grémio Jaciára,Acadιmica,2006,Portuguese
5,5,Alexandre,M,"5'09""",11 11,19-02-79,Brotas,Corinthians Alagoano,Acadιmica,2006,Portuguese
6,6,Roberto Brum,M,"5'08""",11 03,07-07-78,Rio de Janeiro,Coritiba,Acadιmica,2006,Portuguese
7,7,Hélder Barbosa,F,5'08'',10 08,25-05-87,Paredes,FC Porto,Acadιmica,2006,Portuguese
8,8,Paulo Sérgio,M,6'00'',13 03,21-07-81,Rio de Janeiro,Moreirense,Acadιmica,2006,Portuguese
9,9,Gélson Geraldo,F,5'11'',12 00,10-01-79,Curitiba,Malmo FF,Acadιmica,2006,Portuguese
10,10,Felipe Teixeira,F,5'09'',10 10,02-10-80,Paris,Paris-SG,Acadιmica,2006,Portuguese
11,11,Dionattan,M,5'11'',11 03,28-05-82,São Miguel do Iguaçu,Juventude,Acadιmica,2006,Portuguese
14,14,Leonel Jesus Medeiros,M,6'01'',13 01,14-04-77,Orléans,Vit. Guimarães,Acadιmica,2006,Portuguese
15,15,Eduardo,G,5'10'',11 03,10-12-78,Lousa,Sp. Pombal,Acadιmica,2006,Portuguese
16,16,Lino,D,6'00'',11 07,01-06-77,São Paulo,Juventude Caxias,Acadιmica,2006,Portuguese
17,17,Fausto,F,,,19-01-87,,None,Acadιmica,2006,Portuguese
18,18,Vítor Vinha,M,5'11'',11 03,11-11-85,Viseu,None,Acadιmica,2006,Portuguese
19,19,Miguel Pedro,F,5'09'',11 00,11-06-83,Porto,Desp. Aves,Acadιmica,2006,Portuguese
20,20,Lira,D,"5'10""",11 00,05-04-83,Paraná,Botafogo,Acadιmica,2006,Portuguese
21,21,Litos,D,6'01'',12 11,26-02-74,Paranhas,Málaga,Acadιmica,2006,Portuguese
22,22,Sarmento,F,"5'11""",10 12,16-03-85,Mortágua,None,Acadιmica,2006,Portuguese
23,23,Ito,D,,,24-05-87,,None,Acadιmica,2006,Portuguese
24,24,Pedro Roma,G,6'01'',13 01,13-08-70,Pombal,Gil Vicente,Acadιmica,2006,Portuguese
25,25,Fatih Sonkaya,D,"5'11""",13 05,01-07-81,Oitu,FC Porto,Acadιmica,2006,Portuguese
27,27,Nuno Luís,D,5'09'',11 09,15-01-75,Vila Franca de Xira,Nacional,Acadιmica,2006,Portuguese
28,28,Nuno Piloto,M,5'10'',11 07,19-03-82,Viseu,None,Acadιmica,2006,Portuguese
29,29,Szabolcs Gyánó,F,"6'01""",12 08,09-01-80,Dombóvár,Vasas,Acadιmica,2006,Portuguese
30,30,Raúl Henrique Estévez,F,5'08'',11 03,21-01-78,Lomas de Zamora,Racing,Acadιmica,2006,Portuguese
32,32,Miloš Pavlovic,F,"6'03""",12 11,27-11-83,,Voždovac,Acadιmica,2006,Portuguese
41,77,Dame N'Doye,M,,,21-02-85,,Al-Sadd Sports Club,Acadιmica,2006,Portuguese
42,82,Cláudio Pitbull,F,"5'08""",11  07,08-01-82,Porto  Alegre,FC Porto,Acadιmica,2006,Portuguese
43,99,Nestor Álvarez,F,"5'11""",12 08,04-11-80,Medellín,Deportes Tolima,Acadιmica,2006,Portuguese
1,1,Todor Kuchukov,G,"6'01""",12 08,06-09-78,Sofia,CSKA Sofia,Beira-Mar,2006,Portuguese
2,2,Reginaldo,D,5'11'',10 12,02-10-77,Presidente Prudente,Santa Cruz,Beira-Mar,2006,Portuguese
3,3,Yohanna Buba,D,6'01'',11  11,12-06-82,Balong,Estoril,Beira-Mar,2006,Portuguese
4,4,Ezequias,D,5'11'',10 12,28-01-81,Junidia,FC Porto,Beira-Mar,2006,Portuguese
5,5,Vasco Matos,M,5'09'',10  12,10-10-80,Lisbon,Olhanense,Beira-Mar,2006,Portuguese
7,7,Artur,F,"5'09""",10  12,18-02-84,Aveiro,Gafanha,Beira-Mar,2006,Portuguese
8,8,André Leão,M,6'00'',12 04,20-05-85,Freamunde,FC Porto B,Beira-Mar,2006,Portuguese
10,10,Luciano Ratinho,M,"5'08""",10 10,18-10-79,Ribeirão Preto,Paysandu,Beira-Mar,2006,Portuguese
11,11,Roma,F,"5'07""",11 07,16-02-85,João Pessoa,Valdevez,Beira-Mar,2006,Portuguese
12,12,Eduardo,G,"6'02""",13 03,19-09-82,Mirandela,Sporting Braga,Beira-Mar,2006,Portuguese
15,15,Mourtala Diakité,F,"6'02""",12 08,01-10-80,Bamako,Cercle Olympique Bamako,Beira-Mar,2006,Portuguese
19,19,Ricardo,D,"6'01""",12 02,19-08-80,Guimarães,Freamunde,Beira-Mar,2006,Portuguese
20,20,Tininho,D,"5'09""",11  11,13-10-80,Beira,Micaelense,Beira-Mar,2006,Portuguese
23,23,Rui Lima,F,5'09'',10  10,25-03-78,Oporto,Boavista,Beira-Mar,2006,Portuguese
25,25,Pedro Ribeiro,D,5'11'',10  03,08-02-79,Aveiro,None,Beira-Mar,2006,Portuguese
26,26,Emerson,M,"5'10""",12  11,11-07-82,,Est. Amadora,Beira-Mar,2006,Portuguese
28,28,Vukain Dević,D,"6'01""",11 11,15-03-84,Belgrade,Radnički Pirot,Beira-Mar,2006,Portuguese
30,30,Antolin Alcaraz,D,6'02'',12  13,30-07-82,Roque  Gonzalez,Fiorentina,Beira-Mar,2006,Portuguese
31,31,Leandro Makelele,M,5'07'',10 06,26-02-85,Salvador,Santo André,Beira-Mar,2006,Portuguese
33,33,Andrija Delibaić,F,"6'02""",13 03,24-04-81,Nikić,Mallorca,Beira-Mar,2006,Portuguese
35,35,Diego,M,6'02'',10 12,25-02-86,Porto União,Iraty,Beira-Mar,2006,Portuguese
36,36,Jorge  Silva,D,5'11'',12  04,04-12-75,Porto,Boavista,Beira-Mar,2006,Portuguese
40,40,Borko Veselinović,F,"5'10""",11 03,06-01-86,Belgrade,Partizan Belgrade,Beira-Mar,2006,Portuguese
41,55,Lamine Diarra,F,5'11'',11 00,20-12-83,Bignoma,Zrinjski Mostar,Beira-Mar,2006,Portuguese
42,77,Jorge Vidigal,D,"5'09""",11 11,20-01-78,Elvas,Olhanense,Beira-Mar,2006,Portuguese
43,80,Edgar,F,"6'03""",12  00,03-01-87,São  Carlos,Joinville,Beira-Mar,2006,Portuguese
44,88,Alê Montrinas,G,"6'00""",12 06,11-09-81,Brasília,Bragantino,Beira-Mar,2006,Portuguese
45,99,Matheus Nascimento,F,5'09'',10 10,15-01-83,Itabaiana,Sp. Braga,Beira-Mar,2006,Portuguese
1,1,Marco,G,"6'04""",12 13,01-03-78,Amares,Sporting Braga,Belenenses,2006,Portuguese
2,2,Amaral,D,"5'07""",10 12,28-02-72,Capivari,Leixões,Belenenses,2006,Portuguese
4,4,Rodrigo Alvim,D,6'00'',11 05,25-11-83,Paraná,Paraná,Belenenses,2006,Portuguese
5,5,Ruben Amorim,M,"5'10""",11 05,27-01-85,Lisbon,None,Belenenses,2006,Portuguese
6,6,Sandro Gaúcho,M,5'10'',12 01,19-05-74,Restinga Seca,Beira-Mar,Belenenses,2006,Portuguese
7,7,Mancuso,M,"5'10""",12 02,01-07-81,Conceição Rio Verde,Marítimo,Belenenses,2006,Portuguese
8,8,Eliseu,F,"5'09""",12 01,01-10-83,Acoras,Lusitãnia,Belenenses,2006,Portuguese
9,9,Romeu,F,5'11'',12 08,08-10-74,Santa Maria de Fiera,Vitória Guimarães,Belenenses,2006,Portuguese
10,10,Silas,M,"5'10""",11 00,01-09-76,Lisbon,Wolverhampton W,Belenenses,2006,Portuguese
11,11,José Pedro,M,"6'01""",12 01,18-10-78,Montijo,Vitória Setúbal,Belenenses,2006,Portuguese
13,13,Rolando,D,"6'02""",12 01,31-08-85,Cape Verde,None,Belenenses,2006,Portuguese
14,14,Mano,M,"5'06""",09 06,09-04-87,Lisbon,None,Belenenses,2006,Portuguese
16,16,José Carlos Sousa,D,5'11'',12 00,09-10-77,São João Madeira,FC Porto,Belenenses,2006,Portuguese
17,17,José Gaspar,D,6'03'',12 04,01-06-75,Santo Tirso,Ajaccio,Belenenses,2006,Portuguese
18,18,Pedro Pinheiro,M,"5'11""",11 05,17-02-77,Gaia,Estoril,Belenenses,2006,Portuguese
19,19,Roma,F,,,22-02-79,,Pumas,Belenenses,2006,Portuguese
21,21,Ivan Djurdjevic,M,"6'00""",12 08,05-02-77,Belgrade,Vitória Guimarães,Belenenses,2006,Portuguese
23,23,Sandro Moreira,M,"5'11""",09 06,11-03-87,Lisbon,None,Belenenses,2006,Portuguese
24,24,Carlitos,F,5'06'',10 06,06-03-77,Barcelos,Gil Vicente,Belenenses,2006,Portuguese
25,25,Nivaldo,D,"6'02""",11 11,23-06-80,Feira de Santana,Coritiba,Belenenses,2006,Portuguese
27,27,Cândido Costa,M,"5'10""",11 07,30-04-81,São João de Madeira,Sporting Braga,Belenenses,2006,Portuguese
28,28,Gonçalo Brandão,D,"6'00""",11 05,09-10-86,Lisbon,None,Belenenses,2006,Portuguese
30,30,Dady,F,"6'03""",13 03,13-08-81,Lisbon,Estoril,Belenenses,2006,Portuguese
41,73,Costinha,G,"6'00""",13 10,22-09-73,Braga,União Leiria,Belenenses,2006,Portuguese
42,77,Fernando,F,"5'10""",11 05,16-04-81,Guarajá,Académica,Belenenses,2006,Portuguese
