,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Romuald Peiser,FRA,G,1.87,79,03-08-79,Phalsbourg,Naval,Acadйmica,2011,Portuguese
2,2,João Dias,POR,D,1.80,70,23-12-86,Braga,Trofense,Acadйmica,2011,Portuguese
4,4,Flávio Ferreira,POR,M,1.80,75,19-10-91,Oliveira do Hospital,None,Acadйmica,2011,Portuguese
7,7,Hugo Morais,POR,M,1.83,81,12-02-78,Quatar,Leixões,Acadйmica,2011,Portuguese
8,8,Pape Habib Sow,SEN,D,1.80,76,02-12-85,Dakar,Châteauroux,Acadйmica,2011,Portuguese
9,9,Fábio Luis,BRA,F,1.83,85,02-08-83,Porto Alegre,Porto Alegre,Acadйmica,2011,Portuguese
10,10,Adrien Silva,POR,M,1.75,75,15-03-89,Angoulême,Sporting CP,Acadйmica,2011,Portuguese
12,12,Ricardo,POR,G,1.90,84,06-07-82,Póvoa do Varzim,Varzim,Acadйmica,2011,Portuguese
13,13,João Real,POR,D,1.85,83,13-05-83,Covilhã,Naval,Acadйmica,2011,Portuguese
14,14,Paulo Alves,POR,D,1.87,73,19-12-93,Lisbon,None,Acadйmica,2011,Portuguese
15,15,Orlando,POR,D,1.83,83,24-10-79,Santo Tirso,Freamunde,Acadйmica,2011,Portuguese
17,17,Éder,POR,F,1.88,81,22-12-87,Bissau,Tourizense,Acadйmica,2011,Portuguese
18,18,Judikael Magique,CIV,M,1.80,75,21-01-93,Abidjan,None,Acadйmica,2011,Portuguese
19,19,Rui Miguel,POR,F,1.83,79,30-01-84,Coimbra,Kilmarnock,Acadйmica,2011,Portuguese
20,20,Marinho,POR,M,1.66,62,26-04-83,Lisbon,Naval,Acadйmica,2011,Portuguese
21,21,Abdoulaye Ba,SEN,D,1.97,79,01-01-91,St. Louis,FC Porto,Acadйmica,2011,Portuguese
22,22,David Simão,POR,M,1.79,81,15-05-90,Versailles,Benfica,Acadйmica,2011,Portuguese
23,23,Diogo Valente,POR,M,1.76,74,23-09-84,Aveiro,Sporting Braga,Acadйmica,2011,Portuguese
24,24,Fábio Santos,POR,G,1.87,80,14-11-92,Penafiel,None,Acadйmica,2011,Portuguese
26,26,Nivaldo,CPV,D,1.79,71,10-07-88,São Nicolau,Tourizense,Acadйmica,2011,Portuguese
28,28,Willian Araújo,BRA,F,1.82,84,11-12-93,Montes Claros,Corinthians Alagoano,Acadйmica,2011,Portuguese
30,30,Ghislain Mvom,CMR,D,1.85,78,23-10-92,Yaoundé,Fortuna Yaoundé,Acadйmica,2011,Portuguese
35,35,Reiner Ferreira,BRA,D,1.85,74,17-11-85,São Paulo,Corinthians Alagoano,Acadйmica,2011,Portuguese
36,36,Edinho,POR,F,1.85,74,07-07-82,Aveiro,Málaga,Acadйmica,2011,Portuguese
39,39,Babia Issouf,CIV,D,1.85,72,02-01-93,Alépé,None,Acadйmica,2011,Portuguese
41,41,Cédric Soares,POR,D,1.72,67,31-08-91,Gelsenkirchen,Sporting CP,Acadйmica,2011,Portuguese
42,50,Diogo Melo,BRA,M,1.82,84,18-04-88,União dos Palmares,Portimonense,Acadйmica,2011,Portuguese
43,55,Hélder Cabral,POR,D,1.79,72,07-05-84,Peniche,Vejle,Acadйmica,2011,Portuguese
44,82,Saulo,BRA,F,1.76,74,18-02-82,Rio Verde,Rio Ave,Acadйmica,2011,Portuguese
45,85,Diogo Gomes,BRA,M,1.83,76,12-09-85,Curitiba,J. Malucelli,Acadйmica,2011,Portuguese
46,99,Danilo,BRA,M,1.76,72,28-05-85,São João da Barra,Macaé,Acadйmica,2011,Portuguese
1,1,Paes,BRA,G,1.89,87,11-12-82,Rio de Janeiro,Avaí,Beira-Mar,2011,Portuguese
2,2,Bura,POR,D,1.92,85,17-12-88,Matosinhos,FC Porto,Beira-Mar,2011,Portuguese
3,3,Édson,BRA,D,1.80,77,17-06-83,São Bernardo do Campo,Vitória Guimarães,Beira-Mar,2011,Portuguese
4,4,Yohan Tavares,FRA,D,1.88,79,02-03-88,Tours,Le Mans,Beira-Mar,2011,Portuguese
5,5,Hugo,POR,D,1.82,78,11-08-76,Braga,Vitória Setúbal,Beira-Mar,2011,Portuguese
6,6,Nuno Coelho,POR,M,1.81,73,23-11-87,Covilhã,Benfica,Beira-Mar,2011,Portuguese
7,7,Artur,POR,M,1.75,69,18-02-84,Cacia,None,Beira-Mar,2011,Portuguese
9,9,Élio,POR,F,1.85,73,26-03-85,Machico,Doxa Katokopia,Beira-Mar,2011,Portuguese
10,10,Cristiano,BRA,M,1.74,67,28-09-83,Manaus,Sporting CP,Beira-Mar,2011,Portuguese
