,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Roman Gerus,RUS,G,1.93,86,14-09-80,Krasnodar,Dynamo Bryansk,Amkar Perm,2015,Russian
3,3,Petar Zanev,BUL,D,1.80,70,18-10-85,Blagoevgrad,Volyn Lutsk,Amkar Perm,2015,Russian
4,4,Nikolay Zaytsev,RUS,D,1.91,89,01-06-89,Novorossiysk,FC Tosno,Amkar Perm,2015,Russian
5,5,Janusz Gol,POL,M,1.82,77,11-11-85,Świdnica,Legia Warszawa,Amkar Perm,2015,Russian
7,7,Georgi Peev,BUL,M,1.81,80,11-03-79,Sofia,Dynamo Kyiv,Amkar Perm,2015,Russian
8,8,Fegor Ogude,NGA,M,1.80,78,29-07-87,Lagos,Vålerenga,Amkar Perm,2015,Russian
9,9,Aleksandr Prudnikov,RUS,F,1.85,78,26-02-89,Smolensk,Dynamo Moscow,Amkar Perm,2015,Russian
10,10,Bright Dike,USA,F,1.85,100,02-02-87,Edmond,Toronto FC,Amkar Perm,2015,Russian
11,11,Chuma Anene,NOR,M,1.88,86,14-05-93,Oslo,Rabotnički Skopje,Amkar Perm,2015,Russian
13,13,Roland Gigolaev,RUS,D,1.76,73,04-01-90,Tbilisi,Ruch Chorzów,Amkar Perm,2015,Russian
14,14,Georgi Dzhikiya,RUS,D,1.83,73,21-11-93,Moscow,Khimik Dzerzhinsk,Amkar Perm,2015,Russian
15,15,Dmitriy Khomich,RUS,G,1.83,75,04-10-84,Vladikavkaz,Kairat Almaty,Amkar Perm,2015,Russian
16,16,Syarhey Balanovich,BLR,M,1.76,70,29-08-87,Pinsk,Shakhtyor Salihorsk,Amkar Perm,2015,Russian
17,17,David Dzakhov,RUS,M,1.84,79,06-10-88,Vladikavkaz,Neftekhimik Nizhnekamsk,Amkar Perm,2015,Russian
18,18,Aleksey Kurzenev,RUS,F,1.86,76,09-01-95,Kazan,CSKA Moscow-2,Amkar Perm,2015,Russian
19,19,Brian Idowu,RUS,D,1.80,75,18-05-92,St. Petersburg,Zenit-2,Amkar Perm,2015,Russian
20,20,Pavel Komolov,RUS,M,1.75,67,10-03-89,St. Petersburg,algiris Vilnius,Amkar Perm,2015,Russian
21,21,Dmitriy Belorukov,RUS,D,1.92,87,24-03-83,St. Petersburg,Anzhi Makhachkala,Amkar Perm,2015,Russian
22,22,Alikhan Shavaev,RUS,M,1.76,70,05-01-93,,Spartak Nalchik,Amkar Perm,2015,Russian
23,23,Ivan Cherenchikov,RUS,D,1.86,81,25-08-84,Ozyorsk,Amkar-2,Amkar Perm,2015,Russian
33,33,Branko Jovićić,SRB,M,1.79,74,18-03-93,Čačak,Borac Čačak,Amkar Perm,2015,Russian
36,36,Aleksandr Pantsyrev,RUS,M,1.78,70,08-12-93,Kazan,Amkar-2,Amkar Perm,2015,Russian
41,45,Andrey Pridyuk,RUS,D,1.80,72,25-02-94,Krasnokamsk,Amkar-2,Amkar Perm,2015,Russian
42,57,Aleksandr Selikhov,RUS,G,1.90,80,07-04-94,Orel,FC Orel,Amkar Perm,2015,Russian
43,77,Aleksandr Salugin,RUS,F,1.85,75,23-10-88,Moscow,Torpedo Moscow,Amkar Perm,2015,Russian
44,91,Bohdan Butko,UKR,D,1.80,68,13-01-91,Donetsk,Shakhtar Donetsk-2,Amkar Perm,2015,Russian
45,99,Oleh Mishchenko,UKR,F,1.80,74,10-10-89,Kyiv,Vorskla Poltava,Amkar Perm,2015,Russian
1,1,David Yurchenko,BLR,G,1.86,71,27-03-86,Ashgabat,FC Ufa,Anzhi Makhachkala,2015,Russian
3,3,Ali Gadzhibekov,RUS,D,1.80,72,06-08-89,Makhachkala,Anzhi-2,Anzhi Makhachkala,2015,Russian
4,4,Darko Lazić,SRB,D,1.89,80,19-07-94,Smederevska Palanka,Crvena Zvezda,Anzhi Makhachkala,2015,Russian
5,5,Aleksandr Zhirov,RUS,D,1.93,88,24-01-91,Barnaul,Volgar Astrakhan,Anzhi Makhachkala,2015,Russian
6,6,Karlen Mkrtchyan,ARM,M,1.75,76,25-11-88,Yerevan,Tobol Kostanay,Anzhi Makhachkala,2015,Russian
7,7,Kamil Agalarov,RUS,M,1.78,70,11-06-88,Makhachkala,FC Rostov,Anzhi Makhachkala,2015,Russian
8,8,Lorenzo Ebecilio,NED,M,1.75,70,24-09-91,Hoorn,Mordovia Saransk,Anzhi Makhachkala,2015,Russian
13,13,Rasim Tagirbekov,RUS,D,1.83,81,04-05-84,Makhachkala,Anzhi-2,Anzhi Makhachkala,2015,Russian
14,14,Bernard Berisha,ALB,M,1.69,66,24-10-91,Peć,Skënderbeu Korçë,Anzhi Makhachkala,2015,Russian
16,16,Yuriy Shafinskiy,RUS,G,1.90,82,06-05-94,Moscow,Torpedo Moscow-2,Anzhi Makhachkala,2015,Russian
18,18,Ivan Mayevskiy,BLR,M,1.89,80,05-05-88,Magdeburg,Zawisza Bydgoszcz,Anzhi Makhachkala,2015,Russian
20,20,Amadou Moutari,NIG,M,1.70,70,19-01-94,Arlit,Metalurh Donetsk,Anzhi Makhachkala,2015,Russian
25,25,Jonathan Mensah,GHA,D,1.88,75,13-07-90,Accra,Évian TG,Anzhi Makhachkala,2015,Russian
27,27,Mekhti Dzhenetov,RUS,G,1.90,83,26-01-92,Makhachkala,Anzhi-2,Anzhi Makhachkala,2015,Russian
30,30,Shamil Gasanov,RUS,D,1.85,79,30-07-93,Makhachkala,FC Podolye,Anzhi Makhachkala,2015,Russian
37,37,Batraz Khadartsev,RUS,M,1.73,73,23-05-93,Vladikavkaz,FC Tosno,Anzhi Makhachkala,2015,Russian
41,47,Tamirlan Dzamalutdinov,RUS,M,1.79,63,28-07-96,,Anzhi-2,Anzhi Makhachkala,2015,Russian
42,55,Evgeniy Pomazan,RUS,G,1.93,85,31-01-89,Angren,CSKA Moscow,Anzhi Makhachkala,2015,Russian
43,57,Magomed Musalov,RUS,D,1.80,72,09-02-94,Khushtada,Anzhi-2,Anzhi Makhachkala,2015,Russian
44,77,Georgiy Tigiev,RUS,D,1.76,77,26-05-95,Beslan,Torpedo Moscow,Anzhi Makhachkala,2015,Russian
45,87,Ilya Maksimov,RUS,M,1.83,74,02-02-87,Nizhny Novgorod,Krylia Sovetov,Anzhi Makhachkala,2015,Russian
46,88,Anvar Gazimagomedov,RUS,M,1.72,63,10-05-88,Makhachkala,Dagdizel Kaspiysk,Anzhi Makhachkala,2015,Russian
47,94,Yannick Boli,FRA,F,1.82,73,13-01-88,Saint-Maurice,Zorya Luhansk,Anzhi Makhachkala,2015,Russian
48,96,Dzhamal Dibirgadzhiyev,RUS,F,1.92,78,02-08-96,,Anzhi-2,Anzhi Makhachkala,2015,Russian
49,99,Islamnur Abdulavov,RUS,F,1.85,80,07-03-94,Makhachkala,Dynamo Kyiv,Anzhi Makhachkala,2015,Russian
1,1,Sergey Chepchugov,RUS,G,1.85,82,15-07-85,Krasnoyarsk,Sibir Novosibirsk,CSKA Moscow,2015,Russian
2,2,Mário Fernandes,BRA,D,1.89,77,19-09-90,São Caetano,Grêmio,CSKA Moscow,2015,Russian
3,3,Pontus Wernbloom,SWE,M,1.87,87,25-06-86,Kungälv,AZ Alkmaar,CSKA Moscow,2015,Russian
4,4,Sergey Ignashevich,RUS,D,1.86,75,14-07-79,Moscow,Lokomotiv Moscow,CSKA Moscow,2015,Russian
5,5,Viktor Vasin,RUS,D,1.92,80,06-10-88,St. Petersburg,Spartak Nalchik,CSKA Moscow,2015,Russian
6,6,Aleksey Berezutskiy,RUS,D,1.90,82,20-06-82,Moscow,Chernomorets,CSKA Moscow,2015,Russian
7,7,Zoran Toić,SRB,M,1.71,69,28-04-87,Zrenjanin,Manchester U,CSKA Moscow,2015,Russian
8,8,Kirill Panchenko,RUS,F,1.85,80,16-10-89,Stavropol,Tom Tomsk,CSKA Moscow,2015,Russian
10,10,Alan Dzagoev,RUS,M,1.79,70,17-06-90,Beslan,CSKA-2,CSKA Moscow,2015,Russian
14,14,Kirill Nababkin,RUS,D,1.76,71,08-09-86,Moscow,FC Moscow,CSKA Moscow,2015,Russian
15,15,Roman Shirokov,RUS,M,1.83,74,06-07-81,Dedovsk,Spartak Moscow,CSKA Moscow,2015,Russian
17,17,Sergey Tkachev,RUS,M,1.83,77,19-05-89,Boguchar,Kuban Krasnodar,CSKA Moscow,2015,Russian
18,18,Ahmed Musa,NGA,F,1.70,62,14-10-92,Bukuru,VVV Venlo,CSKA Moscow,2015,Russian
19,19,Aleksandrs Cauņa,LVA,M,1.74,66,19-01-88,Daugavpils,Skonto,CSKA Moscow,2015,Russian
