,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,James Langfield,G,"6'04""",13 00,22-12-79,Paisley,Dunfermline Ath,Aberdeen,2006,Scottish
2,2,Michael Hart,D,"5'10""",11 06,10-02-80,Bellshill,Livingston,Aberdeen,2006,Scottish
3,3,Richie Byrne,D,"6'01""",12  05,24-09-81,Dublin,Dunfermline Ath,Aberdeen,2006,Scottish
4,4,Russell Anderson,D,"5'11""",10 09,25-10-78,Aberdeen,Dyce Juniors,Aberdeen,2006,Scottish
5,5,Zander Diamond,D,6'01'',11  00,03-12-85,Alexandria,None,Aberdeen,2006,Scottish
6,6,Scott Severin,M,"5'11""",12 07,15-02-79,Stirling,Hearts,Aberdeen,2006,Scottish
7,7,Jamie Smith,F,"5'06""",10  12,20-11-80,Alexandria,ADO Den Haag,Aberdeen,2006,Scottish
8,8,Barry Nicholson,M,"5'08""",11 03,24-08-78,Dumfries,Dunfermline  Ath,Aberdeen,2006,Scottish
9,9,Steve Lovell,F,"5'11""",11 08,06-12-80,Amersham,Dundee,Aberdeen,2006,Scottish
10,10,Darren Mackie,F,"5'09""",10 00,05-01-82,Inverurie,Colony Boys Club,Aberdeen,2006,Scottish
11,11,Chris Clark,F,"5'07""",10 05,15-09-80,Aberdeen,Hermes,Aberdeen,2006,Scottish
14,14,Gary Dempsey,M,5'09'',10 00,15-01-81,Wexford,Dunfermline  Ath,Aberdeen,2006,Scottish
15,15,Karim Touzani,D,"6'00""",11 11,11-09-80,Amsterdam,FC Twente,Aberdeen,2006,Scottish
16,16,Lee Miller,F,"6'02""",11  07,18-05-83,Lanark,Dundee U,Aberdeen,2006,Scottish
17,17,Dan Smith,D,"5'10""",10  08,05-10-86,Sunderland,Sunderland,Aberdeen,2006,Scottish
18,18,Jamie  Winter,F,"5'10""",13  04,04-08-85,Dundee,Leeds U,Aberdeen,2006,Scottish
19,19,Richard  Foster,M,"5'09""",10  08,31-07-85,Aberdeen,Elgin BC,Aberdeen,2006,Scottish
20,20,Derek Soutar,G,"6'01""",12  00,04-06-81,Dundee,Dundee,Aberdeen,2006,Scottish
21,21,Andrew Considine,D,"6'05""",11  02,01-04-87,Aberdeen,None,Aberdeen,2006,Scottish
23,23,Craig Brewster,F,"6'01""",12 09,13-12-66,Dundee,Dundee U,Aberdeen,2006,Scottish
24,24,David Donald,D,"5'07""",10  13,11-09-87,Aberdeen,Glendale,Aberdeen,2006,Scottish
25,25,Chris Maguire,F,"5'07""",10  06,16-01-89,Bellshill,None,Aberdeen,2006,Scottish
26,26,Dyron Daal,F,"6'04""",13  05,11-10-83,Amsterdam,DWS,Aberdeen,2006,Scottish
27,27,Stuart Smith,F,,,06-07-89,,None,Aberdeen,2006,Scottish
29,29,Michael Paton,F,"5'10""",11 03,25-03-89,Greenock,None,Aberdeen,2006,Scottish
1,1,Artur Boruc,G,"6'04""",13  12,20-02-80,Siedlce,Legia  Warszawa,Celtic,2006,Scottish
3,3,Lee Naylor,D,"5'08""",11 08,19-03-80,Bloxwich,Wolverhampton  W,Celtic,2006,Scottish
4,4,Adam Virgo,D,"6'01""",13  12,25-01-83,Brighton,Brighton & HA,Celtic,2006,Scottish
5,5,Gary Caldwell,D,"5'11""",11 10,12-04-82,Stirling,Hibernian,Celtic,2006,Scottish
6,6,Bobo Balde,D,"6'03""",13 06,13-10-75,Marseille,Toulouse,Celtic,2006,Scottish
7,7,Maciej  Żurawski,F,"5'11""",12 00,12-09-76,Poznań,Wisła  Kraków,Celtic,2006,Scottish
9,9,Kenny Miller,F,"5'09""",10 09,23-12-79,Edinburgh,Wolverhampton  W,Celtic,2006,Scottish
10,10,Jan Vennegoor of Hesselink,F,"6'02""",13 05,07-11-78,Oldenzaal,PSV Eindhoven,Celtic,2006,Scottish
11,11,Paul Hartley,M,"5'08""",10  00,19-10-76,Glasgow,Hearts,Celtic,2006,Scottish
12,12,Mark  Wilson,D,"5'11""",11  13,05-06-84,Glasgow,Dundee U,Celtic,2006,Scottish
14,14,Derek Riordan,F,5'11'',10 04,16-01-83,Edinburgh,Hibernian,Celtic,2006,Scottish
15,15,Evander  Sno,D,"6'02""",12 08,09-04-87,Dordrecht,Feyenoord,Celtic,2006,Scottish
16,16,Thomas Gravesen,M,"5'10""",13 06,11-03-76,Vejle,Real  Madrid,Celtic,2006,Scottish
17,17,Steven Pressley,D,"6'00""",12 06,11-10-73,Elgin,Hearts,Celtic,2006,Scottish
18,18,Neil Lennon,M,"5'09""",12 02,25-06-71,Lurgan,Leicester C,Celtic,2006,Scottish
20,20,Jiří  Jaroík,M,"6'04""",13  03,27-10-77,Ústí  Nad Labem,Chelsea,Celtic,2006,Scottish
21,21,Mark Brown,G,"6'01""",13 02,28-02-81,Motherwell,Inverness CT,Celtic,2006,Scottish
22,22,David  Marshall,G,"6'03""",13  00,05-03-85,Glasgow,Celtic BC,Celtic,2006,Scottish
24,24,Jean-Joël  Perrier Doumbe,D,"5'10""",11  09,27-09-78,Paris,Rennes,Celtic,2006,Scottish
