,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,James Langfield,SCO,G,1.93,83,22-12-79,Paisley,Dunfermline Ath,Aberdeen,2013,Scottish
2,2,Joe Shaughnessy,IRL,D,1.83,69,06-07-92,Oughterard,Salthill Devon,Aberdeen,2013,Scottish
3,3,Clark Robertson,SCO,D,1.88,76,05-09-93,Aberdeen,None,Aberdeen,2013,Scottish
4,4,Russell Anderson,SCO,D,1.80,68,25-10-78,Aberdeen,Derby Co,Aberdeen,2013,Scottish
5,5,Andrew Considine,SCO,D,1.83,75,01-04-87,Aberdeen,None,Aberdeen,2013,Scottish
6,6,Mark Reynolds,SCO,D,1.80,67,07-05-87,Motherwell,Sheffield W,Aberdeen,2013,Scottish
7,7,Calvin Zola,COD,F,1.91,86,31-12-84,Kinshasa,Burton Alb,Aberdeen,2013,Scottish
8,8,Willo Flood,IRL,M,1.68,62,10-04-85,Dublin,Dundee U,Aberdeen,2013,Scottish
9,9,Scott Vernon,ENG,F,1.85,73,13-12-83,Manchester,Colchester U,Aberdeen,2013,Scottish
10,10,Niall McGinn,NIR,M,1.83,83,20-07-87,Dungannon,Celtic,Aberdeen,2013,Scottish
11,11,Jonathan Hayes,IRL,F,1.70,70,09-07-87,Ballyfermot,Inverness CT,Aberdeen,2013,Scottish
14,14,Cammy Smith,SCO,F,1.75,68,24-08-95,Aberdeen,None,Aberdeen,2013,Scottish
15,15,Barry Robson,SCO,M,1.80,70,07-11-78,Aberdeen,Sheffield U,Aberdeen,2013,Scottish
16,16,Peter Pawlett,SCO,M,1.78,68,03-02-91,Hull,None,Aberdeen,2013,Scottish
17,17,Adam Rooney,IRL,F,1.78,78,21-04-88,Dublin,Oldham Ath,Aberdeen,2013,Scottish
18,18,Nicky Low,SCO,D,1.68,64,06-01-92,Greenock,None,Aberdeen,2013,Scottish
20,20,Nick Weaver,ENG,G,1.93,92,02-03-79,Sheffield,Sheffield W,Aberdeen,2013,Scottish
22,22,Ryan Jack,SCO,D,1.82,77,27-02-92,Aberdeen,None,Aberdeen,2013,Scottish
23,23,Jamie Masson,SCO,M,1.70,64,05-04-93,Fraserburgh,None,Aberdeen,2013,Scottish
24,24,Declan McManus,SCO,F,1.80,75,03-08-94,Glasgow,None,Aberdeen,2013,Scottish
26,26,Craig Storie,SCO,M,1.75,71,13-01-96,Lanark,None,Aberdeen,2013,Scottish
28,28,Alan Tate,ENG,D,1.85,85,02-09-82,Easington,Swansea C,Aberdeen,2013,Scottish
29,29,Shaleum Logan,ENG,D,1.85,79,06-11-88,Manchester,Brentford,Aberdeen,2013,Scottish
30,30,Danny Rogers,IRL,G,1.85,77,23-03-94,Dublin,None,Aberdeen,2013,Scottish
35,35,Craig Murray,SCO,D,1.80,75,17-07-94,Bellshill,None,Aberdeen,2013,Scottish
41,46,Scott McKenna,SCO,D,1.88,73,12-11-96,Dundee,None,Aberdeen,2013,Scottish
