Number,Name,Pos,Date of Birth,Birth Place,Previous Club,Current Club,Year
1,Franco Costanzo,G,09-05-80,Río Cuarto,River Plate,Alavés,2005
2,David Coromina,D,09-09-74,Santa Pau,Racing Santander,Alavés,2005
3,Mauricio Pellegrino,D,10-05-71,Leones,Liverpool,Alavés,2005
4,Juanito,M,17-02-80,Málaga,Málaga,Alavés,2005
5,Josu Sarriegi,D,01-10-79,Lazcano,Eibar,Alavés,2005
6,Ibón Begoña,D,17-11-73,Bilbao,Nàstic,Alavés,2005
7,Blagoy Georgiev,M,21-12-81,Sofia,Slavia Sofia,Alavés,2005
8,Antonio Pacheco,F,04-11-76,Montevideo,Albacete,Alavés,2005
9,Rubén Navarro,F,06-06-78,Sallent,Numancia,Alavés,2005
10,Enrique De Lucas,M,17-08-78,Hospitalet de Llobregat,Chelsea,Alavés,2005
11,Pape Thiaw,F,02-05-81,Khombolé,Metz,Alavés,2005
12,Gaspar,D,07-07-79,Córdoba,Albacete,Alavés,2005
13,Nicolas Ardouin,G,02-07-78,La Rochelle,Valence,Alavés,2005
14,Élton,M,09-03-83,Porto Alegre,Santos,Alavés,2005
15,Santiago Carpintero,M,28-09-76,León,Levante,Alavés,2005
16,Poli,D,20-03-77,Seville,Mallorca,Alavés,2005
17,Edu Alonso,D,30-05-74,Bilbao,Las Palmas,Alavés,2005
18,Martin Astudillo,F,07-10-77,Mendoza,Gimnasia y Esgrima (Jujuy),Alavés,2005
19,Rodolfo Bodipo,F,25-10-77,Seville,Racing Santander,Alavés,2005
20,José María Mena,F,28-09-78,Talavera de la Reina,Xerez,Alavés,2005
21,Jandro,M,27-02-79,Mieres,Celta Vigo,Alavés,2005
22,John Aloisi,F,02-05-76,Adelaide,Osasuna,Alavés,2005
23,Nené,M,19-07-81,São Paulo,Santos,Alavés,2005
24,Arthuro Bernhardt,F,27-08-82,Florianapolis,Racing Santander B,Alavés,2005
25,Roberto Bonano,G,24-01-70,Rosario,Real Murcia,Alavés,2005
26,Medhí Lacen,D,15-03-84,Versailles,Valence,Alavés,2005
27,Claude Gnakpa,D,06-09-83,Marseille,Racing Santander B,Alavés,2005
1,Iñaki Lafuente,G,24-01-76,Barakaldo,Athletic Bilbao B,Athletic Bilbao,2005
2,Unai Expósito,D,23-01-80,Barakaldo,Osasuna,Athletic Bilbao,2005
3,Javier Casas,D,05-09-82,Bilbao,Athletic Bilbao B,Athletic Bilbao,2005
5,Felipe Gurendez,M,18-11-75,Vitoria,Osasuna,Athletic Bilbao,2005
6,Endika Bordas,M,03-08-82,Bermeo,Athletic Bilbao B,Athletic Bilbao,2005
7,Tiko,M,15-09-76,Pamplona,Osasuna,Athletic Bilbao,2005
