,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Iñaki Lafuente,G,6'01'',12  06,24-01-76,Barakaldo,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
2,2,Unai  Expósito,D,5'09'',11  00,23-01-80,Barakaldo,Osasuna,Athletic Bilbao,2006,Spanish
3,3,Javier Casas,D,"5'11""",13  05,09-05-82,Bilbao,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
4,4,Ustaritz,D,"6'00""",10  12,16-02-83,Abadiño,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
5,5,Fernando  Amorebieta,D,"6'03""",12  01,21-03-85,Iurreta,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
6,6,Josu Sarriegi,D,6'01'',12  08,10-01-79,Lazcano,Alavés,Athletic Bilbao,2006,Spanish
7,7,Tiko,M,5'10'',11  09,15-09-76,Pamplona,Osasuna,Athletic Bilbao,2006,Spanish
8,8,Joseba  Garmendia,M,"6'00""",11  00,04-10-85,Basauri,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
9,9,Fernando  Llorente,F,"6'04""",13  12,26-02-85,Iruñea,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
10,10,Francisco Yeste,M,6'00'',11  00,06-12-79,Bilbao,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
11,11,Igor Gabilondo,M,6'00'',12  01,10-02-79,Donostia,Real  Sociedad,Athletic Bilbao,2006,Spanish
12,12,Ivan  Zubiaurre,D,"5'09""",11  11,22-01-83,Mendaro,Real  Sociedad B,Athletic Bilbao,2006,Spanish
13,13,Daniel  Aranzubia,G,6'00'',12  08,18-09-79,Logroño,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
14,14,Luis Prieto,D,5'11'',12  00,19-02-79,Bilbao,Eibar,Athletic Bilbao,2006,Spanish
15,15,Andoni  Iraola,M,"5'11""",11  03,22-06-82,Usúrbil,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
16,16,Javi  González,M,5'11'',11  07,22-03-74,Barakaldo,Celta Vigo,Athletic Bilbao,2006,Spanish
17,17,Joseba  Etxeberría,F,5'10'',11  05,05-09-77,Elgoibar,Real Sociedad,Athletic Bilbao,2006,Spanish
18,18,Carlos  Gurpegi,M,5'11'',11  11,19-08-80,Pamplona,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
19,19,Ander Murillo,D,6'00'',12  00,22-07-83,San Sebastián,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
20,20,Ismael  Urzáiz,F,6'02'',13  03,07-10-71,Tudela,Espanyol,Athletic Bilbao,2006,Spanish
21,21,Mikel  Dañobeitia,F,"5'10""",11  09,05-03-86,Barakaldo,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
22,22,Javier  Iturriaga,M,"5'10""",11  05,03-11-83,Mexico City,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
23,23,Aritz Aduriz,F,"5'10""",11  11,11-02-81,San  Sebastián,Valladolid,Athletic Bilbao,2006,Spanish
24,24,Javi  Martínez,M,"6'03""",12  11,02-09-88,Lizarra,Osasuna B,Athletic Bilbao,2006,Spanish
25,25,Unai Alba,G,"6'03""",13 03,19-02-78,Oiartzun,Barakaldo,Athletic Bilbao,2006,Spanish
26,26,Aitor  Alcalde,G,"6'01""",12  01,22-05-85,Erandio,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
29,29,Beñat,M,"5'09""",11  05,19-02-87,Igorre,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
32,32,Anaitz Arbilla,D,"5'10""",11 11,15-05-87,Iruñea,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
41,45,Gaizka  Bergara,D,"5'10""",12  00,07-02-86,Bilbao,Athletic  Bilbao B,Athletic Bilbao,2006,Spanish
1,1,Iván  Cuéllar,G,"6'03""",12  00,25-05-84,Mérida,Atlético  Madrid B,Atlético Madrid,2006,Spanish
2,2,Georgios  Seitaridis,D,"6'01""",12  06,04-06-81,Piraeus,Dynamo  Moscow,Atlético Madrid,2006,Spanish
3,3,Antonio López,D,5'09'',11 00,13-09-81,Benidorm,Osasuna,Atlético Madrid,2006,Spanish
4,4,Mariano  Pernía,D,5'10'',12  06,05-04-74,Capital  Federal,Getafe,Atlético Madrid,2006,Spanish
5,5,Peter Luccin,M,5'11'',11  00,09-04-79,Marseille,Celta Vigo,Atlético Madrid,2006,Spanish
6,6,Costinha,M,5'11'',11  09,01-12-74,Lisbon,Dynamo  Moscow,Atlético Madrid,2006,Spanish
7,7,Luciano Galletti,M,5'09'',11  11,09-04-80,Mar del Plata,Zaragoza,Atlético Madrid,2006,Spanish
8,8,Gabi,M,"5'10""",10  10,10-07-83,Madrid,Atlético  Madrid B,Atlético Madrid,2006,Spanish
9,9,Fernando Torres,F,6'01'',11  05,20-03-84,Madrid,Atlético  Madrid B,Atlético Madrid,2006,Spanish
10,10,Sergio  Agüero,F,"5'08""",11 09,02-06-88,Capital Federal,Independiente,Atlético Madrid,2006,Spanish
11,11,Maxi  Rodríguez,M,5'09'',11  11,02-01-81,Rosario,Espanyol,Atlético Madrid,2006,Spanish
12,12,Fabiano Eller,D,"6'00""",11 11,16-11-77,Fortaleza,Trabzonspor,Atlético Madrid,2006,Spanish
14,14,Zé Castro,D,6'00'',12 00,13-01-83,Coimbra,Académica,Atlético Madrid,2006,Spanish
15,15,José  Manuel Jurado,M,"5'09""",11  05,29-06-86,Sanlúcar  de Barrameda,Real  Madrid B,Atlético Madrid,2006,Spanish
17,17,Martin Petrov,F,5'11'',12  00,15-01-79,Vzatza,Wolfsburg,Atlético Madrid,2006,Spanish
18,18,Juan Valera,D,"6'00""",11  05,21-12-84,La Copa de  Bullas,Murcia,Atlético Madrid,2006,Spanish
19,19,Miguel,M,"5'06""",10  03,19-06-86,Alicante,Hércules,Atlético Madrid,2006,Spanish
20,20,Maniche,M,5'08'',10  12,11-11-77,Lisbon,Dynamo  Moscow,Atlético Madrid,2006,Spanish
21,21,Luis  Amaranto Perea,D,"5'11""",12  00,30-01-79,Turbo Antioquia,Boca Juniors,Atlético Madrid,2006,Spanish
22,22,Pablo,D,6'04'',12  08,03-08-81,Madrigueras,Albacete,Atlético Madrid,2006,Spanish
23,23,Mista,F,6'00'',11  09,12-11-78,Murcia,Valencia,Atlético Madrid,2006,Spanish
25,25,Leo Franco,G,6'02'',13  05,20-05-77,San Nicolas,Mallorca,Atlético Madrid,2006,Spanish
26,26,Roberto Batres,M,"6'03""",12 06,08-01-86,Madrid,Atlético  Madrid B,Atlético Madrid,2006,Spanish
27,27,Jacobo,F,"5'11""",10  06,04-02-84,Madrid,Atlético  Madrid B,Atlético Madrid,2006,Spanish
28,28,Fernando Marqués,M,"5'10""",11 00,04-12-84,Madrid,Atlético  Madrid B,Atlético Madrid,2006,Spanish
29,29,Federico  Azcárate,D,"6'03""",12  13,15-06-84,Mar del  Plata,Atlético  Madrid B,Atlético Madrid,2006,Spanish
33,33,Javi  Ballesteros,F,"6'00""",12  06,21-08-84,Montamarta,Atlético  Madrid B,Atlético Madrid,2006,Spanish
35,35,Segovia Rufino,F,"5'09""",11 09,01-03-83,Madrid,Atlético  Madrid B,Atlético Madrid,2006,Spanish
38,38,Miguel Ramos,F,"6'01""",11  11,09-03-84,Quart de  Poblet,Atlético  Madrid B,Atlético Madrid,2006,Spanish
41,41,Roberto,G,"6'04""",13  08,10-02-86,Madrid,Atlético  Madrid B,Atlético Madrid,2006,Spanish
42,45,Víctor  Bravo,M,"6'00""",12  00,23-08-83,Zaragoza,Atlético  Madrid B,Atlético Madrid,2006,Spanish
