,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Gorka Iraizoz,ESP,G,1.91,81,06-03-81,Pamplona,Espanyol,Athletic Bilbao,2012,Spanish
2,2,Gaizka Toquero,ESP,M,1.82,72,09-08-84,Vitoria,Sestao River,Athletic Bilbao,2012,Spanish
3,3,Jon Aurtenetxe,ESP,D,1.82,78,03-01-92,Bizkaia,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
4,4,Aymeric Laporte,FRA,D,1.89,85,27-05-94,Agen,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
5,5,Fernando Amorebieta,VEN,D,1.92,85,21-03-85,Iurreta,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
6,6,Mikel San José,ESP,D,1.83,78,30-05-89,Pamplona,Liverpool,Athletic Bilbao,2012,Spanish
8,8,Ander Iturraspe,ESP,M,1.87,73,08-03-89,Abadiño,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
9,9,Fernando Llorente,ESP,F,1.95,94,26-02-85,Iruñea,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
10,10,Óscar de Marcos,ESP,M,1.80,73,14-04-89,Vitoria,Alavés,Athletic Bilbao,2012,Spanish
11,11,Ibai Gómez,ESP,F,1.79,73,11-11-89,Bilbao,Sestao River,Athletic Bilbao,2012,Spanish
13,13,Raúl,ESP,G,1.96,88,13-03-88,Bilbao,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
14,14,Markel Susaeta,ESP,M,1.79,68,14-12-87,Eibar,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
15,15,Andoni Iraola,ESP,D,1.82,74,22-06-82,Usúrbil,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
16,16,Isma López,ESP,F,1.80,76,29-01-90,Pamplona,Lugo,Athletic Bilbao,2012,Spanish
17,17,Íñigo Pérez,ESP,M,1.78,74,18-01-88,Iruñea,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
18,18,Carlos Gurpegi,ESP,M,1.81,77,19-08-80,Pamplona,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
19,19,Iker Muniain,ESP,F,1.68,62,19-12-92,Iruñea,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
20,20,Aritz Aduriz,ESP,F,1.77,75,11-02-81,San Sebastián,Valencia,Athletic Bilbao,2012,Spanish
21,21,Ander Herrera,ESP,M,1.81,68,14-08-89,Bilbao,Zaragoza,Athletic Bilbao,2012,Spanish
22,22,Xabier Castillo,ESP,D,1.82,71,29-03-86,Durango,Real Sociedad,Athletic Bilbao,2012,Spanish
23,23,Borja Ekiza,ESP,D,1.80,73,06-03-88,Iruñea,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
26,26,Igor Martínez,ESP,M,1.70,65,19-07-89,Vitoria,Alavés,Athletic Bilbao,2012,Spanish
27,27,Iñigo Ruiz de Galarreta,ESP,M,1.74,66,06-08-93,San Sebastián,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
28,28,Jonás Ramalho,ESP,D,1.80,64,10-06-93,Barakaldo,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
29,29,Markel Etxeberria,ESP,D,1.76,74,15-02-95,Erandio,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
30,30,Kepa Arrizabalaga,ESP,G,1.86,81,03-10-94,Ondarroa,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
31,31,Guillermo,ESP,F,1.78,71,23-05-93,Bilbao,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
32,32,Enric Saborit,ESP,M,1.86,72,27-04-92,Barcelona,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
33,33,Iker Undabarrena,ESP,M,1.80,75,18-05-95,Gorliz,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
34,34,Aitor Seguín,ESP,M,1.79,67,27-04-95,Eibar,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
35,35,Ager Aketxe,ESP,M,1.74,70,30-12-93,Bilbao,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
36,36,Íñigo Eguaras,ESP,M,1.81,76,07-03-92,Antsoain,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
37,37,Iker Guarrotxena,ESP,M,1.77,67,06-12-92,Bilbao,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
39,39,Erik Morán,ESP,M,1.87,75,25-05-91,Portugalete,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
40,40,Álvaro Peña,ESP,M,1.78,70,24-10-91,Bilbao,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
41,41,Jonxa,ESP,M,1.72,61,20-07-91,Leioa,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
42,42,Gorka Santamaría,ESP,F,1.75,68,03-07-95,Bilbao,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
43,43,Martín Bengoa,ESP,M,1.75,71,21-11-94,Otxandio,Athletic Bilbao B,Athletic Bilbao,2012,Spanish
1,1,Sergio Asenjo,ESP,G,1.82,85,28-06-89,Palencia,Valladolid,Atlético Madrid,2012,Spanish
2,2,Diego Godín,URU,D,1.85,73,16-02-86,Rosario,Villarreal,Atlético Madrid,2012,Spanish
3,3,Filipe Luis,BRA,D,1.82,70,09-08-85,Jaraguá do Sul,Deportivo La Coruña,Atlético Madrid,2012,Spanish
