,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Erland Hellström,G,"6'02""",14 00,16-12-80,Kaiserslautern,Hammarby IF,Assyriska FF,2005,Swedish
2,2,Zoran Manovic,D,"6'01""",13 01,22-12-68,,Mjällby AIF,Assyriska FF,2005,Swedish
3,3,David Nordbeck,M,"5'10""",13 01,28-05-78,Stockholm,Cafe Opera,Assyriska FF,2005,Swedish
4,4,Pierre Bengtsson,D,"6'03""",12 08,01-05-79,,Tyresö FF,Assyriska FF,2005,Swedish
5,5,David Durmaz,D,"5'10""",11 11,21-12-81,,Syrianska SK,Assyriska FF,2005,Swedish
6,6,Johan Ländin,D,"5'09""",12 01,06-10-73,,Älvsjö AIK,Assyriska FF,2005,Swedish
7,7,Ivan Isakovic,M,"6'00""",12 01,21-01-78,,Macva,Assyriska FF,2005,Swedish
10,10,Melke Demir,M,"5'11""",11 07,27-10-80,,None,Assyriska FF,2005,Swedish
11,11,Dani Hamzo,F,"5'10""",11 07,18-06-78,,IFK  Norrköping,Assyriska FF,2005,Swedish
12,12,Michel Noyan,M,"6'00""",11 05,16-04-85,,Alby IF,Assyriska FF,2005,Swedish
13,13,Kaspars Gorkss,D,"6'03""",13 05,06-11-81,,Östers IF,Assyriska FF,2005,Swedish
14,14,Charles Sampson,D,"5'09""",11 09,24-11-80,,AO Kalamata,Assyriska FF,2005,Swedish
15,15,Ibrahim Atiku,M,"5'08""",11 03,20-05-83,,Västerås  SK,Assyriska FF,2005,Swedish
16,16,Kabba Samura,F,"5'09""",11 09,26-10-81,,IFK Göteborg,Assyriska FF,2005,Swedish
17,17,Bobil Awrohum  Oyal,M,"5'08""",11 00,18-09-85,,None,Assyriska FF,2005,Swedish
18,18,Eddie Moussa,F,"5'07""",10 06,20-03-84,,None,Assyriska FF,2005,Swedish
19,19,Naramsin Awrohum  Oyal,D,"5'08""",10 08,20-01-85,,None,Assyriska FF,2005,Swedish
20,20,Stefan Batan,M,"5'09""",11 05,20-03-85,,None,Assyriska FF,2005,Swedish
21,21,Simon Masso,G,"6'02""",11 09,05-04-84,,None,Assyriska FF,2005,Swedish
23,23,Elias Malke-Gharo,F,"5'09""",11 05,21-09-84,,None,Assyriska FF,2005,Swedish
24,24,Thomas Thudin,G,"6'00""",12 08,30-07-73,,Väsby IF,Assyriska FF,2005,Swedish
25,25,George  Cansu,M,,,14-01-86,,AIK  Solna,Assyriska FF,2005,Swedish
26,26,Elias  Merkes,M,,,08-01-87,,None,Assyriska FF,2005,Swedish
33,33,Hasan Cetinkaya,M,"5'10""",12 13,27-01-77,,Landskrona  BoIS,Assyriska FF,2005,Swedish
41,,Gabriel Ucar,D,"5'09""",11 11,12-03-82,,Landskrona  BoIS,Assyriska FF,2005,Swedish
42,,Mateus  Henrique Fonseca Lopes,F,"6'00""",11  07,21-11-76,,Portimonense,Assyriska FF,2005,Swedish
43,,Adelino  Lopes,M,,,07-12-75,,,Assyriska FF,2005,Swedish
2,2,Matias Concha,D,"5'11""",12 13,31-03-80,Malmö,Malmö FF,Djurgårdens IF,2005,Swedish
3,3,Fredrik Stenman,D,"6'02""",12 13,02-06-83,Köping,Västerås SK,Djurgårdens IF,2005,Swedish
5,5,Sölvi Geir Ottesen,D,"6'03""",12 13,18-02-84,,Vikingur Reykjavik FC,Djurgårdens IF,2005,Swedish
6,6,Toni Kuivasto,D,"6'02""",13 01,31-12-75,,Viking  FK,Djurgårdens IF,2005,Swedish
7,7,Johan Arneng,M,"5'09""",11 11,15-06-79,Uddevalle,Vålerenga IF,Djurgårdens IF,2005,Swedish
8,8,Tobias Hysén,M,"5'10""",11 11,09-03-82,Gothenburg,BK Häcken,Djurgårdens IF,2005,Swedish
9,9,Jones Kusi-Asare,F,"5'10""",11 11,21-05-80,,Landskrona BoIS,Djurgårdens IF,2005,Swedish
10,10,"Feliciano ""Felix"" Magro",M,"6'00""",12 00,02-02-79,Zürich,Landskrona BoIS,Djurgårdens IF,2005,Swedish
11,11,Daniel Sjölund,F,"5'11""",12 00,22-04-83,Mariehamn,IFK  Mariehamn,Djurgårdens IF,2005,Swedish
12,12,Mattias  Jonson,F,"5'10""",12  01,16-01-74,Gothenburg,Norwich  C,Djurgårdens IF,2005,Swedish
13,13,Stefan Bergtoft,M,"5'10""",11 05,24-03-79,,Spånga IS,Djurgårdens IF,2005,Swedish
14,14,Kári  Árnason,M,"6'03""",12 06,13-10-82,,Víkingur Reykjavik FC,Djurgårdens IF,2005,Swedish
15,15,Pa Dembo Tourray,G,"6'06""",15 06,31-03-80,Banjul,Vålerenga IF,Djurgårdens IF,2005,Swedish
16,16,Markus Johannesson,M,"6'01""",13 03,29-05-75,,Örgryte IS,Djurgårdens IF,2005,Swedish
18,18,Niclas Rasck,D,"5'10""",11 09,10-03-69,,Örebro SK,Djurgårdens IF,2005,Swedish
