,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
2,2,Niklas Backman,SWE,D,1.86,80,13-11-88,Västerås,Väsby United,AIK,2011,Swedish
3,3,Per Karlsson,SWE,D,1.84,81,02-01-86,Stockholm,Vasalunds IF,AIK,2011,Swedish
4,4,Nils-Eric Johansson,SWE,D,1.87,83,13-01-80,Stockholm,Leicester C,AIK,2011,Swedish
5,5,Robert Åhman-Persson,SWE,M,1.88,84,26-03-87,Uppsala,Malmö FF,AIK,2011,Swedish
6,6,Alexander Miloević,SWE,D,1.91,82,30-01-92,Sundbyberg,Vasalunds IF,AIK,2011,Swedish
7,7,Helgi Daníelsson,ISL,M,1.86,76,13-07-81,Reykjavik,Hansa Rostock,AIK,2011,Swedish
8,8,Daniel Tjernström,SWE,M,1.81,83,19-02-74,Karlskoga,Örebro SK,AIK,2011,Swedish
9,9,Martin Kayongo-Mutumba,UGA,M,1.77,74,15-06-85,Solna,Videoton,AIK,2011,Swedish
12,12,Christian Kouakou,SWE,F,1.80,76,20-04-95,Solna,None,AIK,2011,Swedish
13,13,Kenny Stamatopoulos,CAN,G,1.90,83,28-08-79,Kalamata,Tromsø,AIK,2011,Swedish
14,14,Kenny Pavey,ENG,M,1.78,72,23-08-79,London,Ljungskile SK,AIK,2011,Swedish
16,16,Martin Lorentzson,SWE,D,1.79,72,21-07-84,Östertälje,Assyriska FF,AIK,2011,Swedish
17,17,Jacob Ericsson,SWE,D,1.80,65,17-09-93,,Sommarro IF,AIK,2011,Swedish
18,18,Niklas Maripuu,SWE,M,1.86,76,02-03-92,Mölndal,Väsby United,AIK,2011,Swedish
21,21,Admir Ćatović,BIH,F,1.78,73,05-09-87,Gacko,Väsby United,AIK,2011,Swedish
22,22,Kwame Karikari,GHA,F,1.90,87,21-01-92,Ho,International Allies,AIK,2011,Swedish
23,23,Christoffer Eriksson,SWE,D,1.80,71,25-05-90,Stockholm,Väsby United,AIK,2011,Swedish
24,24,Daniel Gustavsson,SWE,M,1.77,75,29-08-90,Kungsör,Västerås SK,AIK,2011,Swedish
25,25,Robin Quaison,SWE,M,1.80,73,09-10-93,Upplands Väsby,Väsby United,AIK,2011,Swedish
27,27,Ivan Turina,CRO,G,1.97,95,03-10-80,Zagreb,Dinamo Zagreb,AIK,2011,Swedish
28,28,Viktor Lundberg,SWE,M,1.83,75,04-03-91,Solna,Väsby United,AIK,2011,Swedish
29,29,Gabriel Özkan,SWE,M,1.77,69,23-05-86,Stockholm,IF Brommapojkarna,AIK,2011,Swedish
31,31,Lalawelé Atakora,TOG,M,1.75,68,09-11-90,Lomé,Fredrikstad,AIK,2011,Swedish
35,35,Lee Baxter,SWE,G,1.87,87,17-06-76,Helsingborg,Landskrona BoIS,AIK,2011,Swedish
2,2,Joona Toivio,FIN,D,1.86,79,10-03-88,Sipoo,AZ Alkmaar,Djurgårdens IF,2011,Swedish
3,3,Yosif Ayuba,BEN,D,1.73,72,30-11-90,,Vasalunds IF,Djurgårdens IF,2011,Swedish
5,5,Petter Gustafsson,SWE,M,1.75,73,16-09-85,,Skellefteå FF,Djurgårdens IF,2011,Swedish
6,6,Jani Lyyski,FIN,D,1.92,92,16-03-83,Mariehamn,VPS Vaasa,Djurgårdens IF,2011,Swedish
7,7,Kennedy Igboananike,NGA,F,1.75,70,26-02-89,Lagos,Vasalunds IF,Djurgårdens IF,2011,Swedish
8,8,Prince Ikpe Ekong,NGA,M,1.79,76,25-10-78,Lagos,GAIS,Djurgårdens IF,2011,Swedish
9,9,Johan Oremo,SWE,F,1.86,78,24-10-86,Söderhamn,Gefle IF,Djurgårdens IF,2011,Swedish
10,10,Christer Youssef,SWE,F,1.76,72,01-12-87,Stockholm,IF Brommapojkarna,Djurgårdens IF,2011,Swedish
11,11,Daniel Sjölund,FIN,M,1.78,80,22-04-83,Mariehamn,IFK Mariehamn,Djurgårdens IF,2011,Swedish
12,12,Mattias Jonson,SWE,F,1.79,78,16-01-74,Gothenburg,Norwich C,Djurgårdens IF,2011,Swedish
14,14,Kebba Ceesay,SWE,D,1.77,76,14-11-87,Bakau,IK Brage,Djurgårdens IF,2011,Swedish
15,15,Pa Dembo Touray,GAM,G,1.98,105,31-03-80,Banjul,Vålerenga,Djurgårdens IF,2011,Swedish
16,16,Kasper Hämäläinen,FIN,M,1.87,74,08-08-86,Turku,TPS Turku,Djurgårdens IF,2011,Swedish
17,17,Joel Riddez,SWE,D,1.81,74,21-05-80,Stockholm,Strømsgodset,Djurgårdens IF,2011,Swedish
18,18,Adama Guira,BFA,M,1.85,78,24-04-88,Bobo-Dioulasso,Logroñés,Djurgårdens IF,2011,Swedish
19,19,Peter Nymann Mikkelsen,DEN,M,1.79,70,22-08-82,Lynge,Esbjerg,Djurgårdens IF,2011,Swedish
20,20,Mehdi Khalil,SWE,G,1.94,80,19-09-91,,Köping FF,Djurgårdens IF,2011,Swedish
21,21,Nicolaj Agger,DEN,F,1.85,78,23-10-88,Hvidovre,Brøndby,Djurgårdens IF,2011,Swedish
22,22,Philip Hellquist,SWE,M,1.76,72,21-05-91,Stockholm,None,Djurgårdens IF,2011,Swedish
24,24,Daniel Jarl,SWE,D,1.96,82,13-04-92,Bålsta,Enköpings SK,Djurgårdens IF,2011,Swedish
25,25,Sebastian Rajalakso,SWE,M,1.86,81,23-09-88,Enköping,Enköpings SK,Djurgårdens IF,2011,Swedish
28,28,Trimi Makolli,SWE,M,1.77,70,02-01-92,Stockholm,None,Djurgårdens IF,2011,Swedish
29,29,Danilo Kuzmanović,SRB,D,1.74,73,04-01-92,Belgrade,Rad,Djurgårdens IF,2011,Swedish
33,33,Emil Bergström,SWE,D,1.87,79,19-05-93,Stockholm,IF Brommapojkarna,Djurgårdens IF,2011,Swedish
34,34,Joakim Alriksson,SWE,M,1.73,65,18-08-92,,Heby AIF,Djurgårdens IF,2011,Swedish
35,35,Tommi Vaiho,SWE,G,1.89,89,13-09-88,Stockholm,IF Brommapojkarna,Djurgårdens IF,2011,Swedish
36,36,Philip Sparrdal Mantilla,SWE,D,1.86,80,11-08-93,Stockholm,IF Brommapojkarna,Djurgårdens IF,2011,Swedish
1,1,Jesper Christiansen,DEN,G,1.93,89,24-04-78,Roskilde,FC København,IF Elfsborg,2011,Swedish
3,3,Johan Sjöberg,SWE,D,1.85,80,14-11-80,Borås,Mariedals IK,IF Elfsborg,2011,Swedish
4,4,Johan Karlsson,SWE,D,1.76,83,06-04-75,Linköping,Åtvidabergs FF,IF Elfsborg,2011,Swedish
5,5,Martin Andersson,SWE,D,1.88,84,16-01-81,Arentorp,Arenstorps SK,IF Elfsborg,2011,Swedish
6,6,Jon Jönsson,SWE,D,1.84,76,08-07-83,Hässleholm,Brøndby,IF Elfsborg,2011,Swedish
7,7,Johan Larsson,SWE,M,1.81,75,05-05-90,Kinna,None,IF Elfsborg,2011,Swedish
8,8,Anders Svensson,SWE,M,1.80,78,17-07-76,Elfsborg,Southampton,IF Elfsborg,2011,Swedish
9,9,Lasse Nilsson,SWE,F,1.80,70,03-01-82,Borlänge,Vitesse,IF Elfsborg,2011,Swedish
10,10,Martin Ericsson,SWE,M,1.78,76,04-09-80,Kustavi,Brøndby,IF Elfsborg,2011,Swedish
11,11,Daniel Mobaeck,SWE,M,1.84,79,22-05-80,Åtvidaberg,Kalmar FF,IF Elfsborg,2011,Swedish
12,12,Richard Yarsuvat,SWE,F,1.74,78,24-05-92,,Borås AIK,IF Elfsborg,2011,Swedish
13,13,David Elm,SWE,F,1.91,95,10-01-83,Johansfors,Fulham,IF Elfsborg,2011,Swedish
14,14,Oscar Hiljemark,SWE,M,1.84,73,28-06-92,Värnamo,Gislaveds IS,IF Elfsborg,2011,Swedish
15,15,Andreas Klarström,SWE,D,1.74,70,23-12-77,Borås,Esbjerg,IF Elfsborg,2011,Swedish
