Argentinos Juniors (Argentinian),Independiente (Argentinian)
Arsenal (Argentinian),Colón (Santa Fe) (Argentinian)
Arsenal (Argentinian),San Lorenzo (Argentinian)
Arsenal (Argentinian),San Lorenzo (Argentinian)
Banfield (Argentinian),Arsenal (Argentinian)
Banfield (Argentinian),Racing Club (Argentinian)
Banfield (Argentinian),Colón (Santa Fe) (Argentinian)
Banfield (Argentinian),Charleroi (Belgian)
Banfield (Argentinian),Liverpool (English)
Boca Juniors (Argentinian),Getafe (Spanish)
Boca Juniors (Argentinian),Mallorca (Spanish)
Colón (Santa Fe) (Argentinian),Quilmes (Argentinian)
Colón (Santa Fe) (Argentinian),Vélez Sarsfield (Argentinian)
Colón (Santa Fe) (Argentinian),Arsenal (Argentinian)
Colón (Santa Fe) (Argentinian),Gaziantepspor (Turkish)
Estudiantes (La Plata) (Argentinian),Racing Club (Argentinian)
Estudiantes (La Plata) (Argentinian),Quilmes (Argentinian)
Gimnasia y Esgrima (La Plata) (Argentinian),Atlético Paranaense (Brazilian)
Gimnasia y Esgrima (La Plata) (Argentinian),Monaco (French)
Gimnasia y Esgrima (La Plata) (Argentinian),Belgrano (Córdoba) (Argentinian)
Independiente (Argentinian),AEK (Greek)
Independiente (Argentinian),Godoy Cruz (Mendoza) (Argentinian)
Independiente (Argentinian),Quilmes (Argentinian)
Independiente (Argentinian),Anderlecht (Belgian)
Independiente (Argentinian),Racing Club (Argentinian)
Independiente (Argentinian),Anderlecht (Belgian)
Instituto (Córdoba) (Argentinian),Quilmes (Argentinian)
Lanús (Argentinian),Sakaryaspor (Turkish)
Newell's Old Boys (Argentinian),Gręmio (Brazilian)
Newell's Old Boys (Argentinian),Skoda Xanthi (Greek)
Newell's Old Boys (Argentinian),Racing Santander (Spanish)
Olimpo (Bahía Blanca) (Argentinian),Nueva Chicago (Argentinian)
Olimpo (Bahía Blanca) (Argentinian),Lanús (Argentinian)
Olimpo (Bahía Blanca) (Argentinian),Rosario Central (Argentinian)
Olimpo (Bahía Blanca) (Argentinian),Estudiantes (La Plata) (Argentinian)
