,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Serkan  Kırıntılı,G,"5'10""",11 05,15-02-85,Karataş,Adanaspor,Ankaragücü,2007,Turkish
3,3,Abdullah Elyasa Süme,M,"6'01""",12 00,13-08-83,Wesel,Diyarbakırspor,Ankaragücü,2007,Turkish
6,6,Andrés Lamas,D,"6'01""",13 01,16-01-84,Montevideo,Defensor Sporting,Ankaragücü,2007,Turkish
7,7,Ahmet Dursun,F,"5'10""",11 03,25-01-78,,Antalyaspor,Ankaragücü,2007,Turkish
9,9,Gustave Bebbe,F,"5'10""",11  09,22-06-82,Yaoundé,Konyaspor,Ankaragücü,2007,Turkish
10,10,Mustafa Özkan,F,"6'02""",12 13,21-02-75,Perchheim,Malatyaspor,Ankaragücü,2007,Turkish
11,11,Giani Stelian Kiriţă,D,"6'00""",12 04,03-03-77,Bucharest,Gaziantepspor,Ankaragücü,2007,Turkish
13,13,Gediminas Paulauskas,D,"6'02""",12 04,27-10-82,,Ekranas,Ankaragücü,2007,Turkish
14,14,Kaba Diawara,F,"5'10""",11  06,16-12-75,Toulon,Gaziantepspor,Ankaragücü,2007,Turkish
15,15,Augustine Ahinful,F,"5'09""",12 00,30-04-74,Takorade,Okwahu U,Ankaragücü,2007,Turkish
17,17,Tevfik Altındağ,D,"5'11""",,26-10-88,Boblingen,Reutlingen,Ankaragücü,2007,Turkish
18,18,Murat Duruer,M,"5'10""",10  06,15-01-88,Gerede,None,Ankaragücü,2007,Turkish
19,19,Sarper Kiskac,D,"6'00""",11 11,09-07-90,Istanbul,None,Ankaragücü,2007,Turkish
20,20,Mert  Erdoğan,M,"5'11""",11  11,01-03-89,Ereğli,None,Ankaragücü,2007,Turkish
21,21,Onur  Acar,D,"5'09""",12  01,01-01-83,Ankara,None,Ankaragücü,2007,Turkish
22,22,Zafer Özgültekin,G,"6'00""",11 07,10-03-76,Kangal,Eskişehirspor,Ankaragücü,2007,Turkish
23,23,Jiří Maek,F,"6'03""",12 11,05-10-78,Mladá Boleslav,Wacker  Innsbruck,Ankaragücü,2007,Turkish
25,25,İbrahim Ege,M,"5'08""",10 08,03-02-83,Erzurum,Denizlispor,Ankaragücü,2007,Turkish
26,26,Gökhan Emreciksin,M,,,10-09-84,Istanbul,Boluspor,Ankaragücü,2007,Turkish
27,27,Engin Aktürk,D,"5'11""",11 11,07-08-83,Ankara,Boluspor,Ankaragücü,2007,Turkish
33,33,Murat  Erdoğan,M,"5'10""",11 00,01-08-76,Hackney,Sakaryaspor,Ankaragücü,2007,Turkish
34,34,Emre Özkan,M,"6'00""",12 00,24-12-88,Istanbul,Beşiktaş,Ankaragücü,2007,Turkish
35,35,Tolga Doğantez,D,"6'00""",12 04,22-02-75,Izmir,Gençlerbirliği,Ankaragücü,2007,Turkish
38,38,Burak Karaduman,M,"5'09""",11  05,23-02-85,Ankara,None,Ankaragücü,2007,Turkish
39,39,İlkem Özkaynak,D,"6'00""",12 00,01-05-82,Kirklareli,Erciyesspor,Ankaragücü,2007,Turkish
40,40,Cem  Can,F,"5'10""",11  03,01-04-81,Ankara,Sivasspor,Ankaragücü,2007,Turkish
41,41,Can Emre Yücel,G,"6'01""",13 05,25-06-83,Izmit,Yozgatspor,Ankaragücü,2007,Turkish
42,44,Ibrahim Saïd,D,"6'00""",12 04,16-10-79,Cairo,Rizespor,Ankaragücü,2007,Turkish
43,58,Abdülkadir  Kayalı,M,,,30-01-91,Altındağ,None,Ankaragücü,2007,Turkish
44,66,Şevki Koç,M,"5'06""",10 03,01-01-83,Akdağmadeni,İstanbulspor,Ankaragücü,2007,Turkish
45,67,Yunus Balaban,M,"5'11""",12  00,24-02-84,,Alemannia Aachen,Ankaragücü,2007,Turkish
46,72,Rıdvan  Okuş,D,,,11-05-90,Adaklı,None,Ankaragücü,2007,Turkish
47,99,Jabá,F,"5'05""",10 06,20-05-81,Araripina,Ankaraspor,Ankaragücü,2007,Turkish
1,1,Ramazan Kurşunlu,G,"6'01""",12 08,07-07-81,Izmir,Beşiktaş,Ankaraspor,2007,Turkish
2,2,Fredrik Risp,D,"6'01""",12 08,15-12-80,Lysekil,Trabzonspor,Ankaraspor,2007,Turkish
3,3,Erhan Albayrak,M,"6'00""",12 06,05-04-77,Hamburg,Konyaspor,Ankaraspor,2007,Turkish
4,4,Muhammet Yoldaş,M,"6'01""",12 00,20-04-83,Diest,RAEC Mons,Ankaraspor,2007,Turkish
6,6,Orhan Ak,D,"5'10""",11 09,29-09-79,Sakarya,Galatasaray,Ankaraspor,2007,Turkish
8,8,Tita,F,"5'05""",11 00,20-05-81,Rio de Janeiro,Santo  Andre,Ankaraspor,2007,Turkish
9,9,Murat Tosun,M,"6'00""",12 00,26-02-84,Berlin,Karşiyaka,Ankaraspor,2007,Turkish
10,10,Mehmet Yilmaz,F,"6'01""",12 08,22-05-79,Of,Trabzonspor,Ankaraspor,2007,Turkish
11,11,Murat Akyüz,M,"5'11""",11 00,13-08-81,Bakirköy,Erciyesspor,Ankaraspor,2007,Turkish
12,12,Erhan Kuşkapan,G,"6'01""",12 04,08-06-88,Yenimahalle,None,Ankaraspor,2007,Turkish
13,13,Emrah İnanç,F,,,17-11-89,Silvan,None,Ankaraspor,2007,Turkish
16,16,Ediz  Bahtiyaroğlu,D,"6'03""",12  08,02-01-86,Bursa,None,Ankaraspor,2007,Turkish
18,18,Tevfik Köse,F,"5'10""",11 05,12-07-88,,Bayer Leverkusen II,Ankaraspor,2007,Turkish
19,19,Bilal Kisa,M,"5'11""",11 00,22-06-83,Merzifon,Malatyaspor,Ankaraspor,2007,Turkish
20,20,Özer  Hurmacı,M,"5'08""",11  00,20-11-86,,None,Ankaraspor,2007,Turkish
21,21,Emre  Aşık,D,"6'00""",12  04,13-12-73,Bura,Galatasaray,Ankaraspor,2007,Turkish
23,23,Antonio De Nigris,F,"6'01""",12 01,01-04-78,Monterrey,Gaziantepspor,Ankaraspor,2007,Turkish
30,30,Radoslav Batak,D,"6'02""",13 03,15-08-77,Vrbas,Dynamo  Moscow,Ankaraspor,2007,Turkish
