,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Zeki Ayvaz,TUR,G,1.89,80,01-10-89,Akçaabat,Trabzonspor,Akhisar Belediyespor,2014,Turkish
2,2,Orhan Taşdelen,TUR,D,1.79,75,06-02-87,Gaziantep,İstanbul Başakşehir,Akhisar Belediyespor,2014,Turkish
4,4,İsmail Konuk,TUR,D,1.87,83,16-01-88,Denizli,Nazilli Belediyespor,Akhisar Belediyespor,2014,Turkish
5,5,Bilal Kısa,TUR,M,1.80,71,22-06-83,Merzifon,Karabükspor,Akhisar Belediyespor,2014,Turkish
6,6,Merter Yüce,TUR,M,1.92,85,18-02-85,Bornova,Karabükspor,Akhisar Belediyespor,2014,Turkish
14,14,Ricardo Vaz Té,POR,F,1.88,79,01-10-86,Lisbon,West Ham U,Akhisar Belediyespor,2014,Turkish
17,17,Mehmet Akyüz,TUR,F,1.88,87,02-01-86,Adapazarı,Beşiktaş,Akhisar Belediyespor,2014,Turkish
18,18,Oğuz Dağlaroğlu,TUR,G,1.83,80,18-08-79,Istanbul,TKİ Tavşanlı Linyitspor,Akhisar Belediyespor,2014,Turkish
19,19,Onurcan Güler,TUR,F,1.80,74,24-03-95,Kelkit,İzmirspor,Akhisar Belediyespor,2014,Turkish
20,20,Ahmet Cebe,TUR,M,1.81,75,02-05-83,Krefeld,Karabükspor,Akhisar Belediyespor,2014,Turkish
22,22,Güray Vural,TUR,M,1.75,75,11-06-88,Afyon,Denizlispor,Akhisar Belediyespor,2014,Turkish
23,23,Luan,BRA,M,1.84,84,30-12-88,São Paulo,Gil Vicente,Akhisar Belediyespor,2014,Turkish
24,24,Tolga Ünlü,TUR,M,1.80,70,10-09-89,Erlenbach am Main,Konyaspor,Akhisar Belediyespor,2014,Turkish
27,27,Custódio,POR,M,1.80,80,24-05-83,Guimarães,Sporting Braga,Akhisar Belediyespor,2014,Turkish
32,32,Lomana LuaLua,COD,M,1.78,76,28-12-80,Kinshasa,Rizespor,Akhisar Belediyespor,2014,Turkish
39,39,Yiğit Gökoğlan,TUR,M,1.83,75,05-06-89,Konak,Galatasaray,Akhisar Belediyespor,2014,Turkish
40,40,Douglão,BRA,D,1.93,86,15-08-86,Santos,Sporting Braga,Akhisar Belediyespor,2014,Turkish
41,44,Emrah Tuncel,TUR,G,1.86,78,14-09-87,Malatya,Tarsus İdman Yurdu,Akhisar Belediyespor,2014,Turkish
42,45,Didier Zokora,CIV,M,1.79,72,14-12-80,Abidjan,Trabzonspor,Akhisar Belediyespor,2014,Turkish
43,51,Koray Arslan,TUR,D,1.78,70,01-10-83,Niğde,Gaziantepspor,Akhisar Belediyespor,2014,Turkish
44,55,Cantuğ Temel,TUR,G,1.89,80,10-06-94,Samsun,Orduspor,Akhisar Belediyespor,2014,Turkish
45,58,Pekin Köşnek,TUR,M,1.75,70,18-09-91,Brühl,Sivasspor,Akhisar Belediyespor,2014,Turkish
46,77,Sertan Vardar,TUR,M,1.74,69,19-08-82,İzmir,Gaziantep BB,Akhisar Belediyespor,2014,Turkish
47,80,Bruno Mezenga,BRA,F,1.85,75,08-08-88,Niterói,Orduspor,Akhisar Belediyespor,2014,Turkish
48,89,Kadir Keleş,TUR,D,1.74,73,01-01-88,Trabzon,Trabzonspor,Akhisar Belediyespor,2014,Turkish
49,90,Günay Halis,TUR,D,1.80,72,17-04-95,Akhisar,None,Akhisar Belediyespor,2014,Turkish
50,92,Serkan Cansoy,TUR,F,1.76,69,23-02-95,Akhisar,None,Akhisar Belediyespor,2014,Turkish
3,3,Berkan Emir,TUR,D,1.78,73,06-02-88,Kocaeli,Karşıyaka,Balıkesirspor,2014,Turkish
4,4,Nuno Coelho,POR,D,1.92,83,07-01-86,Penafiel,Sporting Braga,Balıkesirspor,2014,Turkish
5,5,Eray Ataseven,TUR,M,1.74,66,29-06-93,İzmit,Manisaspor,Balıkesirspor,2014,Turkish
6,6,Aykut Çeviker,TUR,M,1.75,70,03-01-90,Ankara,Bucaspor,Balıkesirspor,2014,Turkish
8,8,Ronald Vargas,VEN,M,1.74,76,02-12-86,Guatire,Anderlecht,Balıkesirspor,2014,Turkish
9,9,Gökhan Ünal,TUR,F,1.84,81,23-07-82,Ankara,Ankaraspor,Balıkesirspor,2014,Turkish
10,10,Ali Öztürk,TUR,F,1.80,74,12-04-87,Develi,None,Balıkesirspor,2014,Turkish
11,11,İlhan Depe,TUR,M,1.72,66,10-09-92,Yıldırım,Bursaspor,Balıkesirspor,2014,Turkish
