,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
2,2,Yaroslav Oliynyk,UKR,D,1.81,78,14-03-91,Donetsk,Olimpik Donetsk,Chornomorets Odessa,2014,Ukrainian
4,4,Yuriy Putrash,UKR,D,1.78,70,29-01-90,Mizhhiria,Tavriya Simferopol,Chornomorets Odessa,2014,Ukrainian
8,8,Anton Kicha,UKR,M,1.73,68,01-05-90,Dnipropetrovsk,Oleksandria,Chornomorets Odessa,2014,Ukrainian
9,9,Anatoliy Didenko,UKR,F,1.93,82,09-06-82,Yuznoukrainsk,Metalist Kharkiv,Chornomorets Odessa,2014,Ukrainian
11,11,Yevhen Smirnov,UKR,M,1.85,75,16-04-93,,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
13,13,Yuriy Martyshchuk,UKR,G,1.88,78,22-04-86,Kolomyya,Zorya Luhansk,Chornomorets Odessa,2014,Ukrainian
14,14,Yevhen Murashov,UKR,F,1.78,71,09-05-95,,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
15,15,Giorgi Gadrani,UKR,D,1.92,85,30-09-94,Tbilisi,Gagra,Chornomorets Odessa,2014,Ukrainian
16,16,Artem Filimonov,UKR,M,1.80,77,21-02-94,Rivne,Dnipro Dnipropetrovsk-2,Chornomorets Odessa,2014,Ukrainian
19,19,Oleksandr Kalitov,UKR,D,1.81,75,29-09-93,Odessa,Metalurh Donetsk,Chornomorets Odessa,2014,Ukrainian
22,22,Vladyslav Kabayev,UKR,M,1.76,55,01-09-95,Odessa,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
24,24,Dmytro Hrechyshkin,UKR,M,1.73,63,22-09-91,Sievierodonetsk,Shakhtar Donetsk,Chornomorets Odessa,2014,Ukrainian
25,25,Yevhen Martynenko,UKR,D,1.93,75,25-06-93,Odessa,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
27,27,Vitaly Balashov,UKR,F,1.70,60,07-02-91,Odessa,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
32,32,Serhiy Petko,UKR,D,1.82,75,23-01-94,Kharkiv,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
33,33,Andriy Slinkin,UKR,D,1.78,71,19-02-91,Odessa,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
39,39,Denys Vasin,UKR,F,1.80,76,04-03-89,Odessa,Illichivets Mariupol,Chornomorets Odessa,2014,Ukrainian
41,42,Jovan Krneta,SRB,D,1.87,79,04-05-92,Belgrade,Radnički 1923,Chornomorets Odessa,2014,Ukrainian
42,44,Yevhen Past,UKR,G,1.87,72,16-03-88,Odessa,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
43,77,Pavlo Kutas,UKR,D,1.74,74,03-09-82,,Obolon Kiev,Chornomorets Odessa,2014,Ukrainian
44,88,Oleh Lutsenko,UKR,M,1.82,72,14-02-93,,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
45,94,Oleh Danchenko,UKR,M,1.78,64,01-08-94,Zaporizhya,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
46,99,Vadym Yavorsky,UKR,F,1.80,69,26-06-94,Odessa,Chornomorets Odessa-2,Chornomorets Odessa,2014,Ukrainian
1,1,Oleksiy Bashtanenko,UKR,G,1.88,82,16-03-94,Dnipropetrovsk,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
2,2,Alexandru Vlad,ROU,D,1.85,77,06-12-89,Sighetu Marmației,Pandurii Târgu-Jiu,Dnipro Dnipropetrovsk,2014,Ukrainian
3,3,Ondřej Mazuch,CZE,D,1.88,83,15-03-89,Hodonín,Anderlecht,Dnipro Dnipropetrovsk,2014,Ukrainian
4,4,Serhiy Kravchenko,UKR,M,1.81,71,24-04-83,Donetsk,Dynamo Kiev,Dnipro Dnipropetrovsk,2014,Ukrainian
5,5,Vitaliy Mandzyuk,UKR,D,1.80,73,24-01-86,Vilino,Dynamo Kiev,Dnipro Dnipropetrovsk,2014,Ukrainian
7,7,Jaba Kankava,GEO,M,1.76,75,18-03-86,Tbilisi,Arsenal Kiev,Dnipro Dnipropetrovsk,2014,Ukrainian
8,8,Pavlo Ksonz,UKR,F,1.76,69,02-01-87,Myrhorod,Karpaty Lviv,Dnipro Dnipropetrovsk,2014,Ukrainian
9,9,Nikola Kalinić,CRO,F,1.87,84,05-01-88,Split,Blackburn R,Dnipro Dnipropetrovsk,2014,Ukrainian
10,10,Yevhen Konoplyanka,UKR,M,1.76,69,29-09-89,Kirovohrad,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
11,11,Yevhen Seleznev,UKR,F,1.85,77,20-07-85,Makiivka,Shakhtar Donetsk,Dnipro Dnipropetrovsk,2014,Ukrainian
12,12,Léo Matos,BRA,M,1.82,72,02-04-86,Niterói,Chornomorets Odessa,Dnipro Dnipropetrovsk,2014,Ukrainian
14,14,Yevheniy Cheberyachko,UKR,D,1.80,75,19-06-83,Uzhgorod,FC Kharkiv,Dnipro Dnipropetrovsk,2014,Ukrainian
15,15,Dmytro Chygrynskiy,UKR,D,1.90,81,07-11-86,Izyaslav,Shakhtar Donetsk,Dnipro Dnipropetrovsk,2014,Ukrainian
16,16,Jan Latuvka,CZE,G,1.91,87,07-07-82,Havirov,Shakhtar Donetsk,Dnipro Dnipropetrovsk,2014,Ukrainian
17,17,Denys Balanyuk,UKR,F,1.78,70,16-01-97,Odessa,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
18,18,Roman Zozulya,UKR,F,1.75,62,17-11-89,Kiev,Dynamo Kiev,Dnipro Dnipropetrovsk,2014,Ukrainian
19,19,Roman Bezus,UKR,M,1.85,78,26-09-90,Kremenchuk,Dynamo Kiev,Dnipro Dnipropetrovsk,2014,Ukrainian
20,20,Bruno Gama,POR,M,1.77,71,15-11-87,Vila Verde,Deportivo La Coruña,Dnipro Dnipropetrovsk,2014,Ukrainian
21,21,Mladen Bartulović,CRO,M,1.82,82,05-10-86,Kakanj,Hajduk Split,Dnipro Dnipropetrovsk,2014,Ukrainian
22,22,Yevhen Bokhashvili,UKR,F,1.82,69,05-01-93,Dnipropetrovsk,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
23,23,Douglas Bacelar,BRA,D,1.90,84,04-04-90,São Paulo,Vasco da Gama,Dnipro Dnipropetrovsk,2014,Ukrainian
24,24,Valeriy Luchkevych,UKR,D,1.76,65,11-01-96,Zaporizhya,Metalurh Zaporizhya-2,Dnipro Dnipropetrovsk,2014,Ukrainian
25,25,Valeriy Fedorchuk,UKR,M,1.78,68,05-10-88,Netishyn,FC Lviv,Dnipro Dnipropetrovsk,2014,Ukrainian
27,27,Oleksandr Vasylyev,UKR,M,1.86,74,27-04-94,Kiev,Dynamo Kiev-2,Dnipro Dnipropetrovsk,2014,Ukrainian
28,28,Yevhen Shakhov,UKR,M,1.75,62,30-11-90,Dnipropetrovsk,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
29,29,Ruslan Rotan,UKR,M,1.74,67,29-10-81,Poltava,Dynamo Kiev,Dnipro Dnipropetrovsk,2014,Ukrainian
30,30,Papa Gueye,SEN,D,1.92,84,07-06-84,Dakar,Metalist Kharkiv,Dnipro Dnipropetrovsk,2014,Ukrainian
39,39,Oleksandr Svatok,UKR,D,1.85,78,27-09-94,Dniprodzerzhynsk,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
41,44,Artem Fedetskyy,UKR,D,1.83,76,26-04-85,Novovolynsk,Shakhtar Donetsk,Dnipro Dnipropetrovsk,2014,Ukrainian
42,47,Serhiy Horbunov,UKR,M,1.75,69,14-03-94,Mariupol,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
43,71,Denys Boyko,UKR,G,1.91,84,29-01-88,Kiev,Dynamo Kiev,Dnipro Dnipropetrovsk,2014,Ukrainian
44,77,Denys Shelikhov,UKR,G,1.88,83,23-06-89,Kherson,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
45,90,Oleksandr Mihunov,UKR,D,1.72,62,13-04-94,Donetsk,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
46,96,Maksim Tretyakov,UKR,M,1.75,66,06-03-96,Troitsko-Safonove,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
47,97,Andriy Bliznichenko,UKR,M,1.89,70,24-07-94,Novohrad-Volynskyi,Dnipro-2,Dnipro Dnipropetrovsk,2014,Ukrainian
48,99,Matheus Nascimento,BRA,F,1.75,68,15-01-83,Itabaiana,Sporting Braga,Dnipro Dnipropetrovsk,2014,Ukrainian
1,1,Oleksandr Shovkovskiy,UKR,G,1.91,87,02-01-75,Kiev,Dynamo Kiev-2,Dynamo Kiev,2014,Ukrainian
2,2,Danilo Silva,BRA,D,1.85,69,24-11-86,Campinas,Internacional,Dynamo Kiev,2014,Ukrainian
4,4,Miguel Veloso,POR,M,1.80,79,11-05-86,Coimbra,Genoa,Dynamo Kiev,2014,Ukrainian
5,5,Vitorino Antunes,POR,D,1.75,69,01-04-87,Freamunde,Málaga,Dynamo Kiev,2014,Ukrainian
