,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Jon  Busch,G,5'10'',10  10,18-08-76,Queens,Columbus Crew,Chicago Fire,2007,USA
2,2,CJ  Brown,D,6'00'',13  03,15-06-75,Hayward,San  Francisco Bay Seals,Chicago Fire,2007,USA
3,3,Calen  Carr,F,"6'00""",10  10,04-10-82,Berkeley,Univ  of California,Chicago Fire,2007,USA
4,4,Bakary Soumare,D,"6'04""",13 08,09-11-85,Bamako,Univ of Virginia,Chicago Fire,2007,USA
5,5,Jim  Curtin,D,6'04'',14  09,23-06-79,Oreland,Villanova,Chicago Fire,2007,USA
7,7,Logan  Pause,D,5'10'',11  01,22-08-81,Raleigh,Univ of  North Carolina,Chicago Fire,2007,USA
8,8,Diego  Gutierrez,M,5'07'',11  01,03-11-72,Bogota,Kansas  City Wizards,Chicago Fire,2007,USA
9,9,Chad  Barrett,F,"5'11""",12  12,30-04-85,San  Diego,UCLA,Chicago Fire,2007,USA
10,10,Cuauhtémoc Blanco,F,"5'10""",11 07,17-01-73,Mexico City,América,Chicago Fire,2007,USA
11,11,John Thorrington,M,"5'07""",10 05,17-10-79,Johannesburg,Grimsby T,Chicago Fire,2007,USA
12,12,Paulo Wanchope,F,"6'03""",12  08,31-07-76,Heredia,FC Tokyo,Chicago Fire,2007,USA
14,14,Chris  Armas,M,5'07'',10  10,27-07-72,Bronx,LA  Galaxy,Chicago Fire,2007,USA
16,16,Brian  Plotkin,M,"5'09""",10  10,03-08-84,Lisle,Indiana  Univ,Chicago Fire,2007,USA
17,17,Chris  Rolfe,F,"5'08""",10  05,17-01-83,"Kettering,  OH",Univ  of Dayton,Chicago Fire,2007,USA
18,18,Matt  Pickens,G,"6'03""",14  04,05-04-82,"Washington,  MO",SW  Missouri State Univ,Chicago Fire,2007,USA
19,19,Jeff  Curtin,D,"6'03""",13  08,04-07-83,Oreland,Georgetown  Univ,Chicago Fire,2007,USA
21,21,Justin  Mapp,M,5'10'',10  00,18-10-84,Brandon,DC  United,Chicago Fire,2007,USA
22,22,Wilman Conde,D,"6'02""",13 10,29-08-82,Cali,Millonarios,Chicago Fire,2007,USA
23,23,Iván Guerrero,D,"5'07""",11  01,30-11-77,Comayagua,Peñarol,Chicago Fire,2007,USA
25,25,Gonzalo  Segares,D,"5'11""",11  08,13-10-82,San  Jose [CRC],Virginia  C'wealth Univ,Chicago Fire,2007,USA
27,27,Jordan  Russolillo,D,"5'11""",11  11,03-04-84,Middletown,Sth  Connecticut Univ,Chicago Fire,2007,USA
30,30,Mike Banner,M,"5'09""",11 06,20-10-84,"Washington, DC",SIU Edwardsville,Chicago Fire,2007,USA
31,31,Floyd  Franks,M,"5'10""",11  11,05-04-84,Vestavia,UNC  Charlotte,Chicago Fire,2007,USA
32,32,Dasan  Robinson,D,"5'11""",11  06,06-06-84,Elyria,Univ  of Dayton,Chicago Fire,2007,USA
34,34,Osei Telesford,D,"5'11""",13 08,26-09-83,San Juan,Liberty Univ,Chicago Fire,2007,USA
35,35,Bruno Menezes,M,"5'10""",11 07,20-03-84,Santos,São Carlos,Chicago Fire,2007,USA
37,37,Daniel Woolard,D,"5'10""",11 01,22-05-84,"Bedford, TX",Midwestern State Univ,Chicago Fire,2007,USA
40,40,Nick Noble,G,"6'04""",14 04,01-09-84,"Damascus, MD",West Virginia Univ,Chicago Fire,2007,USA
2,2,Claudio  Suárez,D,"5'10""",11 11,17-12-68,Mexico City,UANL  Tigres,Chivas USA,2007,USA
3,3,Carlos  Llamosa,D,"5'11""",11  12,30-06-69,Palmira,New  England Revolution,Chivas USA,2007,USA
4,4,Shavar Thomas,D,"6'01""",13  13,29-01-81,Hannah Town,LA Galaxy,Chivas USA,2007,USA
5,5,Desmond Brooks,D,"6'02""",13 03,27-11-85,San Francisco,St Mary's College Calif,Chivas USA,2007,USA
6,6,Francisco  Mendoza,M,"5'05""",08  13,29-04-85,El  Salto,Guadalajara,Chivas USA,2007,USA
8,8,Ramon Núñez,M,"5'05""",10  03,14-11-85,Tegucigalpa,FC Dallas,Chivas USA,2007,USA
9,9,Ante  Razov,F,6'01'',12  07,02-03-74,Whittier,MetroStars,Chivas USA,2007,USA
10,10,Laurent Merlin,F,"5'11""",11 05,17-09-84,Marseille,Ajaccio,Chivas USA,2007,USA
11,11,Maykel Galindo,F,"5'10""",11 11,28-01-81,Villa Clara,Seattle Sounders,Chivas USA,2007,USA
12,12,John Cunliffe,F,"5'11""",11 06,08-08-84,Edgworth,Fort Lewis College,Chivas USA,2007,USA
13,13,Jonathan  Bornstein,D,"5'09""",10  05,07-11-84,Torrance,UCLA,Chivas USA,2007,USA
14,14,David Arvizu,F,"5'06""",10  10,19-04-88,Santa  Ana,New York Red Bulls,Chivas USA,2007,USA
15,15,Jesse  Marsch,M,5'11'',12  02,08-11-73,Racine,Chicago  Fire,Chivas USA,2007,USA
16,16,Sacha Kljestan,M,"6'01""",10  10,09-09-85,Huntington  Beach,Seton  Hall Univ,Chivas USA,2007,USA
17,17,Rodrigo  López,M,"5'07""",10  00,10-05-87,Guadalajara,Guadalajara,Chivas USA,2007,USA
18,18,Brad  Guzan,G,"6'04""",15  00,09-09-84,Home  Glen,Univ  of Sth Carolina,Chivas USA,2007,USA
19,19,Jorge Flores,F,"5'09""",10 10,16-09-89,Anaheim,Santa Ana DSP Juventus,Chivas USA,2007,USA
21,21,Jason Hernandez,D,"5'10""",11  06,26-08-83,Englewood,MetroStars,Chivas USA,2007,USA
22,22,Preston  Burpo,G,"6'03""",15  05,09-11-72,Austin,Seattle Sounders,Chivas USA,2007,USA
23,23,Alex Zotinca,D,6'00'',12  02,22-01-77,Sibiu,Kansas City Wizards,Chivas USA,2007,USA
24,24,Bobby Burling,D,"6'05""",13 13,15-10-85,Clear Lake City,Loyola Marymount Univ,Chivas USA,2007,USA
25,25,Lawson  Vaughn,D,"5'10""",11  11,11-04-84,Marietta,Univ of Tulsa,Chivas USA,2007,USA
26,26,Paulo Nagamura,M,"5'08""",11  00,05-02-83,São Paulo,Toronto FC,Chivas USA,2007,USA
27,27,Eder  Robles,D,"5'08""",11  11,07-07-88,Lynwood,Pateadores,Chivas USA,2007,USA
28,28,Erasmo Solórzano,M,"5'09""",11 06,20-07-85,Riverside,Los Angeles Storm,Chivas USA,2007,USA
30,30,Carlos  Borja,M,"6'00""",12  02,18-01-88,Anaheim,Irvine Strikers,Chivas USA,2007,USA
32,32,Anthony Hamilton,F,"6'00""",11 06,26-08-85,Grand Terrace,UC Irvine,Chivas USA,2007,USA
33,33,Mohammed Sethi,M,"5'11""",11 01,12-07-87,Mequon,Milwaukee Kickers,Chivas USA,2007,USA
41,41,Justin Myers,G,"6'02""",14 09,15-01-85,San Diego,UC Berkeley,Chivas USA,2007,USA
42,77,Orlando  Perez,D,6'02'',11  11,12-07-77,Los  Angeles,Chicago  Fire,Chivas USA,2007,USA
1,1,Bouna  Coundoul,G,"6'02""",14  01,04-03-82,Dakar,Univ of  Albany,Colorado Rapids,2007,USA
2,2,Jordan  Harvey,D,"5'11""",12  02,28-01-84,Mission  Viejo,UCLA,Colorado Rapids,2007,USA
3,3,Facundo Erpen,D,"6'00""",12  11,19-05-83,Gualeguaychu,DC United,Colorado Rapids,2007,USA
4,4,Dan  Gargan,M,"5'11""",12  07,14-12-82,Philadelphia,Georgetown  Univ,Colorado Rapids,2007,USA
6,6,Brandon  Prideaux,D,6'00'',12  02,16-08-76,Seattle,DC United,Colorado Rapids,2007,USA
7,7,Jovan Kirovski,F,6'01'',12 01,18-03-76,Escondido,LA  Galaxy,Colorado Rapids,2007,USA
8,8,Mehdi Ballouchy,M,"5'11""",12  01,06-04-83,Casablanca,Real Salt Lake,Colorado Rapids,2007,USA
9,9,José Cancela,M,5'09'',10  11,25-06-76,Santa Lucia,Toronto FC,Colorado Rapids,2007,USA
10,10,Herculez Gomez,F,"5'10""",10  05,06-04-82,Las Vegas,LA Galaxy,Colorado Rapids,2007,USA
11,11,Terry  Cooke,M,"5'08""",10  03,05-08-76,Marston  Green,Sheffield  W,Colorado Rapids,2007,USA
12,12,Mike  Petke,D,6'02'',14  03,30-01-76,Bohemia,DC  United,Colorado Rapids,2007,USA
13,13,Stephen  Keel,D,"6'00""",13  03,11-04-83,Littleton,Wake  Forest Univ,Colorado Rapids,2007,USA
14,14,Omar Cummings,F,"5'10""",11 11,13-07-82,Old Harbour,Univ of Cincinnati,Colorado Rapids,2007,USA
15,15,Jacob  Peterson,F,"5'10""",11  11,27-01-86,Portage,Indiana  Univ,Colorado Rapids,2007,USA
16,16,Daniel Osorno,F,"5'08""",10 10,16-03-79,El Salto,Atlas,Colorado Rapids,2007,USA
18,18,Ugo Ihemelu,D,6'00'',13  02,03-04-83,Cedar Hill,LA Galaxy,Colorado Rapids,2007,USA
20,20,Nicolás  Hernández,F,"5'10""",12  02,05-04-79,Buenos  Aires,Cobreloa,Colorado Rapids,2007,USA
21,21,Nico Colaluca,M,"5'09""",10 10,23-05-86,Providence,Univ of Virginia,Colorado Rapids,2007,USA
22,22,Nick LaBrocca,M,"5'09""",11 01,04-12-84,Staten Island,Rutgers Univ,Colorado Rapids,2007,USA
23,23,Colin  Clark,M,"6'00""",11  06,11-04-84,Fort Collins,Boulder Rapids,Colorado Rapids,2007,USA
24,24,Justin Hughes,G,"6'01""",13 00,23-04-85,Wake Forest,Univ of Nth Carolina,Colorado Rapids,2007,USA
25,25,Pablo  Mastroeni,D,5'10'',12  02,29-08-76,Mendoza,Miami  Fusion,Colorado Rapids,2007,USA
26,26,Conor Casey,F,6'02'',13  05,25-07-81,New  Hampshire,Toronto FC,Colorado Rapids,2007,USA
27,27,Kosuke Kimura,M,"5'09""",10 13,14-05-84,Kobe,Western Illinois Univ,Colorado Rapids,2007,USA
28,28,John DiRaimondo,M,"5'07""",11 01,23-04-86,St Louis,St Louis Univ,Colorado Rapids,2007,USA
29,29,Tony Sanneh,D,"6'02""",13 08,01-06-71,St Paul,Minnesota Thunder,Colorado Rapids,2007,USA
31,31,Zach  Thornton,G,6'03'',15  00,10-10-73,Baltimore,Chicago Fire,Colorado Rapids,2007,USA
33,33,Daniel  Wasson,M,"5'09""",12  02,15-06-84,Colorado Springs,Chicago Fire  Premier,Colorado Rapids,2007,USA
1,1,Will Hesmer,G,"6'02""",13  13,23-11-81,Wilson,Kansas City Wizards,Columbus Crew,2007,USA
2,2,Frankie  Hejduk,D,5'08'',11  01,05-08-74,La Mesa,St  Gallen,Columbus Crew,2007,USA
3,3,Brad Evans,F,"6'01""",11 06,20-04-85,Phoenix,UC Irvine,Columbus Crew,2007,USA
4,4,Rusty  Pierce,D,5'10'',11  11,24-07-79,The  Woodlands,Real  Salt Lake,Columbus Crew,2007,USA
5,5,Danny O'Rourke,M,"6'00""",11  11,31-05-83,Columbus,New York Red Bulls,Columbus Crew,2007,USA
6,6,Marcos González,D,"6'02""",12  12,09-06-80,Santiago,Palestino,Columbus Crew,2007,USA
7,7,Guillermo Barros Schelotto,F,"5'07""",11 03,04-05-73,La Plata,Boca Juniors,Columbus Crew,2007,USA
8,8,Duncan  Oughton,M,5'09'',11  06,14-06-77,Wellington,Cal  State Fullerton,Columbus Crew,2007,USA
9,9,Jason  Garey,F,"6'00""",12  12,19-07-84,Gonzales,Univ  of Maryland,Columbus Crew,2007,USA
10,10,Alejandro  Moreno,F,5'09'',12  02,08-07-79,Barquisimeto,Houston Dynamo,Columbus Crew,2007,USA
11,11,Ned Grabavoy,M,"5'07""",11  01,01-07-83,Joilet,LA  Galaxy,Columbus Crew,2007,USA
12,12,Eddie  Gaven,M,6'00'',10  05,25-10-86,"Hamilton,  NJ",MetroStars,Columbus Crew,2007,USA
13,13,Andrew Peterson,D,"5'10""",,06-12-84,Edina,Cleveland City Stars,Columbus Crew,2007,USA
14,14,Chad Marshall,D,"6'03""",13  08,22-08-84,Riverside,Stanford Univ,Columbus Crew,2007,USA
15,15,Stefani Miglioranzi,M,"6'00""",11 12,20-09-77,Pacos de Caldas,LA Galaxy,Columbus Crew,2007,USA
16,16,Kei Kamara,F,"6'02""",11  11,01-09-84,Lawndale,Cal  State Dominguez Hills,Columbus Crew,2007,USA
18,18,Bill  Gaudette,G,"6'00""",13  03,14-09-81,Hummelstown,St  John's Univ,Columbus Crew,2007,USA
19,19,Robbie Rogers,F,"5'10""",11 11,12-05-87,Palos Verdes,SC Heerenveen,Columbus Crew,2007,USA
20,20,Tim Ward,D,"6'00""",11  11,28-02-87,Waukesha,MetroStars,Columbus Crew,2007,USA
21,21,Brandon  Moss,M,"6'01""",13  03,12-05-84,Albuquerque,Univ  of New Mexico,Columbus Crew,2007,USA
22,22,Adam Moffat,M,"6'00""",12 07,15-05-86,Linwood,Cleveland City Stars,Columbus Crew,2007,USA
23,23,Ezra  Hendrickson,D,"6'03""",13  03,16-01-72,St Vicent,Chivas  USA,Columbus Crew,2007,USA
24,24,Jed Zayner,D,"5'11""",11  11,13-12-84,Orland Park,Indiana  Univ,Columbus Crew,2007,USA
25,25,Ricardo Virtuoso,M,"5'08""",11  01,01-03-84,Guarapuava,Chiasso,Columbus Crew,2007,USA
26,26,Andy  Herron,F,"5'09""",11  01,02-03-78,Puerto  Limon,Chicago Fire,Columbus Crew,2007,USA
27,27,Ryan Junge,D,"6'01""",,07-09-84,Omaha,Creighton Univ,Columbus Crew,2007,USA
28,28,Ben Hunter,D,"6'00""",12 02,16-06-85,Doncaster,Univ of Nth Carolina,Columbus Crew,2007,USA
30,30,Andy Gruenebaum,G,"6'01""",14 04,30-12-82,Overland Park,Des Moines Menace,Columbus Crew,2007,USA
34,34,Jacob Thomas,F,"5'09""",12  13,14-02-77,Jonestown,Lübeck,Columbus Crew,2007,USA
