,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Alec Kann,USA,G,1.93,87,08-08-90,Decatur,Charleston Battery,Chicago Fire,2013,USA
3,3,Hunter Jumper,USA,D,1.88,80,28-02-89,Plano,Univ of Virginia,Chicago Fire,2013,USA
4,4,Bakary Soumaré,MLI,D,1.93,86,09-11-85,Bamako,Philadelphia Union,Chicago Fire,2013,USA
5,5,Egidio Arévalo,URU,M,1.69,71,01-01-82,Paysandú,Tijuana,Chicago Fire,2013,USA
6,6,Jalil Anibaba,USA,D,1.83,73,19-10-88,Fontana,Univ of Nth Carolina,Chicago Fire,2013,USA
8,8,Dilly Duka,USA,M,1.75,73,15-09-89,Montvillers,Columbus Crew,Chicago Fire,2013,USA
9,9,Mike Magee,USA,F,1.75,68,02-09-84,Chicago,LA Galaxy,Chicago Fire,2013,USA
11,11,Daniel Paladini,USA,M,1.75,75,11-12-84,Northridge,Carolina RailHawks,Chicago Fire,2013,USA
12,12,Logan Pause,USA,D,1.78,70,22-08-81,Raleigh,Univ of North Carolina,Chicago Fire,2013,USA
13,13,Gonzalo Segares,CRC,D,1.80,73,13-10-82,San José [CRC],Apollon Limassol,Chicago Fire,2013,USA
14,14,Patrick Nyarko,GHA,F,1.83,75,15-01-86,Kumasi,Virginia Tech Univ,Chicago Fire,2013,USA
15,15,Wells Thompson,USA,M,1.78,70,25-11-83,Winston-Salem,Colorado Rapids,Chicago Fire,2013,USA
16,16,Brendan King,USA,M,1.83,73,25-02-90,Naperville,Alta,Chicago Fire,2013,USA
17,17,Chris Rolfe,USA,F,1.73,66,17-01-83,"Kettering, OH",Aalborg,Chicago Fire,2013,USA
18,18,Steven Kinney,USA,D,1.82,79,28-10-87,Norcross,Elon Univ,Chicago Fire,2013,USA
19,19,Corben Bone,USA,M,1.75,68,16-09-88,Plano,Wake Forest Univ,Chicago Fire,2013,USA
20,20,Jeff Larentowicz,USA,D,1.85,79,05-08-83,West Chester,Colorado Rapids,Chicago Fire,2013,USA
21,21,Michael Videira,USA,M,1.78,79,06-01-86,Milford,AC St Louis,Chicago Fire,2013,USA
22,22,Austin Berry,USA,D,1.88,82,06-06-88,Cincinnati,Univ of Louisville,Chicago Fire,2013,USA
24,24,Quincy Amarikwa,USA,F,1.75,73,29-10-87,Bakersfield,Toronto FC,Chicago Fire,2013,USA
25,25,Sean Johnson,USA,G,1.93,98,31-05-89,Lilburn,Univ of Central Florida,Chicago Fire,2013,USA
26,26,Joel Lindpere,EST,M,1.78,75,05-10-81,Tallinn,New York Red Bulls,Chicago Fire,2013,USA
27,27,Victor Pineda,USA,M,1.80,64,15-03-93,Bolingbrook,None,Chicago Fire,2013,USA
28,28,Shaun Francis,JAM,D,1.83,75,02-10-86,Mandeville,Charlotte Eagles,Chicago Fire,2013,USA
29,29,Maicon,BRA,F,1.86,84,18-04-84,Paracambi,DC United,Chicago Fire,2013,USA
30,30,Yazid Atouba,CMR,M,1.68,68,02-01-93,Yaoundé,Canon Yaoundé,Chicago Fire,2013,USA
33,33,Juan Luis Anangonó,ECU,F,1.85,75,13-04-89,Ibarra,Argentinos Juniors,Chicago Fire,2013,USA
41,70,Paolo Tornaghi,ITA,G,1.92,78,21-06-88,Garbagnate,Internazionale,Chicago Fire,2013,USA
42,71,Alex,BRA,M,1.74,70,15-12-88,São Paulo,Wohlen,Chicago Fire,2013,USA
1,1,Dan Kennedy,USA,G,1.85,91,22-07-82,Fullerton,Municipal Iquique,Chivas USA,2013,USA
2,2,Bobby Burling,USA,D,1.96,87,15-10-85,Clear Lake City,San Jose Earthquakes,Chivas USA,2013,USA
3,3,Mario de Luna,MEX,D,1.79,76,05-01-88,Aguascalientes,Guadalajara,Chivas USA,2013,USA
4,4,Carlos Bocanegra,USA,D,1.83,78,25-05-79,Alta Loma,Rangers,Chivas USA,2013,USA
5,5,Carlos Borja,USA,D,1.83,77,18-01-88,Orange,LA Blues,Chivas USA,2013,USA
6,6,José Manuel Rivera,MEX,F,1.77,72,16-06-86,Guadajalara,Rovaniemi PS,Chivas USA,2013,USA
7,7,Tristan Bowen,USA,F,1.80,75,31-01-91,Van Nuys,LA Galaxy,Chivas USA,2013,USA
8,8,Edgar Mejía,MEX,D,1.75,70,27-07-88,Guadalajara,Guadalajara,Chivas USA,2013,USA
9,9,Julio Morales,USA,F,1.85,75,19-12-93,Glendale,Guadalajara,Chivas USA,2013,USA
10,10,Erick Torres,MEX,F,1.80,68,19-01-93,Guadalajara,Guadalajara,Chivas USA,2013,USA
11,11,Gabriel Farfan,USA,M,1.78,75,23-06-88,Wildomar,Philadelphia Union,Chivas USA,2013,USA
12,12,Marco Delgado,USA,M,1.75,67,16-05-95,Glendora,None,Chivas USA,2013,USA
13,13,Josue Soto,USA,M,1.75,73,03-01-89,Fort Worth,Houston Dynamo,Chivas USA,2013,USA
14,14,Bryan de la Fuente,USA,M,1.75,70,01-07-92,Laredo,Tijuana,Chivas USA,2013,USA
15,15,Eric Avila,USA,M,1.73,68,24-11-87,San Diego,Toronto FC,Chivas USA,2013,USA
16,16,Caleb Calvert,USA,F,1.88,73,22-10-96,Wrightwood,None,Chivas USA,2013,USA
17,17,Jaime Frias,USA,D,1.80,79,18-02-93,Los Angeles,Guadalajara,Chivas USA,2013,USA
19,19,Jorge Villafaña,USA,F,1.75,75,16-09-89,Anaheim,None,Chivas USA,2013,USA
20,20,Carlos Álvarez,USA,M,1.78,73,12-11-90,Los Angeles,UConn,Chivas USA,2013,USA
21,21,Carlo Chueca,PER,M,1.73,65,23-03-93,Lima,RAEC Mons,Chivas USA,2013,USA
22,22,Daniel Antúnez,USA,M,1.83,77,10-02-86,Santa Ana,Inter Turku,Chivas USA,2013,USA
24,24,Patrick McLain,USA,G,1.91,93,22-08-88,Eau Claire,Cal Poly,Chivas USA,2013,USA
25,25,Steve Purdy,SLV,D,1.93,86,05-02-85,Bakersfield,Portland Timbers,Chivas USA,2013,USA
26,26,Matt Fondy,USA,F,1.85,77,28-07-89,Foster City,LA Blues,Chivas USA,2013,USA
28,28,Tim Melia,USA,G,1.85,86,15-05-86,Great River,Real Salt Lake,Chivas USA,2013,USA
30,30,Oswaldo Minda,ECU,M,1.80,78,26-07-83,Quito,Deportivo Quito,Chivas USA,2013,USA
31,31,Marvin Iraheta,SLV,M,1.75,71,31-05-92,Departamento de Cabañas,New York Cosmos,Chivas USA,2013,USA
2,2,Nick LaBrocca,USA,M,1.78,75,04-12-84,Staten Island,Chivas USA,Colorado Rapids,2013,USA
3,3,Drew Moor,USA,D,1.83,77,15-01-84,Dallas,FC Dallas,Colorado Rapids,2013,USA
5,5,Diego Calderón,ECU,D,1.80,78,26-10-86,Quito,LDU Quito,Colorado Rapids,2013,USA
6,6,Anthony Wallace,USA,M,1.80,80,26-01-89,"St Petersburg, FL",FC Dallas,Colorado Rapids,2013,USA
7,7,Vicente Sánchez,URU,F,1.70,63,07-12-79,Montevideo,Nacional [URU],Colorado Rapids,2013,USA
8,8,Dillon Powers,USA,M,1.80,77,14-02-91,Plano,Univ of Notre Dame,Colorado Rapids,2013,USA
9,9,Edson Buddle,USA,F,1.85,77,21-05-81,New Rochelle,LA Galaxy,Colorado Rapids,2013,USA
10,10,Martín Rivero,ARG,M,1.75,72,13-11-89,Rosario,Rosario Central,Colorado Rapids,2013,USA
11,11,Brian Mullan,USA,F,1.73,68,23-04-78,Mineola,Houston Dynamo,Colorado Rapids,2013,USA
12,12,Hendry Thomas,HON,M,1.80,80,23-02-85,La Ceiba,Wigan Ath,Colorado Rapids,2013,USA
13,13,Kamani Hill,USA,F,1.83,77,28-12-85,Berkeley,Vitória Guimarães,Colorado Rapids,2013,USA
14,14,Tony Cascio,USA,M,1.83,77,28-03-90,Gilbert,UConn,Colorado Rapids,2013,USA
15,15,Chris Klute,USA,D,1.86,78,05-03-90,Grand Prairie,Atlanta Silverbacks,Colorado Rapids,2013,USA
16,16,Atiba Harris,SKN,F,1.91,84,09-01-85,St Peter's,Vancouver Whitecaps,Colorado Rapids,2013,USA
17,17,Dillon Serna,USA,M,1.70,64,25-03-94,"Brighton, CO",Univ of Akron,Colorado Rapids,2013,USA
18,18,Matt Pickens,USA,G,1.91,91,05-04-82,"Washington, MO",QPR,Colorado Rapids,2013,USA
20,20,Jamie Smith,SCO,M,1.70,74,20-11-80,Alexandria,Aberdeen,Colorado Rapids,2013,USA
21,21,Steward Ceus,HAI,G,1.98,93,26-03-87,West Haverstraw,Univ of Albany,Colorado Rapids,2013,USA
22,22,Marvell Wynne,USA,D,1.75,78,08-05-86,Pittsburgh,Toronto FC,Colorado Rapids,2013,USA
23,23,Jaime Castrillón,COL,M,1.78,70,05-04-83,Puerto Nare,Independiente Medellín,Colorado Rapids,2013,USA
24,24,Nathan Sturgis,USA,D,1.78,68,06-07-87,St Augustine,Houston Dynamo,Colorado Rapids,2013,USA
26,26,Deshorn Brown,JAM,F,1.88,77,22-12-90,Manchester [JAM],Univ of Central Florida,Colorado Rapids,2013,USA
27,27,Shane O'Neill,IRL,M,1.88,87,02-09-93,Middleton,None,Colorado Rapids,2013,USA
28,28,Davy Armstrong,USA,M,1.78,68,03-11-91,Aurora,None,Colorado Rapids,2013,USA
29,29,Kory Kindle,USA,D,1.80,84,28-08-91,Ventura,CSU Bakersfield,Colorado Rapids,2013,USA
30,30,Gabriel Torres,PAN,F,1.80,72,13-10-88,Ciudad de Panamá,Zamora,Colorado Rapids,2013,USA
31,31,Clint Irwin,USA,G,1.91,89,01-04-89,Charlotte,Charlotte Eagles,Colorado Rapids,2013,USA
32,32,Brenton Griffiths,JAM,D,1.91,75,09-02-91,Spanish Town,Univ of Sth Florida,Colorado Rapids,2013,USA
33,33,Germán Mera,COL,D,1.87,83,05-03-90,Cali,Deportivo Cali,Colorado Rapids,2013,USA
41,55,Danny Mwanga,COD,F,1.88,79,17-07-91,Kinshasa,Portland Timbers,Colorado Rapids,2013,USA
2,2,Tyson Wahl,USA,D,1.88,84,23-02-84,Newport Beach,Colorado Rapids,Columbus Crew,2013,USA
3,3,Josh Williams,USA,D,1.88,87,18-04-88,Akron,Cleveland State Univ,Columbus Crew,2013,USA
4,4,Gláuber,BRA,D,1.90,77,05-08-83,São José do Rio Preto,Rapid Bucureşti,Columbus Crew,2013,USA
5,5,Danny O'Rourke,USA,M,1.83,75,31-05-83,Columbus,New York Red Bulls,Columbus Crew,2013,USA
6,6,Tony Tchani,CMR,M,1.93,83,13-04-89,Bafang,Toronto FC,Columbus Crew,2013,USA
7,7,Bernardo Anor,VEN,M,1.73,72,24-05-88,Caracas,Univ of Sth Florida,Columbus Crew,2013,USA
8,8,Matías Sánchez,ARG,M,1.73,68,10-08-87,Temperley,Estudiantes (LP),Columbus Crew,2013,USA
9,9,Justin Meram,USA,F,1.85,75,04-12-88,Shelby Township,Univ of Michigan,Columbus Crew,2013,USA
11,11,Dominic Oduro,GHA,F,1.83,73,13-08-85,Pramso,Chicago Fire,Columbus Crew,2013,USA
12,12,Eddie Gaven,USA,M,1.83,66,25-10-86,"Hamilton, NJ",MetroStars,Columbus Crew,2013,USA
13,13,Ethan Finlay,USA,M,1.75,75,06-08-90,Marshfield,Creighton Univ,Columbus Crew,2013,USA
14,14,Chad Marshall,USA,D,1.91,86,22-08-84,Riverside,Stanford Univ,Columbus Crew,2013,USA
16,16,Eric Gehrig,USA,M,1.85,73,15-12-87,Schererville,Loyola Univ,Columbus Crew,2013,USA
17,17,Ben Speas,USA,F,1.73,71,17-01-91,Stow,Univ of Nth Carolina,Columbus Crew,2013,USA
18,18,Aaron Schoenfeld,USA,F,1.93,87,17-04-90,Knoxville,East Tennessee State Univ,Columbus Crew,2013,USA
19,19,Konrad Warzycha,POL,M,1.85,86,14-02-89,Zabrze,Sporting Kansas City,Columbus Crew,2013,USA
20,20,Will Trapp,USA,M,1.73,68,15-01-93,Gahanna,Univ of Akron,Columbus Crew,2013,USA
21,21,Chad Barson,USA,D,1.78,77,25-02-91,Lewis Center,Univ of Akron,Columbus Crew,2013,USA
